millis,voltage,current,power,capacity,energy
0, 1.55, 99.90, 155.24, 0.00, 0.00
15971, 1.55, 100.00, 154.60, 0.44, 0.69
31972, 1.54, 100.00, 154.20, 0.89, 1.37
47971, 1.54, 100.00, 154.20, 1.33, 2.06
63972, 1.54, 100.00, 153.80, 1.78, 2.74
79971, 1.53, 100.10, 153.55, 2.22, 3.43
95972, 1.53, 100.00, 153.40, 2.67, 4.11
111971, 1.53, 100.10, 153.55, 3.11, 4.79
127971, 1.53, 100.00, 153.40, 3.56, 5.47
143971, 1.53, 100.00, 153.00, 4.00, 6.15
159971, 1.53, 100.00, 153.00, 4.45, 6.83
175971, 1.53, 100.00, 152.60, 4.89, 7.51
191971, 1.53, 100.10, 152.75, 5.33, 8.19
207971, 1.53, 100.00, 152.60, 5.78, 8.87
223971, 1.52, 100.10, 152.35, 6.22, 9.55
239972, 1.52, 100.00, 152.20, 6.67, 10.22
255972, 1.52, 100.00, 152.20, 7.11, 10.90
271972, 1.52, 100.00, 152.20, 7.56, 11.58
287971, 1.52, 99.90, 151.65, 8.00, 12.25
303972, 1.52, 100.00, 151.80, 8.45, 12.93
319971, 1.52, 100.00, 151.80, 8.89, 13.60
335971, 1.52, 100.00, 151.80, 9.33, 14.28
351971, 1.51, 100.00, 151.40, 9.78, 14.95
367971, 1.51, 100.00, 151.40, 10.22, 15.62
383971, 1.51, 100.00, 151.00, 10.67, 16.29
399971, 1.51, 99.90, 150.85, 11.11, 16.97
415972, 1.51, 100.00, 151.00, 11.56, 17.64
431971, 1.51, 100.10, 151.15, 12.00, 18.31
447971, 1.51, 100.00, 151.00, 12.45, 18.98
463971, 1.51, 100.00, 151.00, 12.89, 19.65
479971, 1.51, 99.90, 150.45, 13.33, 20.32
495972, 1.51, 100.00, 150.60, 13.78, 20.99
511971, 1.51, 100.00, 150.60, 14.22, 21.66
527971, 1.51, 100.00, 150.60, 14.67, 22.33
543972, 1.50, 99.90, 150.05, 15.11, 23.00
559971, 1.50, 100.10, 150.35, 15.56, 23.66
575972, 1.50, 100.00, 150.20, 16.00, 24.33
591972, 1.50, 100.10, 149.95, 16.45, 25.00
607971, 1.50, 100.00, 150.20, 16.89, 25.67
623971, 1.50, 99.90, 149.65, 17.33, 26.33
639971, 1.50, 100.00, 149.80, 17.78, 27.00
655971, 1.50, 100.00, 149.80, 18.22, 27.66
671971, 1.50, 100.00, 149.80, 18.67, 28.33
687971, 1.50, 99.90, 149.65, 19.11, 29.00
703972, 1.49, 100.00, 149.40, 19.56, 29.66
719971, 1.49, 100.00, 149.40, 20.00, 30.32
735971, 1.49, 100.00, 149.40, 20.45, 30.99
751971, 1.49, 100.00, 149.40, 20.89, 31.65
767971, 1.49, 99.90, 148.85, 21.33, 32.31
783971, 1.49, 100.00, 149.00, 21.78, 32.98
799972, 1.49, 99.90, 148.85, 22.22, 33.64
815971, 1.49, 100.00, 149.00, 22.67, 34.30
831971, 1.49, 100.00, 149.00, 23.11, 34.96
847971, 1.49, 100.00, 148.60, 23.56, 35.63
863971, 1.49, 99.90, 148.45, 24.00, 36.29
879971, 1.49, 99.90, 148.45, 24.44, 36.95
895971, 1.49, 99.90, 148.45, 24.89, 37.61
911971, 1.49, 100.00, 148.60, 25.33, 38.27
927972, 1.49, 100.00, 148.60, 25.78, 38.93
943972, 1.48, 100.00, 148.20, 26.22, 39.59
959972, 1.48, 100.00, 148.20, 26.67, 40.25
975972, 1.48, 100.00, 148.20, 27.11, 40.91
991971, 1.48, 99.90, 148.05, 27.56, 41.56
1007971, 1.48, 100.00, 148.20, 28.00, 42.22
1023971, 1.48, 100.00, 148.20, 28.44, 42.88
1039971, 1.48, 100.00, 147.80, 28.89, 43.54
1055972, 1.48, 100.00, 147.80, 29.33, 44.20
1071971, 1.48, 100.10, 147.95, 29.78, 44.85
1087971, 1.48, 100.00, 147.80, 30.22, 45.51
1103971, 1.48, 100.00, 147.80, 30.67, 46.17
1119971, 1.48, 99.90, 147.65, 31.11, 46.82
1135972, 1.47, 100.00, 147.40, 31.56, 47.48
1151971, 1.47, 99.90, 147.25, 32.00, 48.13
1167972, 1.47, 100.00, 147.40, 32.44, 48.79
1183971, 1.47, 99.90, 147.25, 32.89, 49.45
1199971, 1.47, 100.00, 147.40, 33.33, 50.10
1215971, 1.47, 100.00, 147.40, 33.78, 50.76
1231971, 1.47, 100.00, 147.00, 34.22, 51.41
1247971, 1.47, 100.00, 147.00, 34.67, 52.06
1263971, 1.47, 100.00, 147.00, 35.11, 52.72
1279972, 1.47, 100.10, 147.15, 35.56, 53.37
1295972, 1.47, 100.00, 147.00, 36.00, 54.02
1311972, 1.47, 100.00, 146.60, 36.44, 54.68
1327971, 1.47, 100.00, 146.60, 36.89, 55.33
1343971, 1.47, 100.00, 147.00, 37.33, 55.98
1359971, 1.47, 100.00, 146.60, 37.78, 56.63
1375971, 1.47, 99.90, 146.45, 38.22, 57.28
1391971, 1.47, 100.00, 146.60, 38.67, 57.94
1407971, 1.47, 100.00, 146.60, 39.11, 58.59
1423971, 1.47, 100.00, 146.60, 39.56, 59.24
1439972, 1.46, 100.00, 146.20, 40.00, 59.89
1455971, 1.46, 99.90, 146.05, 40.44, 60.54
1471971, 1.46, 100.00, 146.20, 40.89, 61.19
1487971, 1.46, 100.00, 146.20, 41.33, 61.84
1503971, 1.46, 100.00, 145.80, 41.78, 62.49
1519971, 1.46, 100.00, 146.20, 42.22, 63.14
1535971, 1.46, 99.90, 146.05, 42.67, 63.79
1551971, 1.46, 100.00, 146.20, 43.11, 64.44
1567971, 1.46, 100.00, 145.80, 43.55, 65.09
1583971, 1.46, 100.00, 146.20, 44.00, 65.73
1599971, 1.46, 100.00, 145.80, 44.44, 66.38
1615971, 1.46, 100.00, 145.80, 44.89, 67.03
1631971, 1.46, 100.00, 145.80, 45.33, 67.68
1647971, 1.46, 100.00, 145.80, 45.78, 68.33
1663971, 1.46, 100.00, 145.80, 46.22, 68.97
1679971, 1.45, 100.00, 145.40, 46.67, 69.62
1695971, 1.45, 99.90, 145.25, 47.11, 70.27
1711971, 1.45, 100.10, 145.55, 47.55, 70.92
1727972, 1.45, 100.00, 145.40, 48.00, 71.56
1743971, 1.45, 100.00, 145.40, 48.44, 72.21
1759971, 1.45, 100.00, 145.40, 48.89, 72.85
1775971, 1.45, 100.00, 145.40, 49.33, 73.50
1791971, 1.45, 100.00, 145.40, 49.78, 74.15
1807971, 1.45, 100.00, 145.00, 50.22, 74.79
1823972, 1.45, 100.00, 145.00, 50.67, 75.44
1839971, 1.45, 99.90, 144.86, 51.11, 76.08
1855971, 1.45, 100.00, 145.00, 51.55, 76.72
1871971, 1.45, 100.00, 145.00, 52.00, 77.37
1887971, 1.45, 100.00, 145.00, 52.44, 78.01
1903972, 1.45, 100.00, 144.60, 52.89, 78.66
1919971, 1.45, 99.90, 144.85, 53.33, 79.30
1935971, 1.45, 100.00, 145.00, 53.78, 79.94
1951971, 1.45, 100.10, 145.15, 54.22, 80.59
1967971, 1.45, 100.10, 144.74, 54.67, 81.23
1983971, 1.45, 100.00, 144.60, 55.11, 81.87
1999971, 1.45, 100.00, 144.60, 55.55, 82.52
2015972, 1.45, 100.00, 144.60, 56.00, 83.16
2031971, 1.45, 100.00, 144.60, 56.44, 83.80
2047971, 1.45, 100.00, 144.60, 56.89, 84.44
2063972, 1.45, 100.00, 144.60, 57.33, 85.09
2079972, 1.44, 100.00, 144.20, 57.78, 85.73
2095971, 1.44, 100.00, 144.20, 58.22, 86.37
2111971, 1.44, 100.00, 144.20, 58.66, 87.01
2127972, 1.44, 99.90, 144.06, 59.11, 87.65
2143971, 1.44, 100.00, 144.20, 59.55, 88.29
2159971, 1.44, 100.00, 144.20, 60.00, 88.93
2175971, 1.44, 100.00, 143.80, 60.44, 89.57
2191971, 1.44, 100.00, 144.20, 60.89, 90.21
2207971, 1.44, 100.00, 143.80, 61.33, 90.86
2223971, 1.44, 100.00, 143.80, 61.78, 91.50
2239971, 1.44, 100.10, 143.94, 62.22, 92.14
2255971, 1.44, 100.00, 143.80, 62.66, 92.77
2271971, 1.44, 100.00, 143.80, 63.11, 93.41
2287971, 1.44, 100.00, 143.80, 63.55, 94.05
2303971, 1.44, 99.90, 144.05, 64.00, 94.69
2319971, 1.44, 100.00, 143.80, 64.44, 95.33
2335972, 1.44, 99.90, 143.66, 64.89, 95.97
2351972, 1.44, 99.90, 143.66, 65.33, 96.61
2367971, 1.44, 100.00, 143.80, 65.77, 97.25
2383971, 1.43, 100.10, 143.54, 66.22, 97.89
2399971, 1.43, 100.00, 143.40, 66.66, 98.52
2415971, 1.43, 100.00, 143.40, 67.11, 99.16
2431972, 1.43, 100.00, 143.40, 67.55, 99.80
2447972, 1.43, 99.90, 143.26, 68.00, 100.44
2463971, 1.43, 99.90, 143.26, 68.44, 101.07
2479971, 1.43, 100.00, 143.40, 68.89, 101.71
2495971, 1.43, 99.90, 143.26, 69.33, 102.35
2511971, 1.43, 100.00, 143.00, 69.77, 102.99
2527971, 1.43, 99.90, 142.86, 70.22, 103.62
2543971, 1.43, 99.90, 142.86, 70.66, 104.26
2559972, 1.43, 99.90, 143.26, 71.11, 104.89
2575971, 1.43, 100.00, 143.00, 71.55, 105.53
2591971, 1.43, 100.00, 143.00, 72.00, 106.17
2607972, 1.43, 100.00, 143.00, 72.44, 106.80
2623971, 1.43, 100.00, 143.00, 72.88, 107.44
2639971, 1.43, 100.00, 142.60, 73.33, 108.07
2655972, 1.43, 100.00, 143.00, 73.77, 108.71
2671971, 1.43, 99.90, 142.86, 74.22, 109.34
2687971, 1.43, 100.00, 142.60, 74.66, 109.98
2703971, 1.43, 100.00, 143.00, 75.11, 110.61
2719971, 1.43, 100.00, 143.00, 75.55, 111.25
2735972, 1.43, 100.00, 143.00, 76.00, 111.88
2751971, 1.43, 100.00, 142.60, 76.44, 112.52
2767971, 1.43, 100.00, 142.60, 76.88, 113.15
2783971, 1.43, 100.00, 142.60, 77.33, 113.78
2799971, 1.43, 100.00, 142.60, 77.77, 114.42
2815971, 1.43, 100.00, 142.60, 78.22, 115.05
2831971, 1.43, 100.00, 142.60, 78.66, 115.68
2847972, 1.43, 99.90, 142.46, 79.11, 116.32
2863972, 1.43, 100.00, 142.60, 79.55, 116.95
2879971, 1.42, 99.90, 142.06, 79.99, 117.58
2895972, 1.42, 100.00, 142.20, 80.44, 118.22
2911971, 1.42, 100.00, 142.20, 80.88, 118.85
2927972, 1.42, 100.00, 142.20, 81.33, 119.48
2943971, 1.42, 100.00, 142.20, 81.77, 120.11
2959971, 1.42, 100.10, 142.34, 82.22, 120.75
2975971, 1.42, 99.90, 142.06, 82.66, 121.38
2991971, 1.42, 100.00, 142.20, 83.11, 122.01
3007971, 1.42, 100.00, 142.20, 83.55, 122.64
3023972, 1.42, 100.00, 142.20, 83.99, 123.27
3039971, 1.42, 100.00, 142.20, 84.44, 123.90
3055972, 1.42, 100.00, 142.20, 84.88, 124.54
3071971, 1.42, 99.90, 141.66, 85.33, 125.17
3087972, 1.42, 100.00, 141.80, 85.77, 125.80
3103971, 1.42, 100.00, 141.80, 86.22, 126.43
3119972, 1.42, 100.00, 141.80, 86.66, 127.06
3135972, 1.42, 100.00, 141.80, 87.11, 127.69
3151971, 1.42, 99.90, 141.66, 87.55, 128.32
3166973, 1.42, 100.00, 141.80, 87.97, 128.91
3182972, 1.42, 100.00, 141.80, 88.41, 129.54
3198972, 1.42, 100.00, 141.80, 88.86, 130.17
3214972, 1.42, 100.00, 141.80, 89.30, 130.80
3230973, 1.42, 100.00, 141.80, 89.74, 131.43
3246973, 1.41, 99.90, 141.26, 90.19, 132.06
3262972, 1.41, 100.00, 141.40, 90.63, 132.69
3278973, 1.41, 100.00, 141.40, 91.08, 133.32
3294972, 1.41, 100.00, 141.40, 91.52, 133.94
3310972, 1.41, 100.00, 141.40, 91.97, 134.57
3326972, 1.41, 100.10, 141.54, 92.41, 135.20
3342973, 1.41, 100.00, 141.40, 92.85, 135.83
3358972, 1.41, 99.90, 141.26, 93.30, 136.46
3374972, 1.41, 100.00, 141.40, 93.74, 137.09
3390972, 1.41, 100.00, 141.40, 94.19, 137.71
3406973, 1.41, 100.00, 141.00, 94.63, 138.34
3422973, 1.41, 100.00, 141.40, 95.08, 138.97
3438972, 1.41, 99.90, 141.26, 95.52, 139.60
3454972, 1.41, 99.90, 140.86, 95.96, 140.22
3470973, 1.41, 100.00, 141.40, 96.41, 140.85
