millis,voltage,current,power,capacity,energy
0, 1.42, 500.52, 711.77, 0.00, 0.00
15308, 1.41, 500.00, 705.02, 2.13, 3.01
30310, 1.39, 499.72, 696.59, 4.21, 5.93
46310, 1.39, 499.80, 694.71, 6.43, 9.01
62309, 1.37, 499.72, 686.61, 8.65, 12.08
78309, 1.37, 499.72, 686.60, 10.87, 15.14
94309, 1.37, 499.72, 682.60, 13.09, 18.18
110309, 1.36, 500.00, 680.99, 15.32, 21.21
126309, 1.36, 499.60, 678.45, 17.54, 24.23
142310, 1.35, 499.60, 676.45, 19.76, 27.24
158309, 1.35, 499.80, 674.72, 21.98, 30.24
174309, 1.35, 499.92, 672.87, 24.20, 33.24
190310, 1.34, 499.72, 670.61, 26.42, 36.23
206309, 1.34, 499.80, 670.72, 28.64, 39.21
222309, 1.34, 499.72, 668.62, 30.86, 42.18
238309, 1.34, 499.92, 668.88, 33.08, 45.15
254310, 1.33, 499.60, 664.46, 35.30, 48.11
270309, 1.33, 499.80, 664.71, 37.52, 51.06
286309, 1.33, 499.60, 662.46, 39.75, 54.01
302309, 1.33, 499.80, 662.72, 41.97, 56.95
318309, 1.32, 499.72, 660.61, 44.19, 59.89
334309, 1.32, 499.72, 658.62, 46.41, 62.81
350309, 1.31, 499.60, 656.45, 48.63, 65.74
366309, 1.31, 499.60, 654.45, 50.85, 68.65
382309, 1.31, 499.72, 654.60, 53.07, 71.56
398309, 1.31, 499.60, 652.46, 55.29, 74.46
414309, 1.31, 499.72, 652.61, 57.51, 77.37
430309, 1.31, 499.40, 652.20, 59.73, 80.26
446310, 1.30, 499.80, 648.71, 61.95, 83.15
462309, 1.30, 499.60, 648.46, 64.17, 86.03
478309, 1.30, 499.92, 648.88, 66.39, 88.92
494310, 1.29, 499.72, 646.62, 68.61, 91.79
510309, 1.29, 499.80, 644.71, 70.83, 94.66
526309, 1.29, 499.52, 644.35, 73.05, 97.53
542309, 1.29, 499.80, 644.73, 75.28, 100.39
558310, 1.28, 499.52, 640.36, 77.50, 103.25
574309, 1.29, 499.92, 642.88, 79.72, 106.10
590309, 1.28, 499.92, 640.90, 81.94, 108.95
606309, 1.28, 499.32, 638.10, 84.16, 111.79
622310, 1.27, 499.60, 636.47, 86.38, 114.63
638310, 1.27, 499.92, 636.89, 88.60, 117.46
654309, 1.27, 499.52, 636.36, 90.82, 120.29
670310, 1.27, 499.52, 634.38, 93.04, 123.11
686309, 1.27, 499.72, 634.62, 95.26, 125.93
702310, 1.27, 499.80, 634.73, 97.48, 128.75
718309, 1.27, 499.52, 632.38, 99.70, 131.56
734310, 1.26, 499.60, 630.48, 101.92, 134.37
750309, 1.26, 499.40, 630.22, 104.14, 137.17
766309, 1.26, 499.52, 628.37, 106.36, 139.97
782310, 1.25, 499.72, 626.62, 108.58, 142.77
798309, 1.25, 499.40, 626.23, 110.80, 145.56
814309, 1.25, 499.80, 626.73, 113.02, 148.34
830310, 1.25, 499.52, 624.38, 115.24, 151.12
846309, 1.25, 499.60, 624.47, 117.46, 153.89
862310, 1.25, 499.60, 622.49, 119.68, 156.66
878309, 1.24, 499.52, 620.39, 121.90, 159.42
894309, 1.24, 499.32, 620.13, 124.12, 162.18
