millis,voltage,current,power,capacity,energy
0, 1.53, 100.00, 153.00, 0.00, 0.00
15629, 1.53, 100.00, 152.60, 0.43, 0.66
31629, 1.53, 100.00, 152.60, 0.88, 1.34
47629, 1.53, 100.00, 152.60, 1.32, 2.02
63629, 1.52, 100.00, 152.20, 1.77, 2.70
79629, 1.52, 100.00, 152.20, 2.21, 3.37
95629, 1.52, 100.10, 151.95, 2.66, 4.05
111629, 1.52, 100.00, 151.80, 3.10, 4.73
127629, 1.51, 100.00, 151.40, 3.55, 5.40
143629, 1.51, 100.10, 151.55, 3.99, 6.07
159630, 1.51, 100.10, 151.15, 4.44, 6.75
175629, 1.51, 100.20, 151.30, 4.88, 7.42
191629, 1.51, 100.10, 151.15, 5.33, 8.09
207629, 1.51, 100.00, 150.60, 5.77, 8.76
223630, 1.51, 100.10, 150.75, 6.22, 9.43
239629, 1.50, 100.10, 150.35, 6.66, 10.10
255629, 1.50, 100.10, 150.35, 7.10, 10.77
271630, 1.50, 100.00, 150.20, 7.55, 11.44
287629, 1.50, 100.10, 150.35, 7.99, 12.10
303629, 1.50, 100.10, 149.95, 8.44, 12.77
319629, 1.50, 100.10, 149.95, 8.88, 13.44
335629, 1.49, 100.00, 149.40, 9.33, 14.10
351629, 1.49, 100.10, 149.55, 9.77, 14.77
367630, 1.49, 100.00, 149.40, 10.22, 15.43
383629, 1.49, 100.10, 149.55, 10.66, 16.10
399629, 1.49, 100.10, 149.55, 11.11, 16.76
415629, 1.49, 100.00, 149.00, 11.55, 17.42
431629, 1.49, 100.00, 149.00, 12.00, 18.09
447629, 1.49, 100.10, 149.15, 12.44, 18.75
463629, 1.49, 100.00, 149.00, 12.89, 19.41
479630, 1.49, 100.10, 149.15, 13.33, 20.07
495629, 1.49, 100.00, 149.00, 13.78, 20.74
511630, 1.49, 100.10, 148.75, 14.22, 21.40
527629, 1.48, 100.00, 148.20, 14.66, 22.06
543629, 1.48, 100.00, 148.20, 15.11, 22.72
559629, 1.48, 100.00, 148.20, 15.55, 23.38
575629, 1.48, 100.00, 148.20, 16.00, 24.03
591629, 1.48, 100.00, 148.20, 16.44, 24.69
607629, 1.48, 100.10, 148.35, 16.89, 25.35
623629, 1.48, 100.00, 148.20, 17.33, 26.01
639629, 1.48, 100.00, 147.80, 17.78, 26.67
655629, 1.48, 100.10, 147.95, 18.22, 27.33
671629, 1.48, 100.10, 147.95, 18.67, 27.98
687629, 1.48, 100.10, 147.95, 19.11, 28.64
703629, 1.48, 100.00, 147.80, 19.56, 29.30
719629, 1.47, 100.10, 147.55, 20.00, 29.95
735629, 1.48, 100.10, 147.95, 20.44, 30.61
751629, 1.47, 100.00, 147.40, 20.89, 31.27
767630, 1.47, 100.10, 147.55, 21.33, 31.92
783629, 1.47, 100.00, 147.00, 21.78, 32.58
799629, 1.47, 100.10, 147.15, 22.22, 33.23
815630, 1.47, 100.10, 147.15, 22.67, 33.88
831629, 1.47, 100.00, 147.00, 23.11, 34.54
847630, 1.47, 100.00, 147.00, 23.56, 35.19
863629, 1.47, 100.10, 147.15, 24.00, 35.85
879630, 1.47, 100.00, 147.00, 24.45, 36.50
895629, 1.47, 100.10, 147.15, 24.89, 37.15
911629, 1.47, 100.00, 147.00, 25.34, 37.81
927629, 1.47, 100.00, 147.00, 25.78, 38.46
943629, 1.47, 100.00, 147.00, 26.22, 39.11
959629, 1.47, 100.00, 146.60, 26.67, 39.77
975630, 1.47, 100.00, 146.60, 27.11, 40.42
991630, 1.47, 100.00, 146.60, 27.56, 41.07
1007629, 1.47, 100.10, 146.75, 28.00, 41.72
1023629, 1.47, 100.00, 146.60, 28.45, 42.37
1039629, 1.46, 100.10, 146.35, 28.89, 43.02
1055629, 1.47, 100.00, 146.60, 29.34, 43.68
1071629, 1.46, 100.10, 146.35, 29.78, 44.33
1087630, 1.46, 100.00, 146.20, 30.23, 44.98
1103629, 1.46, 100.10, 146.35, 30.67, 45.63
1119629, 1.46, 100.00, 146.20, 31.12, 46.28
1135629, 1.46, 100.00, 146.20, 31.56, 46.93
1151629, 1.46, 100.00, 145.80, 32.00, 47.58
1167629, 1.46, 100.00, 145.80, 32.45, 48.23
1183629, 1.46, 100.10, 145.95, 32.89, 48.87
1199629, 1.46, 100.00, 145.80, 33.34, 49.52
1215629, 1.46, 100.00, 145.80, 33.78, 50.17
1231629, 1.46, 100.10, 145.95, 34.23, 50.82
1247629, 1.46, 100.10, 145.95, 34.67, 51.47
1263630, 1.45, 100.00, 145.40, 35.12, 52.12
1279630, 1.46, 100.10, 145.95, 35.56, 52.76
1295629, 1.45, 100.00, 145.40, 36.01, 53.41
1311630, 1.45, 100.00, 145.40, 36.45, 54.06
1327629, 1.45, 100.10, 145.55, 36.90, 54.70
1343629, 1.45, 100.00, 145.40, 37.34, 55.35
1359630, 1.45, 100.00, 145.00, 37.78, 56.00
1375629, 1.45, 100.10, 145.15, 38.23, 56.64
1391629, 1.45, 100.10, 145.15, 38.67, 57.29
1407629, 1.45, 100.10, 145.15, 39.12, 57.93
1423629, 1.45, 100.10, 145.15, 39.56, 58.58
1439629, 1.45, 100.10, 145.15, 40.01, 59.22
1455629, 1.45, 100.10, 145.15, 40.45, 59.87
1471629, 1.45, 100.00, 145.00, 40.90, 60.51
1487629, 1.45, 100.00, 145.00, 41.34, 61.15
1503629, 1.45, 100.10, 144.74, 41.79, 61.80
1519629, 1.45, 100.10, 144.74, 42.23, 62.44
1535629, 1.45, 100.10, 144.75, 42.68, 63.08
1551629, 1.45, 100.10, 144.74, 43.12, 63.73
1567629, 1.45, 100.10, 144.74, 43.57, 64.37
1583629, 1.44, 100.10, 144.35, 44.01, 65.01
1599629, 1.45, 100.10, 144.74, 44.45, 65.65
1615629, 1.44, 100.00, 144.20, 44.90, 66.30
1631629, 1.44, 100.00, 144.20, 45.34, 66.94
1647629, 1.44, 100.00, 144.20, 45.79, 67.58
1663629, 1.44, 100.00, 144.20, 46.23, 68.22
1679629, 1.44, 100.00, 144.20, 46.68, 68.86
1695629, 1.44, 99.90, 144.06, 47.12, 69.50
1711629, 1.44, 100.10, 144.34, 47.57, 70.14
1727629, 1.44, 99.90, 144.06, 48.01, 70.78
1743629, 1.44, 100.00, 144.20, 48.46, 71.43
1759629, 1.44, 99.90, 144.06, 48.90, 72.07
