millis,voltage,current,power,capacity,energy
0, 1.47, 100.10, 147.55, 0.00, 0.00
15649, 1.51, 100.10, 151.15, 0.43, 0.66
31649, 1.51, 100.00, 151.40, 0.88, 1.33
47649, 1.51, 100.10, 151.55, 1.32, 2.00
63649, 1.51, 100.10, 151.15, 1.77, 2.67
79650, 1.51, 100.10, 151.15, 2.21, 3.35
95649, 1.51, 100.00, 151.00, 2.66, 4.02
111649, 1.51, 100.10, 151.15, 3.10, 4.69
126650, 1.51, 100.00, 151.00, 3.52, 5.32
142650, 1.51, 100.10, 151.15, 3.97, 5.99
158650, 1.51, 100.10, 150.75, 4.41, 6.66
174650, 1.51, 100.10, 151.15, 4.86, 7.33
190650, 1.51, 100.00, 151.00, 5.30, 8.00
206650, 1.51, 100.10, 150.75, 5.74, 8.67
222650, 1.51, 100.10, 150.75, 6.19, 9.34
238650, 1.51, 100.10, 150.75, 6.63, 10.01
254651, 1.50, 100.10, 150.35, 7.08, 10.68
270650, 1.50, 100.00, 150.20, 7.52, 11.35
286650, 1.50, 100.20, 150.50, 7.97, 12.02
302650, 1.50, 100.10, 150.35, 8.41, 12.69
318650, 1.50, 100.10, 150.35, 8.86, 13.35
334650, 1.50, 100.10, 149.95, 9.30, 14.02
350650, 1.50, 100.00, 149.80, 9.75, 14.69
366650, 1.50, 100.10, 149.95, 10.19, 15.35
382650, 1.50, 100.00, 149.80, 10.64, 16.02
398651, 1.50, 100.00, 149.80, 11.08, 16.69
414650, 1.49, 100.10, 149.55, 11.53, 17.35
430650, 1.50, 100.10, 149.95, 11.97, 18.02
446650, 1.49, 100.10, 149.55, 12.42, 18.68
462651, 1.49, 100.10, 149.55, 12.86, 19.35
478651, 1.49, 100.10, 149.55, 13.31, 20.01
494650, 1.49, 100.00, 149.40, 13.75, 20.68
510650, 1.49, 100.10, 149.15, 14.20, 21.34
526650, 1.49, 100.00, 149.00, 14.64, 22.00
542650, 1.49, 100.20, 149.30, 15.09, 22.67
558650, 1.49, 100.00, 149.00, 15.53, 23.33
574650, 1.49, 100.00, 149.00, 15.97, 23.99
590650, 1.49, 100.00, 148.60, 16.42, 24.65
606651, 1.49, 100.10, 149.15, 16.86, 25.32
622651, 1.49, 100.10, 148.75, 17.31, 25.98
638650, 1.49, 100.10, 148.75, 17.75, 26.64
654650, 1.49, 100.10, 148.75, 18.20, 27.30
670650, 1.49, 100.00, 148.60, 18.64, 27.96
686651, 1.49, 100.20, 148.90, 19.09, 28.62
702650, 1.49, 100.20, 148.90, 19.53, 29.28
718650, 1.48, 100.10, 148.35, 19.98, 29.94
734650, 1.48, 100.10, 148.35, 20.42, 30.60
750650, 1.48, 100.00, 148.20, 20.87, 31.26
766650, 1.48, 100.10, 148.35, 21.31, 31.92
782650, 1.48, 100.20, 148.50, 21.76, 32.58
798650, 1.48, 100.10, 148.35, 22.20, 33.24
814650, 1.48, 100.10, 147.95, 22.65, 33.89
830650, 1.48, 100.10, 147.95, 23.09, 34.55
846651, 1.48, 100.10, 147.95, 23.54, 35.21
862650, 1.48, 100.10, 147.95, 23.98, 35.87
878650, 1.48, 100.10, 147.95, 24.43, 36.52
894650, 1.47, 100.10, 147.55, 24.87, 37.18
910651, 1.48, 100.10, 147.95, 25.32, 37.84
926651, 1.47, 100.10, 147.55, 25.76, 38.49
