millis,voltage,current,power,capacity,energy
0, 1.35, 499.92, 674.91, 0.00, 0.00
15223, 1.36, 499.60, 678.45, 2.11, 2.88
31223, 1.34, 499.60, 670.45, 4.34, 5.88
47223, 1.33, 499.80, 666.73, 6.56, 8.85
63223, 1.33, 499.52, 664.35, 8.78, 11.81
79223, 1.32, 499.52, 660.35, 11.00, 14.75
95224, 1.32, 499.52, 658.33, 13.22, 17.68
111223, 1.31, 499.80, 656.72, 15.44, 20.60
127223, 1.31, 499.72, 654.63, 17.66, 23.51
143223, 1.30, 499.60, 650.47, 19.88, 26.40
159224, 1.30, 499.60, 648.47, 22.10, 29.30
175223, 1.29, 499.40, 646.20, 24.32, 32.18
191223, 1.29, 499.52, 646.36, 26.54, 35.05
207223, 1.29, 499.80, 644.72, 28.76, 37.92
223223, 1.29, 499.60, 642.47, 30.98, 40.78
239223, 1.28, 499.60, 640.47, 33.20, 43.64
255223, 1.28, 499.60, 640.47, 35.42, 46.49
271223, 1.28, 499.60, 638.46, 37.64, 49.33
287224, 1.28, 499.72, 638.61, 39.86, 52.16
303223, 1.27, 499.60, 636.49, 42.08, 54.99
319223, 1.27, 499.60, 636.47, 44.30, 57.82
335224, 1.27, 499.52, 632.37, 46.52, 60.64
351223, 1.27, 499.32, 632.12, 48.74, 63.45
367224, 1.27, 499.40, 632.23, 50.96, 66.26
383223, 1.26, 499.32, 630.12, 53.18, 69.06
399223, 1.26, 499.20, 627.97, 55.40, 71.86
415223, 1.26, 499.60, 628.48, 57.62, 74.65
431224, 1.25, 499.52, 626.38, 59.84, 77.44
447223, 1.25, 499.72, 626.63, 62.06, 80.23
463223, 1.25, 499.40, 624.22, 64.28, 83.01
479223, 1.25, 499.20, 621.98, 66.50, 85.78
495224, 1.25, 499.52, 622.38, 68.72, 88.55
511223, 1.25, 499.52, 622.37, 70.94, 91.32
527224, 1.24, 499.60, 620.46, 73.16, 94.08
543223, 1.24, 499.40, 620.23, 75.38, 96.84
559223, 1.24, 499.60, 620.48, 77.60, 99.59
575223, 1.24, 499.40, 618.24, 79.82, 102.34
591223, 1.23, 499.72, 616.62, 82.04, 105.09
607223, 1.23, 499.52, 616.38, 84.26, 107.83
623224, 1.23, 499.52, 614.37, 86.48, 110.56
639223, 1.23, 499.52, 616.39, 88.70, 113.30
655223, 1.23, 499.52, 614.38, 90.92, 116.03
671223, 1.22, 499.40, 610.23, 93.14, 118.75
687224, 1.23, 499.60, 612.49, 95.36, 121.47
703223, 1.22, 499.32, 610.15, 97.58, 124.19
719224, 1.22, 499.72, 610.64, 99.80, 126.90
735223, 1.22, 499.52, 608.39, 102.02, 129.61
751223, 1.22, 499.40, 608.25, 104.24, 132.32
767224, 1.21, 499.40, 606.23, 106.46, 135.02
783223, 1.21, 499.40, 606.24, 108.68, 137.72
799223, 1.21, 499.60, 606.48, 110.90, 140.41
815224, 1.21, 499.40, 604.25, 113.12, 143.10
831223, 1.21, 499.72, 606.65, 115.34, 145.79
847224, 1.21, 499.60, 604.49, 117.56, 148.47
863223, 1.21, 499.60, 602.51, 119.78, 151.15
879223, 1.21, 499.32, 602.15, 122.00, 153.83
895223, 1.20, 499.60, 600.48, 124.22, 156.51
911223, 1.20, 499.52, 600.39, 126.44, 159.18
927224, 1.20, 499.52, 600.41, 128.66, 161.85
943223, 1.20, 499.40, 598.25, 130.88, 164.51
959223, 1.20, 499.40, 598.26, 133.10, 167.17
975223, 1.19, 499.52, 596.41, 135.32, 169.83
991223, 1.19, 499.32, 596.16, 137.54, 172.48
1007223, 1.19, 499.32, 596.16, 139.76, 175.13
1023224, 1.19, 499.32, 596.15, 141.98, 177.78
1039223, 1.19, 499.52, 596.40, 144.20, 180.42
1055224, 1.19, 499.52, 594.40, 146.42, 183.07
1071223, 1.19, 499.32, 594.16, 148.64, 185.70
1087223, 1.19, 499.32, 592.16, 150.86, 188.34
1103223, 1.19, 499.20, 592.02, 153.08, 190.97
1119224, 1.19, 499.52, 592.40, 155.30, 193.60
1135223, 1.18, 499.12, 589.93, 157.52, 196.22
1151223, 1.18, 499.12, 587.93, 159.74, 198.85
1167223, 1.18, 499.60, 588.49, 161.96, 201.47
1183223, 1.18, 499.72, 588.65, 164.18, 204.09
1199224, 1.18, 499.60, 588.51, 166.40, 206.70
1215224, 1.18, 499.52, 588.40, 168.62, 209.31
1231223, 1.18, 499.72, 588.64, 170.84, 211.92
1247223, 1.17, 499.52, 586.41, 173.06, 214.53
1263223, 1.17, 499.20, 586.04, 175.28, 217.13
1279223, 1.17, 499.52, 586.40, 177.50, 219.74
1295223, 1.17, 499.52, 584.39, 179.72, 222.33
1311224, 1.17, 499.52, 586.39, 181.94, 224.93
1327223, 1.17, 499.12, 583.94, 184.15, 227.52
1343224, 1.17, 499.52, 582.41, 186.37, 230.11
1359223, 1.17, 499.40, 582.27, 188.59, 232.70
1375223, 1.16, 499.40, 580.28, 190.81, 235.29
1391223, 1.16, 499.32, 580.17, 193.03, 237.88
1407223, 1.16, 499.40, 580.27, 195.25, 240.46
1423223, 1.16, 499.60, 580.51, 197.47, 243.04
1439223, 1.16, 499.32, 580.18, 199.69, 245.62
1455223, 1.16, 499.52, 578.40, 201.91, 248.19
1471223, 1.16, 499.32, 580.18, 204.13, 250.77
1487224, 1.16, 499.40, 578.28, 206.35, 253.34
1503223, 1.16, 499.20, 578.05, 208.57, 255.91
1519223, 1.16, 499.32, 578.15, 210.79, 258.48
1535223, 1.16, 499.72, 578.64, 213.01, 261.04
1551223, 1.15, 499.60, 576.50, 215.23, 263.61
1567223, 1.15, 499.40, 576.29, 217.45, 266.17
1583223, 1.15, 499.32, 576.19, 219.67, 268.73
1599223, 1.15, 499.40, 574.28, 221.89, 271.29
1615224, 1.15, 499.60, 574.50, 224.11, 273.84
1631223, 1.15, 499.40, 574.28, 226.33, 276.40
1647223, 1.15, 499.32, 574.19, 228.55, 278.95
1663224, 1.15, 499.60, 574.50, 230.77, 281.50
1679223, 1.15, 499.32, 574.19, 232.99, 284.05
1695223, 1.15, 499.12, 573.94, 235.20, 286.59
1711223, 1.15, 499.40, 572.28, 237.42, 289.14
1727223, 1.15, 499.32, 572.19, 239.64, 291.69
1743223, 1.15, 499.52, 572.42, 241.86, 294.23
1759223, 1.14, 499.52, 570.41, 244.08, 296.77
1775224, 1.14, 499.32, 570.18, 246.30, 299.31
1791224, 1.15, 499.32, 572.19, 248.52, 301.85
1807223, 1.14, 499.12, 569.97, 250.74, 304.39
1823223, 1.14, 499.40, 570.27, 252.96, 306.92
1839223, 1.14, 499.20, 570.07, 255.18, 309.45
1855223, 1.14, 499.20, 570.05, 257.40, 311.98
1871223, 1.14, 499.52, 570.42, 259.62, 314.51
1887223, 1.14, 499.80, 568.74, 261.84, 317.04
1903223, 1.14, 499.40, 568.28, 264.06, 319.57
1919224, 1.14, 499.20, 568.04, 266.28, 322.10
1935223, 1.14, 499.32, 568.19, 268.49, 324.62
1951223, 1.13, 499.40, 566.27, 270.71, 327.14
1967224, 1.13, 499.32, 566.18, 272.93, 329.66
1983223, 1.14, 499.32, 568.19, 275.15, 332.18
1999223, 1.13, 499.40, 566.29, 277.37, 334.69
2015223, 1.13, 498.92, 563.74, 279.59, 337.21
2031223, 1.13, 499.40, 566.28, 281.81, 339.72
2047223, 1.13, 499.52, 566.42, 284.03, 342.23
2063223, 1.13, 499.40, 566.29, 286.25, 344.75
2079223, 1.13, 499.32, 564.19, 288.47, 347.25
2095224, 1.13, 499.32, 564.20, 290.69, 349.76
2111224, 1.13, 500.92, 566.07, 292.91, 352.27
2127223, 1.13, 500.80, 565.94, 295.14, 354.79
2143223, 1.12, 500.80, 561.94, 297.36, 357.29
2159223, 1.13, 500.92, 566.07, 299.59, 359.80
2175223, 1.13, 499.32, 562.19, 301.81, 362.31
2191223, 1.13, 499.12, 561.97, 304.03, 364.81
2207223, 1.12, 499.40, 560.30, 306.25, 367.30
2223223, 1.13, 499.12, 561.96, 308.47, 369.80
2239223, 1.13, 499.12, 561.98, 310.69, 372.29
2255223, 1.12, 499.32, 560.19, 312.91, 374.79
2271223, 1.13, 499.32, 562.19, 315.13, 377.28
2287223, 1.12, 499.40, 560.30, 317.35, 379.77
2303224, 1.12, 499.32, 560.20, 319.57, 382.26
2319223, 1.12, 499.00, 559.84, 321.78, 384.75
2335224, 1.12, 499.52, 558.43, 324.00, 387.23
2351223, 1.12, 499.32, 558.20, 326.22, 389.72
2367224, 1.12, 499.12, 557.98, 328.44, 392.20
2383223, 1.12, 499.32, 558.20, 330.66, 394.68
2399224, 1.12, 499.12, 557.97, 332.88, 397.16
2415224, 1.12, 499.32, 558.19, 335.10, 399.64
2431223, 1.11, 499.32, 556.19, 337.32, 402.12
2447223, 1.12, 499.32, 558.19, 339.54, 404.60
2463223, 1.11, 499.12, 555.97, 341.76, 407.07
2479223, 1.11, 499.12, 555.98, 343.98, 409.54
2495223, 1.11, 499.32, 556.21, 346.19, 412.01
2511223, 1.11, 499.20, 556.07, 348.41, 414.48
2527224, 1.11, 499.40, 554.31, 350.63, 416.95
2543223, 1.11, 499.40, 554.31, 352.85, 419.42
2559224, 1.11, 499.40, 554.30, 355.07, 421.89
2575223, 1.11, 499.40, 554.31, 357.29, 424.35
2591223, 1.11, 499.52, 554.42, 359.51, 426.82
2607223, 1.11, 499.40, 554.30, 361.73, 429.28
2623223, 1.11, 499.32, 554.21, 363.95, 431.74
2639223, 1.11, 499.52, 552.43, 366.17, 434.20
2655224, 1.11, 499.32, 552.22, 368.39, 436.66
2671223, 1.11, 499.60, 552.52, 370.61, 439.12
2687223, 1.11, 499.12, 552.01, 372.83, 441.57
2703224, 1.10, 499.52, 550.43, 375.05, 444.03
2719224, 1.11, 499.20, 552.08, 377.27, 446.48
2735223, 1.11, 499.40, 552.31, 379.49, 448.93
2751224, 1.11, 499.20, 552.08, 381.71, 451.38
2767223, 1.10, 499.72, 550.66, 383.93, 453.83
2783223, 1.10, 499.40, 550.31, 386.15, 456.28
2799223, 1.10, 499.32, 550.22, 388.37, 458.73
2815223, 1.10, 499.40, 550.31, 390.59, 461.18
2831223, 1.10, 499.52, 550.43, 392.81, 463.62
2847224, 1.10, 499.40, 550.31, 395.02, 466.06
2863223, 1.10, 499.40, 550.32, 397.24, 468.50
2879223, 1.10, 499.52, 548.44, 399.46, 470.94
2895223, 1.10, 499.32, 548.23, 401.68, 473.38
2911223, 1.09, 499.32, 546.21, 403.90, 475.82
2927223, 1.10, 499.32, 548.23, 406.12, 478.25
2943223, 1.10, 499.32, 548.22, 408.34, 480.69
2959224, 1.09, 499.32, 546.23, 410.56, 483.12
2975223, 1.10, 499.52, 548.43, 412.78, 485.56
2991223, 1.09, 499.40, 546.32, 415.00, 487.99
3007223, 1.09, 499.32, 546.21, 417.22, 490.42
3023223, 1.09, 499.52, 546.43, 419.44, 492.85
3039223, 1.09, 499.00, 545.87, 421.66, 495.27
3055223, 1.09, 499.32, 544.21, 423.88, 497.70
3071223, 1.09, 500.80, 545.91, 426.10, 500.13
3087223, 1.09, 499.20, 546.10, 428.32, 502.56
3103224, 1.09, 500.80, 545.92, 430.54, 504.98
3119223, 1.09, 499.72, 544.66, 432.76, 507.40
3135224, 1.09, 499.40, 544.32, 434.98, 509.82
3151223, 1.09, 499.52, 546.44, 437.20, 512.24
3167223, 1.09, 499.32, 542.23, 439.42, 514.66
3183223, 1.09, 499.32, 544.21, 441.64, 517.07
3199224, 1.09, 499.20, 544.09, 443.86, 519.49
3215223, 1.09, 499.20, 544.09, 446.08, 521.90
3231223, 1.09, 499.20, 542.10, 448.30, 524.31
3247223, 1.09, 499.52, 542.44, 450.52, 526.73
3263223, 1.09, 499.12, 542.00, 452.74, 529.14
3279224, 1.09, 499.32, 542.23, 454.96, 531.54
3295224, 1.08, 499.40, 540.32, 457.18, 533.95
3311223, 1.08, 499.52, 540.45, 459.40, 536.36
3327223, 1.08, 499.20, 540.11, 461.62, 538.76
3343223, 1.08, 499.40, 540.32, 463.83, 541.17
3359223, 1.08, 499.52, 540.45, 466.05, 543.57
3375223, 1.08, 499.40, 540.31, 468.27, 545.97
3391223, 1.08, 499.52, 540.45, 470.49, 548.37
3407223, 1.08, 499.40, 540.34, 472.71, 550.77
3423224, 1.08, 499.32, 540.23, 474.93, 553.17
3439223, 1.08, 499.20, 540.11, 477.15, 555.57
3455223, 1.08, 499.32, 538.22, 479.37, 557.96
3471223, 1.08, 499.32, 540.24, 481.59, 560.36
3487224, 1.08, 499.12, 538.02, 483.81, 562.75
3503223, 1.08, 499.52, 538.44, 486.03, 565.15
3519223, 1.08, 499.32, 538.23, 488.25, 567.54
3535223, 1.08, 499.52, 538.45, 490.47, 569.93
3551223, 1.08, 499.32, 538.23, 492.69, 572.32
3567223, 1.08, 499.52, 538.45, 494.91, 574.71
3583223, 1.07, 499.32, 536.23, 497.13, 577.10
3599224, 1.07, 499.12, 536.03, 499.35, 579.49
3615223, 1.08, 499.32, 538.23, 501.56, 581.87
3631223, 1.08, 499.32, 538.23, 503.78, 584.26
3647223, 1.07, 499.40, 536.33, 506.00, 586.64
3663223, 1.07, 499.40, 536.31, 508.22, 589.03
3679223, 1.07, 499.12, 536.03, 510.44, 591.41
3695223, 1.07, 499.32, 534.25, 512.66, 593.79
3711224, 1.07, 499.32, 534.25, 514.88, 596.17
3727223, 1.07, 499.52, 534.45, 517.10, 598.55
3743223, 1.07, 499.32, 534.24, 519.32, 600.93
3759224, 1.07, 499.20, 534.10, 521.54, 603.31
3775224, 1.07, 499.32, 534.23, 523.76, 605.69
3791224, 1.07, 499.20, 532.12, 525.98, 608.06
3807223, 1.07, 499.52, 534.45, 528.20, 610.43
3823223, 1.07, 499.40, 532.31, 530.42, 612.80
3839223, 1.07, 499.52, 534.46, 532.64, 615.18
3855223, 1.07, 499.32, 532.24, 534.86, 617.54
3871223, 1.07, 499.20, 532.12, 537.08, 619.91
3887223, 1.07, 499.40, 532.32, 539.30, 622.28
3903223, 1.07, 499.20, 532.12, 541.52, 624.65
3919223, 1.07, 499.20, 532.12, 543.73, 627.01
3935224, 1.07, 499.12, 532.02, 545.95, 629.38
3951224, 1.07, 499.52, 532.44, 548.17, 631.74
3967223, 1.06, 499.32, 530.24, 550.39, 634.10
3983223, 1.07, 499.12, 532.02, 552.61, 636.47
3999223, 1.06, 499.32, 530.24, 554.83, 638.83
