millis,voltage,current,power,capacity,energy
0, 1.55, 100.90, 156.40, 0.00, 0.00
15561, 1.54, 100.90, 155.19, 0.44, 0.67
31561, 1.54, 100.90, 155.19, 0.88, 1.36
47561, 1.54, 101.00, 155.35, 1.33, 2.05
63561, 1.53, 100.10, 153.55, 1.78, 2.74
79561, 1.53, 100.00, 153.40, 2.23, 3.42
95561, 1.53, 100.00, 153.00, 2.67, 4.10
111561, 1.53, 100.00, 153.40, 3.11, 4.78
127561, 1.53, 100.10, 153.15, 3.56, 5.46
143561, 1.53, 100.00, 153.00, 4.00, 6.14
159561, 1.53, 100.00, 152.60, 4.45, 6.82
175561, 1.53, 100.00, 152.60, 4.89, 7.50
191561, 1.53, 100.10, 152.75, 5.34, 8.18
207561, 1.53, 100.00, 152.60, 5.78, 8.86
223561, 1.53, 100.10, 152.75, 6.23, 9.54
239561, 1.52, 100.10, 152.35, 6.67, 10.21
255561, 1.52, 100.00, 152.20, 7.12, 10.89
271561, 1.52, 100.00, 152.20, 7.56, 11.57
287561, 1.52, 100.00, 151.80, 8.01, 12.24
303561, 1.52, 100.00, 151.80, 8.45, 12.92
319561, 1.52, 100.00, 151.80, 8.89, 13.59
335561, 1.52, 100.00, 151.80, 9.34, 14.27
351561, 1.52, 100.00, 151.80, 9.78, 14.94
367561, 1.51, 100.00, 151.40, 10.23, 15.62
383562, 1.51, 100.00, 151.40, 10.67, 16.29
399562, 1.51, 100.00, 151.40, 11.12, 16.96
415561, 1.51, 100.10, 151.15, 11.56, 17.64
431562, 1.51, 100.00, 151.00, 12.01, 18.31
447561, 1.51, 100.10, 151.15, 12.45, 18.98
463561, 1.51, 100.00, 151.00, 12.90, 19.65
479561, 1.51, 100.10, 150.75, 13.34, 20.32
495561, 1.51, 100.00, 151.00, 13.79, 20.99
511561, 1.51, 100.00, 150.60, 14.23, 21.66
527561, 1.51, 100.00, 151.00, 14.67, 22.33
543561, 1.51, 100.10, 150.75, 15.12, 23.00
559561, 1.51, 100.00, 150.60, 15.56, 23.67
575561, 1.51, 100.00, 150.60, 16.01, 24.34
591562, 1.50, 100.00, 150.20, 16.45, 25.01
607561, 1.50, 100.10, 150.35, 16.90, 25.68
623561, 1.50, 100.00, 150.20, 17.34, 26.35
639561, 1.50, 100.00, 150.20, 17.79, 27.01
655561, 1.50, 100.00, 150.20, 18.23, 27.68
671562, 1.50, 100.10, 149.95, 18.68, 28.35
687561, 1.50, 100.10, 150.35, 19.12, 29.02
703561, 1.50, 100.00, 149.80, 19.56, 29.68
719561, 1.50, 100.10, 149.95, 20.01, 30.35
735562, 1.50, 100.00, 149.80, 20.45, 31.01
751561, 1.49, 100.00, 149.40, 20.90, 31.68
767562, 1.49, 100.10, 149.55, 21.34, 32.35
783562, 1.49, 100.10, 149.55, 21.79, 33.01
799561, 1.49, 100.10, 149.55, 22.23, 33.67
815561, 1.49, 100.00, 149.40, 22.68, 34.34
831561, 1.49, 100.10, 149.55, 23.12, 35.00
847561, 1.49, 100.10, 149.55, 23.57, 35.67
863562, 1.49, 100.10, 149.15, 24.01, 36.33
879561, 1.49, 100.10, 149.15, 24.46, 36.99
895561, 1.49, 100.10, 149.15, 24.90, 37.66
