millis,voltage,current,power,capacity,energy
0, 1.51, 101.00, 152.52, 0.00, 0.00
15974, 1.51, 101.00, 152.12, 0.45, 0.68
31975, 1.51, 100.10, 150.75, 0.90, 1.35
47974, 1.51, 100.10, 150.75, 1.34, 2.02
63974, 1.50, 100.10, 150.35, 1.78, 2.69
79974, 1.50, 100.00, 150.20, 2.23, 3.36
95975, 1.50, 100.10, 150.35, 2.67, 4.02
111974, 1.50, 100.10, 149.95, 3.12, 4.69
127975, 1.50, 100.10, 149.95, 3.56, 5.36
143975, 1.50, 100.10, 149.95, 4.01, 6.02
159974, 1.49, 100.10, 149.55, 4.45, 6.69
175974, 1.50, 100.10, 149.95, 4.90, 7.36
191974, 1.50, 100.10, 149.95, 5.34, 8.02
207975, 1.49, 100.10, 149.55, 5.79, 8.69
223974, 1.49, 100.10, 149.55, 6.23, 9.35
239974, 1.49, 100.10, 149.55, 6.68, 10.01
255974, 1.49, 100.10, 149.55, 7.12, 10.68
271975, 1.49, 100.10, 149.15, 7.57, 11.34
287974, 1.49, 100.20, 149.30, 8.01, 12.00
303974, 1.49, 100.10, 149.15, 8.46, 12.67
319974, 1.49, 100.10, 149.15, 8.90, 13.33
335974, 1.49, 100.20, 148.90, 9.35, 13.99
351974, 1.49, 100.10, 148.75, 9.79, 14.65
367974, 1.49, 100.20, 148.90, 10.24, 15.31
383975, 1.49, 100.10, 148.75, 10.68, 15.97
399974, 1.48, 100.10, 148.35, 11.13, 16.63
415975, 1.48, 100.10, 148.35, 11.57, 17.29
431974, 1.48, 100.10, 148.35, 12.02, 17.95
447974, 1.48, 100.10, 148.35, 12.46, 18.61
463974, 1.48, 100.10, 148.35, 12.91, 19.27
479975, 1.48, 100.10, 148.35, 13.35, 19.93
495974, 1.48, 100.10, 147.95, 13.80, 20.59
511974, 1.48, 100.10, 147.95, 14.24, 21.24
527974, 1.48, 100.10, 147.95, 14.69, 21.90
543974, 1.47, 100.00, 147.40, 15.13, 22.56
559975, 1.47, 100.10, 147.55, 15.58, 23.22
575974, 1.47, 100.10, 147.55, 16.02, 23.87
591974, 1.47, 100.00, 147.40, 16.47, 24.53
607974, 1.47, 100.10, 147.55, 16.91, 25.18
623974, 1.47, 100.10, 147.55, 17.36, 25.84
639974, 1.47, 100.10, 147.55, 17.80, 26.49
655975, 1.47, 100.00, 147.00, 18.25, 27.15
671974, 1.47, 100.10, 147.15, 18.69, 27.80
687974, 1.47, 100.10, 147.15, 19.14, 28.46
703974, 1.47, 100.00, 147.00, 19.58, 29.11
719975, 1.47, 100.10, 147.15, 20.03, 29.76
735974, 1.47, 100.10, 146.75, 20.47, 30.42
751974, 1.47, 100.10, 146.75, 20.91, 31.07
767974, 1.47, 100.00, 146.60, 21.36, 31.72
783974, 1.47, 100.00, 146.60, 21.80, 32.37
799974, 1.46, 100.00, 146.20, 22.25, 33.03
815974, 1.46, 100.00, 146.20, 22.69, 33.68
831974, 1.46, 100.10, 146.35, 23.14, 34.33
847974, 1.46, 100.10, 146.35, 23.58, 34.98
863974, 1.46, 100.10, 146.35, 24.03, 35.63
879974, 1.46, 100.10, 146.35, 24.47, 36.28
895974, 1.46, 100.10, 146.35, 24.92, 36.93
911974, 1.46, 100.10, 146.35, 25.36, 37.58
927975, 1.46, 100.10, 145.95, 25.81, 38.23
943974, 1.46, 100.10, 146.35, 26.25, 38.88
959974, 1.46, 100.10, 145.95, 26.70, 39.53
975974, 1.46, 100.10, 145.95, 27.14, 40.18
991975, 1.46, 100.10, 145.95, 27.59, 40.83
1007975, 1.46, 100.10, 145.95, 28.03, 41.47
1023974, 1.46, 100.10, 145.95, 28.48, 42.12
1039974, 1.45, 100.10, 145.55, 28.92, 42.77
1055974, 1.45, 100.20, 145.69, 29.37, 43.42
1071974, 1.45, 100.10, 145.55, 29.81, 44.07
1087974, 1.45, 100.10, 145.55, 30.26, 44.71
1103974, 1.45, 100.10, 145.15, 30.70, 45.36
1119974, 1.45, 100.10, 145.55, 31.15, 46.01
1135974, 1.45, 100.10, 145.55, 31.59, 46.65
1151974, 1.45, 100.10, 145.15, 32.04, 47.30
1167974, 1.45, 100.00, 145.00, 32.48, 47.94
1183974, 1.45, 100.10, 145.15, 32.93, 48.59
1199974, 1.45, 100.10, 145.15, 33.37, 49.23
1215975, 1.45, 100.20, 145.29, 33.82, 49.88
1231974, 1.45, 100.20, 144.89, 34.26, 50.52
1247974, 1.45, 100.10, 145.15, 34.71, 51.17
1263975, 1.45, 100.10, 144.74, 35.15, 51.81
1279974, 1.45, 100.10, 145.15, 35.60, 52.46
1295974, 1.45, 100.10, 144.75, 36.04, 53.10
1311974, 1.45, 100.10, 144.75, 36.49, 53.74
1327974, 1.45, 100.10, 144.74, 36.93, 54.39
1343974, 1.45, 100.10, 144.75, 37.38, 55.03
1359975, 1.44, 100.10, 144.35, 37.82, 55.67
1375975, 1.45, 100.20, 144.89, 38.27, 56.32
1391975, 1.44, 100.10, 144.34, 38.71, 56.96
1407975, 1.45, 100.10, 144.75, 39.16, 57.60
1423974, 1.44, 100.10, 144.35, 39.60, 58.24
1439975, 1.44, 100.10, 144.35, 40.04, 58.88
1455974, 1.44, 100.10, 144.35, 40.49, 59.52
1471974, 1.44, 100.10, 144.35, 40.93, 60.16
1487975, 1.44, 100.10, 144.35, 41.38, 60.81
