millis,voltage,current,power,capacity,energy
0, 1.51, 100.10, 150.75, 0.00, 0.00
16004, 1.54, 100.00, 154.20, 0.44, 0.69
32005, 1.55, 100.00, 154.60, 0.89, 1.37
48004, 1.55, 100.00, 154.60, 1.33, 2.06
64005, 1.54, 100.00, 154.20, 1.78, 2.75
80004, 1.54, 100.00, 154.20, 2.22, 3.43
96004, 1.54, 100.00, 154.20, 2.67, 4.12
112005, 1.54, 100.10, 154.35, 3.11, 4.80
128004, 1.54, 99.90, 154.05, 3.56, 5.49
144004, 1.54, 100.00, 153.80, 4.00, 6.17
160004, 1.54, 100.10, 153.95, 4.45, 6.86
176004, 1.54, 100.10, 153.95, 4.89, 7.54
192004, 1.53, 100.00, 153.40, 5.34, 8.22
208004, 1.53, 100.10, 153.55, 5.78, 8.91
224004, 1.53, 100.00, 153.40, 6.23, 9.59
240004, 1.53, 100.00, 153.40, 6.67, 10.27
256004, 1.53, 100.10, 153.15, 7.11, 10.95
272004, 1.53, 100.10, 153.15, 7.56, 11.63
288004, 1.53, 100.00, 153.00, 8.00, 12.31
304004, 1.53, 100.10, 153.15, 8.45, 12.99
320004, 1.53, 100.00, 152.60, 8.89, 13.67
336004, 1.53, 100.10, 152.75, 9.34, 14.35
352005, 1.53, 100.00, 152.60, 9.78, 15.03
368004, 1.53, 100.00, 152.60, 10.23, 15.71
384005, 1.53, 100.00, 152.60, 10.67, 16.39
400004, 1.53, 100.10, 152.75, 11.12, 17.07
416004, 1.52, 100.00, 152.20, 11.56, 17.74
432004, 1.52, 100.00, 152.20, 12.01, 18.42
448004, 1.52, 100.00, 152.20, 12.45, 19.10
464004, 1.52, 100.10, 152.35, 12.89, 19.77
480005, 1.52, 100.10, 151.95, 13.34, 20.45
496004, 1.52, 100.00, 151.80, 13.78, 21.12
512005, 1.52, 100.00, 151.80, 14.23, 21.80
528004, 1.52, 100.00, 151.80, 14.67, 22.47
544005, 1.52, 100.10, 151.95, 15.12, 23.15
560004, 1.52, 100.00, 151.80, 15.56, 23.82
576004, 1.51, 100.00, 151.40, 16.01, 24.50
592004, 1.51, 100.10, 151.55, 16.45, 25.17
608004, 1.51, 100.00, 151.40, 16.90, 25.84
624004, 1.51, 100.00, 151.40, 17.34, 26.52
640004, 1.51, 100.10, 151.15, 17.79, 27.19
656004, 1.51, 99.90, 150.85, 18.23, 27.86
672004, 1.51, 100.10, 151.15, 18.67, 28.53
688004, 1.51, 100.00, 151.00, 19.12, 29.21
704004, 1.51, 100.10, 151.15, 19.56, 29.88
720004, 1.51, 100.10, 151.15, 20.01, 30.55
736004, 1.51, 100.00, 151.00, 20.45, 31.22
752004, 1.51, 100.00, 150.60, 20.90, 31.89
768004, 1.51, 100.00, 150.60, 21.34, 32.56
784004, 1.51, 100.00, 150.60, 21.79, 33.23
800004, 1.50, 100.00, 150.20, 22.23, 33.90
816004, 1.50, 100.10, 150.35, 22.68, 34.57
832004, 1.50, 100.10, 150.35, 23.12, 35.24
848004, 1.50, 100.00, 150.20, 23.57, 35.90
864004, 1.50, 100.00, 150.20, 24.01, 36.57
880004, 1.50, 100.10, 150.35, 24.45, 37.24
896004, 1.50, 100.00, 150.20, 24.90, 37.91
912004, 1.50, 100.10, 149.95, 25.34, 38.58
928004, 1.50, 100.00, 150.20, 25.79, 39.24
944004, 1.50, 100.10, 150.35, 26.23, 39.91
960004, 1.50, 100.00, 149.80, 26.68, 40.58
976004, 1.50, 100.00, 149.80, 27.12, 41.24
992004, 1.50, 100.10, 149.95, 27.57, 41.91
1008004, 1.49, 100.10, 149.55, 28.01, 42.57
1024004, 1.49, 100.00, 149.40, 28.46, 43.24
1040004, 1.49, 100.10, 149.55, 28.90, 43.90
1056005, 1.49, 100.00, 149.40, 29.35, 44.57
1072005, 1.49, 100.10, 149.55, 29.79, 45.23
1088004, 1.49, 100.10, 149.55, 30.23, 45.90
1104004, 1.49, 100.00, 149.40, 30.68, 46.56
1120004, 1.49, 100.00, 149.40, 31.12, 47.22
1136004, 1.49, 100.00, 149.40, 31.57, 47.89
1152005, 1.49, 100.00, 149.00, 32.01, 48.55
1168004, 1.49, 100.00, 149.00, 32.46, 49.21
1184004, 1.49, 100.00, 149.00, 32.90, 49.87
1200004, 1.49, 100.00, 149.00, 33.35, 50.54
1216004, 1.49, 100.10, 149.15, 33.79, 51.20
1232004, 1.49, 100.10, 149.15, 34.24, 51.86
1248005, 1.49, 100.10, 148.75, 34.68, 52.52
1264004, 1.49, 100.20, 148.90, 35.12, 53.18
1280004, 1.49, 100.10, 148.75, 35.57, 53.84
1296004, 1.48, 100.00, 148.20, 36.01, 54.50
1312005, 1.49, 100.00, 148.60, 36.46, 55.16
1328004, 1.48, 100.00, 148.20, 36.90, 55.83
1344004, 1.49, 100.00, 148.60, 37.35, 56.49
1360005, 1.48, 100.00, 148.20, 37.79, 57.14
1376004, 1.48, 100.10, 148.35, 38.24, 57.80
1392004, 1.48, 100.00, 148.20, 38.68, 58.46
1408005, 1.48, 100.00, 148.20, 39.13, 59.12
1424004, 1.48, 100.00, 148.20, 39.57, 59.78
1440004, 1.48, 100.00, 148.20, 40.02, 60.44
1456004, 1.48, 100.00, 148.20, 40.46, 61.10
1472004, 1.48, 100.10, 147.95, 40.90, 61.76
1488004, 1.48, 100.00, 147.80, 41.35, 62.41
1504004, 1.48, 100.00, 147.80, 41.79, 63.07
1520004, 1.48, 100.00, 147.80, 42.24, 63.73
1536004, 1.48, 100.00, 147.80, 42.68, 64.38
1552004, 1.47, 100.10, 147.55, 43.13, 65.04
1568004, 1.47, 100.00, 147.40, 43.57, 65.70
1584004, 1.48, 100.00, 147.80, 44.02, 66.35
1600004, 1.47, 100.00, 147.40, 44.46, 67.01
1616004, 1.48, 100.10, 147.95, 44.91, 67.67
1632004, 1.47, 100.00, 147.40, 45.35, 68.32
1648005, 1.47, 100.00, 147.40, 45.79, 68.98
1664004, 1.47, 100.00, 147.40, 46.24, 69.63
1680005, 1.47, 100.00, 147.40, 46.68, 70.29
1696005, 1.47, 100.00, 147.00, 47.13, 70.94
1712004, 1.47, 100.10, 147.55, 47.57, 71.60
1728004, 1.47, 100.00, 147.00, 48.02, 72.25
1744004, 1.47, 100.00, 147.00, 48.46, 72.90
1760004, 1.47, 100.00, 147.00, 48.91, 73.56
1776004, 1.47, 100.10, 147.15, 49.35, 74.21
1792004, 1.47, 100.00, 147.00, 49.80, 74.86
1808004, 1.47, 100.00, 147.00, 50.24, 75.52
1824004, 1.47, 100.00, 147.00, 50.69, 76.17
1840004, 1.47, 100.00, 146.60, 51.13, 76.82
1856004, 1.47, 99.90, 146.45, 51.57, 77.48
1872004, 1.47, 99.90, 146.85, 52.02, 78.13
1888004, 1.47, 100.00, 146.60, 52.46, 78.78
1904004, 1.47, 100.10, 146.75, 52.91, 79.43
1920005, 1.47, 100.00, 146.60, 53.35, 80.08
1936004, 1.47, 100.00, 146.60, 53.80, 80.73
1952004, 1.46, 100.00, 146.20, 54.24, 81.39
1968004, 1.46, 100.00, 146.20, 54.69, 82.04
1984005, 1.46, 100.10, 146.35, 55.13, 82.69
2000004, 1.46, 100.00, 146.20, 55.58, 83.34
2016004, 1.46, 100.00, 146.20, 56.02, 83.99
2032005, 1.46, 100.00, 146.20, 56.46, 84.64
2048004, 1.46, 100.00, 146.20, 56.91, 85.29
2064004, 1.46, 99.90, 146.05, 57.35, 85.94
2080005, 1.46, 100.00, 145.80, 57.80, 86.58
2096005, 1.46, 100.00, 145.80, 58.24, 87.23
2112004, 1.46, 100.00, 145.80, 58.69, 87.88
2128004, 1.46, 100.00, 145.80, 59.13, 88.53
2144004, 1.46, 100.10, 145.95, 59.58, 89.18
2160004, 1.46, 100.10, 145.95, 60.02, 89.83
2176004, 1.46, 100.10, 145.95, 60.46, 90.48
2192004, 1.46, 100.00, 145.80, 60.91, 91.12
2208005, 1.46, 100.00, 145.80, 61.35, 91.77
2224004, 1.46, 100.00, 145.80, 61.80, 92.42
2240004, 1.46, 100.00, 145.80, 62.24, 93.07
2256004, 1.46, 100.00, 145.80, 62.69, 93.72
2272004, 1.45, 100.00, 145.40, 63.13, 94.36
2288005, 1.45, 100.00, 145.40, 63.58, 95.01
2304004, 1.45, 100.00, 145.40, 64.02, 95.66
2320004, 1.45, 100.00, 145.40, 64.47, 96.30
2336005, 1.45, 100.00, 145.40, 64.91, 96.95
2352004, 1.45, 100.00, 145.40, 65.35, 97.59
2368005, 1.45, 100.00, 145.40, 65.80, 98.24
2384004, 1.45, 100.00, 145.40, 66.24, 98.89
2400004, 1.45, 100.00, 145.40, 66.69, 99.53
2416004, 1.45, 100.00, 145.00, 67.13, 100.18
2432004, 1.45, 100.00, 145.40, 67.58, 100.82
2448004, 1.45, 100.00, 145.00, 68.02, 101.47
2464004, 1.45, 100.10, 145.15, 68.47, 102.11
2480004, 1.45, 100.00, 145.00, 68.91, 102.76
