millis,voltage,current,power,capacity,energy
0, 1.39, 500.00, 693.01, 0.00, 0.00
15139, 1.40, 499.72, 700.60, 2.10, 2.95
31139, 1.39, 499.80, 696.71, 4.32, 6.05
47139, 1.39, 499.80, 692.71, 6.55, 9.14
63140, 1.38, 499.72, 690.60, 8.77, 12.21
79139, 1.37, 499.60, 686.43, 10.99, 15.27
95139, 1.37, 499.92, 684.89, 13.21, 18.32
111139, 1.37, 499.60, 682.42, 15.43, 21.36
127139, 1.37, 499.40, 682.17, 17.65, 24.39
143139, 1.36, 499.40, 678.18, 19.87, 27.41
159139, 1.35, 499.80, 676.70, 22.09, 30.42
175140, 1.35, 499.72, 674.60, 24.31, 33.42
191140, 1.35, 499.52, 672.33, 26.53, 36.42
207139, 1.35, 499.32, 672.07, 28.75, 39.41
223139, 1.34, 499.60, 670.45, 30.97, 42.39
239139, 1.34, 499.60, 668.44, 33.19, 45.36
255140, 1.33, 499.72, 666.60, 35.41, 48.33
271139, 1.33, 499.52, 666.34, 37.63, 51.29
287140, 1.33, 499.52, 664.35, 39.85, 54.24
303139, 1.33, 499.52, 662.34, 42.07, 57.19
319140, 1.33, 499.72, 662.60, 44.30, 60.14
335139, 1.32, 499.52, 660.34, 46.52, 63.08
351139, 1.32, 499.60, 658.45, 48.74, 66.01
367139, 1.31, 499.52, 656.34, 50.96, 68.94
383139, 1.31, 499.60, 656.44, 53.18, 71.86
399139, 1.31, 499.52, 656.35, 55.40, 74.77
415139, 1.31, 499.72, 654.60, 57.62, 77.68
431140, 1.31, 499.60, 652.46, 59.84, 80.59
447140, 1.31, 499.72, 652.61, 62.06, 83.49
463140, 1.31, 499.32, 652.10, 64.28, 86.39
479139, 1.30, 499.80, 650.73, 66.50, 89.28
495140, 1.30, 499.72, 648.61, 68.72, 92.16
511140, 1.30, 499.72, 648.61, 70.94, 95.05
527139, 1.30, 499.60, 648.46, 73.16, 97.93
543139, 1.29, 499.60, 646.47, 75.38, 100.80
559140, 1.29, 499.32, 646.10, 77.60, 103.67
575139, 1.29, 499.60, 644.47, 79.82, 106.54
591139, 1.29, 499.40, 642.21, 82.04, 109.40
607139, 1.28, 499.72, 640.62, 84.26, 112.25
623140, 1.29, 499.60, 642.46, 86.48, 115.11
639139, 1.28, 499.60, 640.46, 88.70, 117.96
655139, 1.28, 499.20, 639.95, 90.92, 120.80
671139, 1.28, 499.40, 638.21, 93.14, 123.64
686140, 1.28, 499.60, 638.47, 95.22, 126.30
702140, 1.27, 499.40, 636.21, 97.44, 129.14
718139, 1.27, 499.80, 636.71, 99.66, 131.97
734139, 1.27, 499.60, 634.46, 101.88, 134.79
750139, 1.27, 499.20, 633.95, 104.10, 137.61
766139, 1.27, 499.60, 634.48, 106.32, 140.43
782139, 1.27, 499.60, 634.47, 108.54, 143.25
798139, 1.27, 499.52, 634.36, 110.76, 146.06
814139, 1.27, 499.60, 632.47, 112.98, 148.87
830140, 1.26, 499.60, 630.48, 115.20, 151.68
846139, 1.26, 499.72, 630.63, 117.42, 154.48
862139, 1.26, 499.52, 630.38, 119.64, 157.28
878139, 1.26, 499.40, 628.23, 121.87, 160.08
894140, 1.26, 499.32, 628.12, 124.09, 162.88
910139, 1.26, 499.60, 628.48, 126.31, 165.67
926139, 1.25, 499.52, 626.37, 128.53, 168.45
942139, 1.25, 499.40, 626.21, 130.75, 171.24
958139, 1.25, 499.52, 624.36, 132.96, 174.02
974139, 1.25, 499.72, 624.63, 135.19, 176.80
990139, 1.25, 499.60, 624.48, 137.41, 179.58
1006139, 1.25, 499.40, 624.24, 139.63, 182.35
1022139, 1.25, 499.52, 622.39, 141.85, 185.13
1038140, 1.25, 499.72, 622.63, 144.07, 187.90
1054139, 1.25, 499.32, 624.13, 146.29, 190.67
1070139, 1.24, 499.52, 620.38, 148.51, 193.43
1086139, 1.24, 499.52, 618.38, 150.73, 196.20
1102139, 1.24, 499.40, 620.21, 152.95, 198.96
1118140, 1.24, 499.40, 620.22, 155.17, 201.71
1134139, 1.24, 499.60, 618.47, 157.39, 204.47
1150139, 1.24, 499.32, 618.12, 159.61, 207.22
1166139, 1.24, 499.40, 618.22, 161.83, 209.97
1182139, 1.24, 499.60, 618.48, 164.05, 212.72
1198139, 1.23, 500.00, 616.97, 166.27, 215.46
1214140, 1.23, 499.72, 616.62, 168.49, 218.21
1230139, 1.23, 499.52, 616.38, 170.71, 220.95
1246139, 1.23, 499.52, 616.39, 172.93, 223.69
1262139, 1.23, 499.32, 616.13, 175.15, 226.43
1278139, 1.23, 499.52, 614.37, 177.37, 229.16
1294139, 1.23, 499.32, 616.13, 179.59, 231.90
1310139, 1.23, 499.32, 614.14, 181.81, 234.63
1326139, 1.23, 499.60, 614.48, 184.03, 237.36
1342139, 1.23, 499.72, 614.63, 186.25, 240.08
1358139, 1.23, 499.72, 612.65, 188.47, 242.81
1374139, 1.23, 499.20, 611.99, 190.69, 245.53
1390139, 1.23, 499.52, 612.39, 192.91, 248.26
1406139, 1.23, 499.72, 614.64, 195.13, 250.98
1422139, 1.23, 499.40, 612.24, 197.35, 253.70
1438139, 1.22, 499.60, 608.49, 199.57, 256.41
1454140, 1.22, 499.52, 610.39, 201.79, 259.13
1470139, 1.22, 499.72, 610.64, 204.01, 261.84
1486139, 1.22, 499.52, 610.38, 206.23, 264.55
1502139, 1.22, 499.20, 608.00, 208.44, 267.26
1518139, 1.22, 499.20, 607.99, 210.66, 269.97
1534139, 1.21, 499.60, 606.47, 212.88, 272.67
1550140, 1.21, 499.60, 606.49, 215.10, 275.38
1566140, 1.22, 499.60, 608.49, 217.32, 278.08
1582140, 1.22, 499.20, 607.99, 219.54, 280.78
1598140, 1.21, 499.32, 606.15, 221.76, 283.48
1614139, 1.21, 499.20, 606.00, 223.98, 286.17
1630139, 1.21, 499.72, 606.63, 226.20, 288.87
1646139, 1.21, 499.40, 606.25, 228.42, 291.56
1662139, 1.21, 499.40, 606.25, 230.64, 294.25
1678139, 1.21, 499.40, 604.24, 232.86, 296.94
1694139, 1.21, 499.60, 604.48, 235.08, 299.63
1710139, 1.21, 499.60, 604.49, 237.30, 302.32
1726140, 1.21, 499.52, 604.39, 239.52, 305.01
1742139, 1.21, 499.52, 604.40, 241.74, 307.69
1758139, 1.21, 499.60, 602.49, 243.96, 310.38
1774140, 1.21, 499.32, 602.16, 246.18, 313.06
1790139, 1.21, 499.40, 602.26, 248.40, 315.74
1806139, 1.21, 499.32, 602.14, 250.62, 318.41
1822139, 1.21, 499.40, 602.25, 252.84, 321.09
1838139, 1.20, 499.60, 600.49, 255.06, 323.76
1854139, 1.21, 499.32, 602.16, 257.28, 326.44
1870139, 1.20, 499.20, 600.00, 259.50, 329.11
1886140, 1.21, 499.60, 602.49, 261.72, 331.78
1902139, 1.20, 499.32, 600.15, 263.94, 334.44
1918140, 1.20, 499.52, 600.40, 266.16, 337.11
1934139, 1.20, 499.32, 600.15, 268.38, 339.77
1950139, 1.20, 499.72, 600.62, 270.60, 342.44
1966140, 1.20, 499.20, 598.01, 272.82, 345.10
1982139, 1.20, 499.52, 598.39, 275.04, 347.76
1998139, 1.20, 499.32, 600.14, 277.26, 350.42
2014140, 1.20, 499.32, 598.16, 279.48, 353.08
2030139, 1.19, 499.32, 596.16, 281.70, 355.74
2046139, 1.20, 499.52, 598.40, 283.92, 358.39
2062139, 1.19, 499.52, 596.39, 286.14, 361.04
2078139, 1.19, 499.32, 596.17, 288.36, 363.70
2094140, 1.19, 499.32, 596.15, 290.58, 366.35
2110139, 1.19, 499.32, 596.15, 292.79, 368.99
2126139, 1.19, 499.80, 594.73, 295.01, 371.64
2142139, 1.19, 499.32, 594.18, 297.23, 374.29
2158139, 1.19, 499.40, 594.27, 299.45, 376.93
2174139, 1.19, 499.60, 594.50, 301.67, 379.58
2190139, 1.19, 499.20, 594.02, 303.89, 382.22
2206139, 1.19, 499.40, 594.26, 306.11, 384.86
2222139, 1.19, 499.40, 594.26, 308.33, 387.50
2238139, 1.19, 499.32, 594.16, 310.55, 390.14
2254140, 1.19, 499.12, 591.93, 312.77, 392.77
2270139, 1.19, 499.20, 592.04, 314.99, 395.41
2286139, 1.19, 499.40, 592.26, 317.21, 398.04
2302139, 1.19, 499.20, 592.01, 319.43, 400.67
2318139, 1.18, 499.40, 590.27, 321.65, 403.30
2334140, 1.19, 499.20, 592.01, 323.87, 405.93
2350140, 1.18, 499.20, 590.01, 326.09, 408.56
2366139, 1.18, 499.32, 590.16, 328.31, 411.19
2382139, 1.18, 499.40, 590.25, 330.53, 413.81
2398140, 1.18, 499.52, 588.40, 332.75, 416.43
2414139, 1.18, 499.40, 588.27, 334.97, 419.06
2430139, 1.18, 499.40, 590.26, 337.19, 421.68
2446139, 1.18, 499.40, 590.24, 339.41, 424.30
2462139, 1.18, 499.40, 588.26, 341.62, 426.91
2478139, 1.18, 499.32, 588.18, 343.84, 429.53
2494139, 1.18, 499.20, 588.02, 346.06, 432.14
2510139, 1.18, 499.72, 588.64, 348.28, 434.76
2526140, 1.17, 499.52, 586.41, 350.50, 437.37
2542139, 1.17, 499.40, 586.27, 352.72, 439.98
2558139, 1.18, 499.40, 588.27, 354.94, 442.59
2574140, 1.17, 499.40, 586.26, 357.16, 445.20
2590140, 1.17, 499.60, 586.50, 359.38, 447.80
2606139, 1.17, 499.80, 586.73, 361.60, 450.41
2622139, 1.17, 499.32, 584.18, 363.82, 453.01
2638139, 1.17, 499.80, 584.74, 366.04, 455.61
2654140, 1.17, 499.52, 584.41, 368.26, 458.21
2670139, 1.17, 499.32, 586.16, 370.48, 460.81
2686140, 1.17, 499.32, 584.18, 372.70, 463.41
2702139, 1.17, 499.40, 584.26, 374.92, 466.00
2718139, 1.17, 499.40, 584.26, 377.14, 468.60
2734140, 1.17, 499.32, 584.19, 379.36, 471.19
2750139, 1.17, 499.60, 582.50, 381.58, 473.79
2766140, 1.17, 499.60, 584.50, 383.80, 476.38
2782140, 1.17, 499.40, 582.27, 386.02, 478.97
2798140, 1.17, 499.52, 582.43, 388.24, 481.56
2814139, 1.16, 499.40, 580.27, 390.46, 484.15
2830139, 1.16, 499.40, 580.26, 392.68, 486.73
2846140, 1.16, 499.12, 579.94, 394.90, 489.32
2862139, 1.17, 499.32, 582.17, 397.12, 491.90
2878139, 1.16, 499.20, 580.05, 399.34, 494.48
2894139, 1.17, 499.52, 582.42, 401.56, 497.06
2910139, 1.16, 499.60, 580.51, 403.78, 499.64
2926139, 1.16, 499.80, 580.74, 406.00, 502.22
2942140, 1.16, 499.40, 580.27, 408.22, 504.80
2958139, 1.16, 499.32, 580.18, 410.44, 507.38
2974139, 1.16, 499.40, 578.27, 412.66, 509.96
2990139, 1.16, 499.52, 578.40, 414.88, 512.53
3006140, 1.16, 499.60, 578.51, 417.10, 515.10
3022140, 1.16, 499.40, 578.27, 419.32, 517.67
3038139, 1.15, 499.40, 576.27, 421.54, 520.24
3054139, 1.16, 499.32, 578.18, 423.76, 522.81
3070139, 1.15, 499.20, 576.04, 425.98, 525.38
3086139, 1.15, 499.52, 576.41, 428.19, 527.95
3102139, 1.16, 499.52, 578.41, 430.41, 530.51
3118140, 1.16, 499.32, 578.20, 432.63, 533.08
3134139, 1.15, 499.40, 576.28, 434.85, 535.64
3150139, 1.15, 499.60, 576.51, 437.07, 538.20
3166140, 1.15, 499.60, 574.50, 439.29, 540.76
3182139, 1.15, 499.52, 574.42, 441.51, 543.32
3198139, 1.15, 499.12, 573.95, 443.73, 545.87
3214139, 1.15, 499.60, 574.51, 445.95, 548.43
3230139, 1.15, 499.40, 574.28, 448.17, 550.98
3246139, 1.15, 499.32, 572.19, 450.39, 553.53
3262140, 1.15, 499.92, 574.86, 452.61, 556.09
3278139, 1.15, 499.40, 574.30, 454.83, 558.64
3294139, 1.15, 499.40, 572.29, 457.05, 561.19
3310139, 1.15, 499.52, 574.43, 459.27, 563.74
3326139, 1.15, 499.60, 572.51, 461.49, 566.28
3342140, 1.14, 499.52, 570.44, 463.71, 568.83
3358140, 1.15, 499.72, 572.64, 465.93, 571.38
3374139, 1.15, 499.32, 572.20, 468.15, 573.92
3390139, 1.14, 499.40, 570.30, 470.37, 576.46
3406139, 1.15, 499.32, 572.19, 472.59, 579.01
3422139, 1.14, 499.52, 570.42, 474.81, 581.55
3438139, 1.14, 499.52, 570.41, 477.03, 584.09
3454139, 1.14, 499.40, 570.29, 479.25, 586.63
3470140, 1.14, 499.52, 570.42, 481.47, 589.17
