millis,voltage,current,power,capacity,energy
0, 1.50, 100.10, 149.95, 0.00, 0.00
15725, 1.53, 100.10, 152.75, 0.44, 0.66
31724, 1.53, 100.10, 152.75, 0.88, 1.34
47724, 1.53, 100.10, 152.75, 1.33, 2.02
63724, 1.52, 100.10, 152.35, 1.77, 2.70
79725, 1.52, 100.10, 152.35, 2.22, 3.38
95724, 1.52, 100.10, 151.95, 2.66, 4.06
111725, 1.52, 100.10, 152.35, 3.11, 4.73
127725, 1.52, 100.10, 151.95, 3.55, 5.41
143724, 1.52, 100.10, 151.95, 4.00, 6.08
159724, 1.52, 100.20, 152.11, 4.44, 6.76
174725, 1.52, 100.10, 151.95, 4.86, 7.39
190724, 1.51, 100.20, 151.70, 5.30, 8.07
206724, 1.51, 100.20, 151.70, 5.75, 8.74
222724, 1.51, 100.20, 151.70, 6.20, 9.41
238724, 1.51, 100.10, 151.15, 6.64, 10.09
254725, 1.51, 100.20, 151.30, 7.09, 10.76
270725, 1.51, 100.10, 151.15, 7.53, 11.43
286724, 1.51, 100.20, 150.90, 7.98, 12.10
302724, 1.51, 100.20, 151.30, 8.42, 12.77
318724, 1.51, 100.10, 150.75, 8.87, 13.45
334724, 1.51, 100.10, 150.75, 9.31, 14.12
350724, 1.51, 100.20, 150.90, 9.76, 14.79
366724, 1.51, 100.20, 150.90, 10.20, 15.46
382724, 1.51, 100.10, 150.75, 10.65, 16.13
398724, 1.50, 100.10, 150.35, 11.09, 16.80
414724, 1.50, 100.10, 150.35, 11.54, 17.46
430724, 1.50, 100.10, 150.35, 11.98, 18.13
446724, 1.50, 100.10, 150.35, 12.43, 18.80
462724, 1.50, 100.10, 150.35, 12.87, 19.47
478724, 1.50, 100.00, 150.20, 13.32, 20.14
494724, 1.50, 100.10, 149.95, 13.76, 20.80
510725, 1.50, 100.20, 150.10, 14.21, 21.47
526724, 1.50, 100.10, 149.95, 14.65, 22.14
542724, 1.50, 100.10, 149.95, 15.10, 22.80
558724, 1.49, 100.10, 149.55, 15.54, 23.47
574724, 1.49, 100.10, 149.55, 15.99, 24.13
590724, 1.49, 100.10, 149.55, 16.43, 24.80
606724, 1.49, 100.10, 149.55, 16.88, 25.46
622724, 1.49, 100.10, 149.15, 17.32, 26.13
638724, 1.49, 100.20, 149.30, 17.77, 26.79
654724, 1.49, 100.20, 149.30, 18.21, 27.45
670725, 1.49, 100.10, 149.15, 18.66, 28.12
686724, 1.49, 100.10, 149.15, 19.10, 28.78
702724, 1.49, 100.10, 149.15, 19.55, 29.44
718725, 1.49, 100.20, 149.30, 19.99, 30.10
734724, 1.49, 100.10, 148.75, 20.44, 30.77
750724, 1.49, 100.10, 148.75, 20.88, 31.43
766725, 1.49, 100.10, 148.75, 21.33, 32.09
782724, 1.49, 100.10, 148.75, 21.77, 32.75
798724, 1.49, 100.10, 148.75, 22.22, 33.41
814724, 1.48, 100.20, 148.50, 22.66, 34.07
830724, 1.48, 100.20, 148.50, 23.11, 34.73
846724, 1.48, 100.10, 148.35, 23.55, 35.39
862724, 1.48, 100.20, 148.50, 24.00, 36.05
878724, 1.48, 100.20, 148.50, 24.44, 36.71
894725, 1.48, 100.10, 148.35, 24.89, 37.37
910724, 1.48, 100.20, 148.10, 25.33, 38.03
926725, 1.48, 100.20, 148.10, 25.78, 38.69
942724, 1.48, 100.10, 147.95, 26.22, 39.35
958724, 1.48, 100.10, 147.95, 26.67, 40.00
974725, 1.48, 100.10, 147.95, 27.11, 40.66
990724, 1.47, 100.20, 147.70, 27.56, 41.32
1006724, 1.48, 100.10, 147.95, 28.00, 41.98
1022725, 1.47, 100.10, 147.55, 28.45, 42.63
1038724, 1.47, 100.10, 147.55, 28.89, 43.29
1054724, 1.47, 100.10, 147.55, 29.33, 43.94
1070724, 1.47, 100.10, 147.55, 29.78, 44.60
1086724, 1.47, 100.20, 147.70, 30.23, 45.26
1102725, 1.47, 100.10, 147.55, 30.67, 45.91
1118724, 1.47, 100.10, 147.15, 31.12, 46.57
1134724, 1.47, 100.10, 147.15, 31.56, 47.22
1150725, 1.47, 100.10, 147.15, 32.00, 47.88
1166725, 1.47, 100.10, 147.15, 32.45, 48.53
1182724, 1.47, 100.10, 147.15, 32.89, 49.19
1198724, 1.47, 100.10, 146.75, 33.34, 49.84
1214724, 1.47, 100.20, 147.30, 33.78, 50.49
1230725, 1.47, 100.10, 146.75, 34.23, 51.15
1246725, 1.47, 100.10, 146.75, 34.67, 51.80
1262724, 1.47, 100.00, 146.60, 35.12, 52.45
1278724, 1.47, 100.20, 146.89, 35.56, 53.10
1294725, 1.47, 100.10, 146.75, 36.01, 53.76
1310725, 1.47, 100.10, 146.75, 36.45, 54.41
1326724, 1.47, 100.10, 146.75, 36.90, 55.06
1342724, 1.47, 100.20, 146.89, 37.34, 55.71
1358724, 1.46, 100.10, 146.35, 37.79, 56.36
1374724, 1.46, 100.10, 146.35, 38.23, 57.02
1390724, 1.46, 100.10, 146.35, 38.68, 57.67
1406725, 1.46, 100.20, 146.49, 39.12, 58.32
1422724, 1.46, 100.10, 146.35, 39.57, 58.97
1438724, 1.46, 100.10, 145.95, 40.01, 59.62
1454725, 1.46, 100.10, 145.95, 40.46, 60.27
1470724, 1.46, 100.10, 145.95, 40.90, 60.92
1486724, 1.46, 100.10, 146.35, 41.35, 61.57
1502724, 1.46, 100.10, 145.95, 41.79, 62.21
1518724, 1.46, 100.10, 145.95, 42.24, 62.86
1534724, 1.46, 100.10, 145.95, 42.68, 63.51
1550724, 1.46, 100.20, 146.09, 43.13, 64.16
1566724, 1.46, 100.10, 145.95, 43.57, 64.81
1582724, 1.46, 100.20, 146.09, 44.02, 65.46
1598725, 1.45, 100.10, 145.55, 44.46, 66.11
1614725, 1.45, 100.20, 145.69, 44.91, 66.75
1630724, 1.45, 100.10, 145.55, 45.35, 67.40
1646724, 1.45, 100.10, 145.55, 45.80, 68.05
1662724, 1.45, 100.10, 145.55, 46.24, 68.70
1678725, 1.45, 100.10, 145.55, 46.69, 69.34
1694724, 1.45, 100.10, 145.55, 47.13, 69.99
1710724, 1.45, 100.10, 145.55, 47.58, 70.63
1726724, 1.45, 100.10, 145.15, 48.02, 71.28
1742724, 1.45, 100.10, 145.15, 48.47, 71.93
1758725, 1.45, 100.20, 145.29, 48.91, 72.57
1774725, 1.45, 100.10, 145.15, 49.36, 73.22
1790725, 1.45, 100.20, 145.29, 49.80, 73.86
1806724, 1.45, 100.10, 145.15, 50.25, 74.51
1822724, 1.45, 100.20, 145.29, 50.69, 75.15
1838724, 1.45, 100.10, 144.75, 51.14, 75.80
1854725, 1.45, 100.10, 144.75, 51.58, 76.44
1870724, 1.45, 100.10, 144.75, 52.03, 77.09
1886724, 1.45, 100.10, 144.75, 52.47, 77.73
1902724, 1.45, 100.20, 144.89, 52.92, 78.37
1918724, 1.45, 100.10, 144.74, 53.36, 79.02
1934724, 1.45, 100.10, 144.75, 53.81, 79.66
1950724, 1.45, 100.10, 144.75, 54.25, 80.30
1966725, 1.45, 100.10, 144.75, 54.70, 80.95
1982724, 1.45, 100.10, 144.75, 55.14, 81.59
1998725, 1.45, 100.10, 144.74, 55.59, 82.23
2014724, 1.44, 100.20, 144.49, 56.03, 82.87
2030725, 1.45, 100.10, 144.75, 56.48, 83.52
2046724, 1.44, 100.10, 144.35, 56.92, 84.16
2062724, 1.44, 100.00, 144.20, 57.37, 84.80
2078724, 1.44, 100.20, 144.49, 57.81, 85.44
2094724, 1.44, 100.10, 144.34, 58.26, 86.08
2110725, 1.44, 100.10, 144.35, 58.70, 86.72
2126725, 1.44, 100.10, 144.35, 59.15, 87.37
2142725, 1.44, 100.10, 143.94, 59.59, 88.01
2158724, 1.44, 100.20, 144.49, 60.04, 88.65
2174724, 1.44, 100.10, 144.35, 60.48, 89.29
2190724, 1.44, 100.10, 143.95, 60.93, 89.93
2206724, 1.44, 100.10, 143.95, 61.37, 90.57
2222724, 1.44, 100.10, 143.95, 61.82, 91.21
2238724, 1.44, 100.00, 143.80, 62.26, 91.85
2254724, 1.44, 100.10, 143.94, 62.71, 92.49
2270724, 1.44, 100.10, 143.94, 63.15, 93.13
2286724, 1.44, 100.10, 143.94, 63.60, 93.77
2302724, 1.44, 100.10, 143.94, 64.04, 94.41
2318725, 1.43, 100.00, 143.40, 64.49, 95.05
2334724, 1.44, 100.10, 143.94, 64.93, 95.69
2350724, 1.43, 100.10, 143.54, 65.38, 96.32
2366724, 1.43, 100.00, 143.40, 65.82, 96.96
2382725, 1.43, 100.10, 143.54, 66.27, 97.60
2398724, 1.43, 100.20, 143.69, 66.71, 98.24
2414724, 1.43, 100.10, 143.54, 67.16, 98.88
2430724, 1.43, 100.10, 143.54, 67.60, 99.51
2446724, 1.43, 100.10, 143.54, 68.05, 100.15
2462724, 1.43, 100.00, 143.40, 68.49, 100.79
2478724, 1.43, 100.00, 143.40, 68.94, 101.43
2494724, 1.43, 100.00, 143.00, 69.38, 102.06
2510725, 1.43, 100.10, 143.54, 69.83, 102.70
2526724, 1.43, 100.10, 143.14, 70.27, 103.34
2542724, 1.43, 100.10, 143.54, 70.71, 103.97
2558724, 1.43, 100.10, 143.14, 71.16, 104.61
2574724, 1.43, 100.10, 143.14, 71.60, 105.24
2590725, 1.43, 100.00, 143.00, 72.05, 105.88
2606724, 1.43, 100.10, 143.14, 72.49, 106.52
2622725, 1.43, 100.10, 143.14, 72.94, 107.15
2638725, 1.43, 100.20, 143.29, 73.38, 107.79
2654724, 1.43, 100.10, 142.74, 73.83, 108.42
2670725, 1.43, 100.10, 142.74, 74.27, 109.06
