millis,voltage,current,power,capacity,energy
0, 1.41, 500.32, 707.44, 0.00, 0.00
15579, 1.39, 500.00, 695.00, 2.16, 3.02
31579, 1.38, 499.72, 690.60, 4.39, 6.10
47580, 1.37, 499.72, 684.60, 6.61, 9.16
63579, 1.37, 499.60, 682.44, 8.83, 12.20
79579, 1.36, 499.80, 678.71, 11.05, 15.22
95579, 1.35, 499.92, 676.86, 13.27, 18.23
111580, 1.35, 499.72, 674.59, 15.49, 21.23
127579, 1.34, 499.72, 670.61, 17.71, 24.22
143579, 1.34, 499.72, 668.61, 19.93, 27.20
159579, 1.33, 499.72, 666.61, 22.15, 30.17
175579, 1.33, 499.52, 666.33, 24.37, 33.13
191580, 1.33, 499.72, 662.59, 26.59, 36.09
207579, 1.33, 499.60, 662.44, 28.81, 39.04
223579, 1.32, 499.60, 658.45, 31.03, 41.97
239579, 1.32, 499.52, 658.35, 33.25, 44.91
255580, 1.32, 499.60, 658.45, 35.47, 47.83
271579, 1.31, 499.80, 656.71, 37.69, 50.75
287579, 1.31, 499.52, 654.34, 39.91, 53.66
303579, 1.31, 499.52, 652.35, 42.13, 56.56
319579, 1.30, 499.40, 650.19, 44.35, 59.46
335580, 1.30, 499.72, 650.62, 46.58, 62.35
351580, 1.30, 499.72, 648.61, 48.80, 65.24
367579, 1.30, 499.40, 648.20, 51.02, 68.12
383580, 1.29, 499.32, 646.10, 53.24, 70.99
399579, 1.29, 499.40, 646.19, 55.46, 73.86
415579, 1.29, 499.52, 644.36, 57.68, 76.73
431579, 1.29, 499.32, 642.11, 59.90, 79.59
447579, 1.28, 499.40, 640.20, 62.12, 82.44
463579, 1.28, 499.40, 640.20, 64.34, 85.29
479579, 1.28, 499.40, 640.22, 66.56, 88.14
495580, 1.28, 499.40, 638.21, 68.78, 90.98
511579, 1.27, 499.32, 636.12, 71.00, 93.81
527579, 1.27, 499.52, 634.38, 73.22, 96.64
543579, 1.27, 499.40, 636.23, 75.44, 99.46
559579, 1.27, 499.32, 634.12, 77.66, 102.28
575579, 1.27, 499.40, 634.21, 79.88, 105.10
591580, 1.27, 499.20, 631.96, 82.10, 107.91
607579, 1.27, 499.72, 632.62, 84.32, 110.72
623579, 1.26, 499.40, 628.23, 86.54, 113.52
639579, 1.26, 499.52, 630.36, 88.76, 116.32
655579, 1.26, 499.60, 628.47, 90.98, 119.11
671579, 1.26, 499.72, 628.63, 93.20, 121.90
687579, 1.25, 499.40, 626.22, 95.42, 124.69
703579, 1.25, 499.52, 626.38, 97.64, 127.47
719579, 1.25, 499.32, 624.13, 99.86, 130.25
735579, 1.25, 499.40, 622.23, 102.08, 133.02
751579, 1.25, 499.52, 622.37, 104.30, 135.79
767579, 1.25, 499.40, 622.21, 106.52, 138.56
783579, 1.24, 499.72, 620.62, 108.74, 141.32
799579, 1.24, 499.52, 620.38, 110.96, 144.08
815579, 1.24, 499.20, 617.98, 113.18, 146.83
831579, 1.23, 499.32, 616.12, 115.40, 149.58
847579, 1.24, 499.60, 618.47, 117.62, 152.33
863579, 1.23, 499.60, 616.49, 119.84, 155.07
879579, 1.23, 499.52, 616.37, 122.06, 157.81
895579, 1.23, 499.40, 614.22, 124.28, 160.54
911579, 1.23, 499.60, 616.48, 126.50, 163.27
927580, 1.23, 499.40, 612.23, 128.71, 166.00
943579, 1.23, 499.12, 611.90, 130.93, 168.72
959579, 1.23, 499.32, 612.12, 133.15, 171.45
975580, 1.22, 499.40, 610.24, 135.37, 174.16
991579, 1.22, 499.32, 610.14, 137.59, 176.88
1007580, 1.22, 499.52, 610.38, 139.81, 179.59
1023579, 1.22, 499.52, 608.39, 142.03, 182.30
1039579, 1.22, 499.60, 608.48, 144.25, 185.00
1055579, 1.22, 499.12, 607.90, 146.47, 187.70
1071579, 1.22, 499.20, 608.00, 148.69, 190.40
1087580, 1.21, 499.40, 606.25, 150.91, 193.10
1103579, 1.21, 499.40, 606.24, 153.13, 195.79
1119579, 1.21, 499.40, 606.25, 155.35, 198.48
1135579, 1.21, 499.40, 604.24, 157.57, 201.17
1151579, 1.21, 499.40, 604.25, 159.79, 203.85
1167579, 1.21, 499.40, 602.24, 162.01, 206.53
1183579, 1.21, 499.32, 602.15, 164.23, 209.21
1199579, 1.20, 499.52, 600.40, 166.45, 211.89
1215579, 1.20, 499.40, 600.26, 168.67, 214.56
1231579, 1.20, 499.60, 600.50, 170.89, 217.23
1247579, 1.20, 499.40, 600.25, 173.11, 219.90
1263579, 1.20, 499.32, 600.15, 175.33, 222.56
1279580, 1.20, 499.40, 600.26, 177.55, 225.23
1295579, 1.20, 499.60, 598.49, 179.77, 227.89
1311579, 1.20, 499.52, 598.38, 181.99, 230.55
1327579, 1.20, 499.40, 598.26, 184.21, 233.21
1343579, 1.19, 499.60, 596.49, 186.43, 235.86
1359579, 1.19, 499.60, 596.49, 188.65, 238.51
1375579, 1.19, 499.52, 596.40, 190.87, 241.16
1391580, 1.19, 499.60, 596.49, 193.09, 243.81
1407579, 1.19, 499.72, 594.65, 195.31, 246.45
1423579, 1.19, 499.52, 592.40, 197.53, 249.10
1439580, 1.19, 499.32, 594.16, 199.75, 251.74
1455579, 1.19, 499.32, 592.17, 201.97, 254.37
1471580, 1.19, 499.32, 592.15, 204.19, 257.01
1487579, 1.19, 499.32, 592.17, 206.41, 259.64
1503579, 1.19, 499.52, 592.40, 208.63, 262.27
1519579, 1.18, 499.60, 590.50, 210.85, 264.90
1535580, 1.18, 499.32, 590.17, 213.06, 267.53
1551579, 1.18, 499.60, 590.50, 215.28, 270.15
1567580, 1.18, 499.40, 590.25, 217.50, 272.78
1583579, 1.18, 499.52, 590.40, 219.72, 275.40
1599580, 1.18, 499.32, 588.17, 221.94, 278.02
1615580, 1.18, 499.60, 590.50, 224.16, 280.64
1631580, 1.18, 499.52, 588.40, 226.38, 283.25
1647579, 1.18, 499.40, 588.26, 228.60, 285.86
1663579, 1.17, 499.52, 586.42, 230.82, 288.48
1679580, 1.17, 499.40, 586.27, 233.04, 291.09
1695579, 1.17, 499.40, 586.27, 235.26, 293.69
1711580, 1.17, 499.60, 586.49, 237.48, 296.30
1727579, 1.17, 499.20, 584.03, 239.70, 298.90
1743579, 1.17, 499.32, 584.18, 241.92, 301.50
1759580, 1.17, 499.60, 584.51, 244.14, 304.10
1775579, 1.17, 499.60, 584.51, 246.36, 306.70
1791580, 1.17, 499.32, 584.18, 248.58, 309.30
1807580, 1.17, 499.32, 584.17, 250.80, 311.89
1823580, 1.17, 499.32, 582.17, 253.02, 314.48
1839579, 1.17, 499.32, 582.18, 255.24, 317.07
1855580, 1.17, 499.40, 582.27, 257.46, 319.66
1871580, 1.17, 499.60, 582.51, 259.68, 322.25
1887579, 1.16, 499.52, 580.41, 261.90, 324.83
1903579, 1.17, 499.52, 582.40, 264.12, 327.42
1919579, 1.16, 499.40, 580.26, 266.34, 330.00
1935579, 1.16, 499.40, 580.27, 268.55, 332.58
1951580, 1.16, 499.60, 580.51, 270.77, 335.16
1967579, 1.16, 499.32, 580.17, 272.99, 337.73
1983579, 1.16, 499.52, 580.41, 275.21, 340.31
1999579, 1.16, 499.32, 578.18, 277.43, 342.89
2015579, 1.16, 499.32, 578.17, 279.65, 345.46
2031579, 1.16, 499.20, 578.04, 281.87, 348.03
2047579, 1.16, 499.52, 578.42, 284.09, 350.60
2063580, 1.15, 499.20, 576.04, 286.31, 353.16
2079580, 1.15, 499.12, 575.95, 288.53, 355.73
2095580, 1.15, 499.40, 576.26, 290.75, 358.29
2111580, 1.15, 499.40, 576.28, 292.97, 360.85
2127579, 1.15, 499.40, 576.27, 295.19, 363.41
2143579, 1.15, 499.32, 576.18, 297.41, 365.97
2159579, 1.15, 499.32, 574.17, 299.63, 368.52
2175579, 1.15, 499.32, 576.17, 301.85, 371.07
2191579, 1.15, 499.40, 574.28, 304.07, 373.63
2207579, 1.15, 499.72, 574.65, 306.29, 376.18
2223579, 1.15, 499.20, 572.06, 308.51, 378.73
2239579, 1.15, 499.52, 572.41, 310.73, 381.27
2255579, 1.15, 499.32, 572.19, 312.95, 383.82
2271579, 1.14, 499.32, 570.20, 315.17, 386.36
2287579, 1.15, 499.32, 572.20, 317.39, 388.90
2303579, 1.15, 499.20, 572.04, 319.60, 391.44
2319579, 1.14, 499.60, 570.50, 321.82, 393.98
2335579, 1.14, 499.40, 570.29, 324.04, 396.52
2351580, 1.14, 499.40, 570.28, 326.26, 399.05
2367579, 1.14, 499.60, 570.51, 328.48, 401.59
2383580, 1.14, 499.32, 568.20, 330.70, 404.12
2399579, 1.14, 499.32, 570.20, 332.92, 406.65
2415579, 1.14, 499.72, 570.66, 335.14, 409.17
2431579, 1.13, 499.32, 566.19, 337.36, 411.70
2447579, 1.14, 500.72, 569.87, 339.58, 414.22
2463579, 1.14, 499.52, 568.42, 341.81, 416.75
2479579, 1.13, 499.40, 566.29, 344.03, 419.27
2495579, 1.13, 499.52, 566.42, 346.25, 421.78
2511579, 1.13, 499.40, 566.28, 348.47, 424.30
2527579, 1.13, 499.60, 566.53, 350.68, 426.81
2543579, 1.13, 499.40, 566.29, 352.90, 429.33
2559579, 1.13, 499.32, 564.19, 355.12, 431.84
2575579, 1.13, 499.60, 564.51, 357.34, 434.35
2591579, 1.13, 499.60, 562.52, 359.56, 436.85
2607579, 1.13, 499.60, 562.53, 361.78, 439.36
2623580, 1.13, 499.40, 562.31, 364.00, 441.86
2639579, 1.13, 499.32, 564.21, 366.22, 444.36
2655579, 1.13, 499.72, 562.66, 368.44, 446.86
2671579, 1.13, 499.32, 562.20, 370.66, 449.36
2687579, 1.12, 499.20, 560.08, 372.88, 451.86
2703579, 1.12, 499.12, 559.99, 375.10, 454.35
2719579, 1.12, 499.32, 560.20, 377.32, 456.84
2735579, 1.12, 499.40, 560.30, 379.54, 459.33
2751579, 1.12, 499.72, 560.67, 381.76, 461.82
2767579, 1.12, 499.32, 560.21, 383.98, 464.31
2783579, 1.12, 499.32, 560.21, 386.20, 466.79
2799580, 1.12, 499.32, 558.21, 388.42, 469.28
2815579, 1.11, 499.40, 556.29, 390.64, 471.75
2831580, 1.12, 499.32, 558.21, 392.86, 474.24
2847579, 1.11, 499.52, 556.44, 395.08, 476.71
2863579, 1.12, 499.52, 558.42, 397.30, 479.19
2879579, 1.11, 499.20, 556.08, 399.52, 481.66
2895579, 1.11, 499.52, 554.44, 401.74, 484.13
2911579, 1.11, 499.40, 554.30, 403.96, 486.60
2927579, 1.11, 499.20, 556.07, 406.18, 489.07
2943579, 1.11, 499.20, 554.08, 408.40, 491.54
2959579, 1.11, 499.72, 554.65, 410.62, 494.00
2975579, 1.11, 499.12, 553.99, 412.84, 496.47
2991579, 1.11, 499.32, 552.22, 415.06, 498.93
3007579, 1.11, 499.52, 552.45, 417.28, 501.39
3023579, 1.11, 499.52, 552.42, 419.50, 503.84
3039579, 1.11, 499.52, 552.42, 421.72, 506.30
3055579, 1.11, 499.40, 552.29, 423.94, 508.75
3071579, 1.11, 499.32, 552.22, 426.16, 511.20
3087579, 1.10, 499.20, 550.08, 428.38, 513.65
3103580, 1.10, 499.40, 550.32, 430.60, 516.10
3119579, 1.10, 499.20, 550.09, 432.82, 518.55
3135579, 1.10, 499.60, 550.52, 435.04, 520.99
3151580, 1.10, 499.40, 548.31, 437.26, 523.43
3167579, 1.10, 499.12, 548.01, 439.48, 525.87
3183579, 1.10, 499.52, 548.44, 441.70, 528.31
3199579, 1.10, 499.52, 548.43, 443.92, 530.74
3215579, 1.09, 499.52, 546.44, 446.13, 533.18
3231579, 1.09, 501.00, 548.14, 448.36, 535.61
3247579, 1.09, 499.52, 546.43, 450.58, 538.04
3263579, 1.09, 499.20, 546.08, 452.80, 540.47
3279579, 1.09, 499.52, 544.44, 455.02, 542.90
3295579, 1.09, 499.40, 544.33, 457.24, 545.32
3311579, 1.09, 499.60, 544.53, 459.46, 547.75
3327580, 1.09, 499.52, 544.44, 461.68, 550.17
3343580, 1.09, 499.52, 544.44, 463.90, 552.59
3359580, 1.09, 499.32, 542.23, 466.12, 555.01
3375579, 1.09, 499.32, 544.22, 468.34, 557.42
3391579, 1.09, 499.40, 542.31, 470.56, 559.84
3407579, 1.09, 499.52, 542.45, 472.77, 562.25
3423579, 1.09, 499.40, 542.31, 474.99, 564.66
3439579, 1.08, 499.40, 540.31, 477.21, 567.06
3455579, 1.09, 499.52, 542.44, 479.43, 569.47
3471580, 1.09, 499.52, 542.44, 481.65, 571.87
3487579, 1.08, 499.52, 540.45, 483.87, 574.27
3503580, 1.08, 499.60, 540.54, 486.09, 576.67
3519579, 1.08, 499.60, 540.54, 488.31, 579.07
3535579, 1.08, 499.32, 540.23, 490.53, 581.47
3551580, 1.08, 499.60, 538.55, 492.75, 583.86
3567580, 1.08, 499.60, 538.53, 494.97, 586.26
3583579, 1.08, 499.60, 538.55, 497.19, 588.65
3599580, 1.08, 499.40, 538.33, 499.41, 591.04
3615579, 1.08, 499.32, 538.22, 501.63, 593.43
3631580, 1.07, 499.40, 536.32, 503.85, 595.81
3647579, 1.07, 499.20, 536.11, 506.07, 598.20
3663579, 1.07, 499.40, 536.34, 508.29, 600.58
3679579, 1.07, 499.52, 534.46, 510.51, 602.96
3695579, 1.07, 499.40, 536.33, 512.73, 605.34
3711579, 1.07, 499.52, 534.47, 514.95, 607.71
3727579, 1.07, 499.20, 532.12, 517.17, 610.09
3743580, 1.07, 499.40, 534.34, 519.39, 612.46
3759579, 1.07, 499.40, 534.32, 521.61, 614.83
3775579, 1.07, 499.20, 532.12, 523.83, 617.20
3791580, 1.07, 499.20, 532.13, 526.05, 619.56
3807579, 1.07, 499.32, 532.23, 528.26, 621.93
3823579, 1.06, 499.52, 530.46, 530.48, 624.29
3839580, 1.07, 499.40, 532.35, 532.70, 626.66
3855579, 1.06, 499.72, 530.67, 534.92, 629.01
3871579, 1.07, 499.40, 532.33, 537.14, 631.37
3887579, 1.06, 499.32, 530.24, 539.36, 633.73
3903579, 1.06, 499.40, 528.34, 541.58, 636.08
3919580, 1.06, 499.32, 530.24, 543.80, 638.43
3935579, 1.06, 499.40, 530.34, 546.02, 640.78
3951579, 1.06, 499.52, 528.48, 548.24, 643.13
3967579, 1.06, 499.52, 528.46, 550.46, 645.48
3983579, 1.05, 499.52, 526.45, 552.68, 647.82
3999579, 1.05, 499.32, 526.26, 554.90, 650.17
4015579, 1.05, 499.40, 526.34, 557.12, 652.51
4031579, 1.05, 499.20, 526.12, 559.34, 654.85
4047579, 1.05, 499.32, 524.26, 561.56, 657.19
4063579, 1.05, 499.32, 526.25, 563.78, 659.53
4079579, 1.05, 499.60, 524.57, 566.00, 661.86
4095580, 1.05, 499.32, 524.26, 568.22, 664.19
4111579, 1.05, 499.52, 524.48, 570.44, 666.52
4127580, 1.05, 499.12, 524.04, 572.65, 668.85
4143579, 1.05, 499.40, 524.35, 574.87, 671.18
4159579, 1.05, 499.40, 522.35, 577.09, 673.50
4175580, 1.05, 499.52, 524.47, 579.31, 675.83
4191580, 1.05, 499.20, 522.12, 581.53, 678.15
4207580, 1.05, 499.40, 522.34, 583.75, 680.47
4223579, 1.04, 499.12, 520.05, 585.97, 682.79
4239579, 1.05, 499.72, 522.69, 588.19, 685.10
4255579, 1.04, 499.72, 520.70, 590.41, 687.42
4271579, 1.04, 499.52, 520.47, 592.63, 689.73
