millis,voltage,current,power,capacity,energy
0, 1.51, 100.10, 151.55, 0.00, 0.00
15230, 1.54, 100.10, 153.96, 0.42, 0.65
31230, 1.54, 100.10, 153.96, 0.87, 1.33
47229, 1.53, 100.10, 153.55, 1.31, 2.02
63229, 1.53, 100.10, 153.55, 1.76, 2.70
79229, 1.53, 100.10, 153.56, 2.20, 3.38
95229, 1.53, 100.10, 153.15, 2.65, 4.06
111229, 1.53, 100.10, 153.15, 3.09, 4.74
127229, 1.53, 100.10, 153.15, 3.54, 5.42
143230, 1.53, 100.20, 152.91, 3.98, 6.10
159229, 1.53, 100.20, 152.91, 4.43, 6.78
175229, 1.53, 100.10, 152.75, 4.87, 7.46
191230, 1.52, 100.10, 152.35, 5.32, 8.14
207229, 1.52, 100.10, 152.35, 5.76, 8.82
223229, 1.52, 100.20, 152.51, 6.21, 9.50
239229, 1.52, 100.10, 151.95, 6.65, 10.17
255229, 1.52, 100.10, 152.35, 7.10, 10.85
271229, 1.52, 100.20, 152.10, 7.54, 11.53
287229, 1.52, 100.10, 151.95, 7.99, 12.20
303229, 1.52, 100.10, 151.95, 8.43, 12.88
319229, 1.52, 100.10, 151.95, 8.88, 13.55
335230, 1.51, 100.20, 151.70, 9.32, 14.23
351229, 1.51, 100.10, 151.55, 9.77, 14.90
367230, 1.51, 100.10, 151.55, 10.21, 15.57
383229, 1.51, 100.10, 151.55, 10.66, 16.24
399229, 1.51, 100.20, 151.30, 11.10, 16.92
415229, 1.51, 100.10, 151.15, 11.55, 17.59
431229, 1.51, 100.20, 151.30, 11.99, 18.26
447229, 1.51, 100.10, 151.15, 12.44, 18.93
463229, 1.51, 100.10, 151.15, 12.88, 19.60
479229, 1.51, 100.10, 150.75, 13.33, 20.27
495229, 1.51, 100.20, 150.90, 13.77, 20.94
511229, 1.50, 100.10, 150.35, 14.22, 21.61
527229, 1.50, 100.20, 150.50, 14.66, 22.28
543229, 1.50, 100.10, 150.35, 15.11, 22.95
559229, 1.50, 100.10, 150.35, 15.55, 23.62
575230, 1.50, 100.10, 149.95, 16.00, 24.29
591229, 1.50, 100.10, 150.35, 16.44, 24.95
607229, 1.50, 100.10, 150.35, 16.89, 25.62
623230, 1.50, 100.10, 149.95, 17.33, 26.29
639229, 1.50, 100.10, 150.35, 17.78, 26.96
655229, 1.49, 100.10, 149.55, 18.22, 27.62
671229, 1.49, 100.10, 149.55, 18.67, 28.29
687229, 1.49, 100.20, 149.70, 19.11, 28.95
703229, 1.49, 100.10, 149.55, 19.56, 29.62
719229, 1.49, 100.10, 149.15, 20.00, 30.28
735229, 1.49, 100.20, 149.30, 20.45, 30.95
751229, 1.49, 100.10, 149.55, 20.89, 31.61
767229, 1.49, 100.20, 149.30, 21.34, 32.27
783229, 1.49, 100.10, 149.15, 21.78, 32.94
799229, 1.49, 100.10, 149.15, 22.23, 33.60
815229, 1.49, 100.10, 149.15, 22.67, 34.26
831229, 1.49, 100.10, 149.15, 23.12, 34.93
847229, 1.49, 100.10, 148.75, 23.56, 35.59
863229, 1.49, 100.10, 148.75, 24.01, 36.25
879229, 1.49, 100.10, 148.75, 24.45, 36.91
895229, 1.49, 100.10, 148.75, 24.90, 37.57
911229, 1.48, 100.10, 148.35, 25.34, 38.24
927229, 1.49, 100.20, 148.90, 25.79, 38.90
943230, 1.48, 100.20, 148.50, 26.23, 39.56
959229, 1.49, 100.10, 148.75, 26.68, 40.22
975229, 1.48, 100.10, 148.35, 27.12, 40.88
991230, 1.48, 100.20, 148.50, 27.57, 41.54
1007229, 1.48, 100.10, 148.35, 28.01, 42.20
1023229, 1.48, 100.20, 148.50, 28.46, 42.86
1039230, 1.48, 100.10, 147.95, 28.90, 43.51
1055229, 1.48, 100.20, 148.10, 29.35, 44.17
1071229, 1.48, 100.10, 147.95, 29.79, 44.83
1087229, 1.48, 100.20, 148.10, 30.24, 45.49
1103229, 1.48, 100.20, 148.10, 30.68, 46.14
1119229, 1.48, 100.10, 147.95, 31.13, 46.80
1135230, 1.48, 100.10, 147.95, 31.57, 47.46
1151229, 1.47, 100.10, 147.55, 32.02, 48.12
1167229, 1.47, 100.10, 147.55, 32.46, 48.77
1183229, 1.47, 100.10, 147.55, 32.91, 49.43
1199229, 1.47, 100.20, 147.69, 33.35, 50.08
1215229, 1.47, 100.10, 147.55, 33.80, 50.74
1231230, 1.47, 100.10, 147.15, 34.24, 51.39
1247229, 1.47, 100.10, 147.55, 34.69, 52.05
1263229, 1.47, 100.10, 147.15, 35.13, 52.70
1279230, 1.47, 100.10, 147.55, 35.58, 53.36
1295229, 1.47, 100.20, 147.30, 36.02, 54.01
1311229, 1.47, 100.10, 147.15, 36.47, 54.67
1327229, 1.47, 100.10, 146.75, 36.91, 55.32
1343230, 1.47, 100.00, 146.60, 37.36, 55.97
1359229, 1.47, 100.10, 146.75, 37.80, 56.63
1375229, 1.47, 100.20, 146.89, 38.25, 57.28
1391230, 1.47, 100.10, 146.75, 38.69, 57.93
1407230, 1.47, 100.10, 146.75, 39.14, 58.58
1423229, 1.47, 100.10, 146.75, 39.58, 59.23
1439230, 1.47, 100.10, 146.75, 40.03, 59.89
1455229, 1.46, 100.10, 146.35, 40.47, 60.54
1471229, 1.46, 100.20, 146.49, 40.92, 61.19
1487229, 1.47, 100.10, 146.75, 41.36, 61.84
1503229, 1.46, 100.10, 146.35, 41.81, 62.49
1519230, 1.46, 100.20, 146.49, 42.25, 63.14
1535229, 1.46, 100.10, 146.35, 42.70, 63.79
1551229, 1.46, 100.10, 145.95, 43.14, 64.44
1567230, 1.46, 100.10, 146.35, 43.59, 65.09
1583230, 1.46, 100.10, 145.95, 44.03, 65.74
1599230, 1.46, 100.10, 145.95, 44.48, 66.39
1615230, 1.46, 100.10, 145.95, 44.92, 67.04
1631229, 1.46, 100.10, 145.95, 45.37, 67.69
1647229, 1.46, 100.20, 146.09, 45.81, 68.34
1663229, 1.46, 100.10, 145.95, 46.26, 68.99
1679229, 1.46, 100.10, 145.95, 46.70, 69.63
1695229, 1.46, 100.10, 145.95, 47.15, 70.28
1711229, 1.45, 100.10, 145.55, 47.59, 70.93
1727229, 1.45, 100.10, 145.55, 48.04, 71.58
1743230, 1.45, 100.10, 145.55, 48.48, 72.22
1759229, 1.45, 100.20, 145.69, 48.93, 72.87
1775230, 1.45, 100.10, 145.15, 49.37, 73.52
1791229, 1.45, 100.10, 145.55, 49.82, 74.17
1807229, 1.45, 100.10, 145.55, 50.26, 74.81
1823229, 1.45, 100.20, 145.69, 50.71, 75.46
1839229, 1.45, 100.10, 145.15, 51.15, 76.10
1855230, 1.45, 100.20, 145.29, 51.60, 76.75
1871229, 1.45, 100.10, 145.15, 52.04, 77.40
1887229, 1.45, 100.10, 145.15, 52.49, 78.04
1903229, 1.45, 100.20, 145.29, 52.93, 78.69
1919229, 1.45, 100.10, 145.15, 53.38, 79.33
1935229, 1.45, 100.20, 145.29, 53.82, 79.98
1951230, 1.45, 100.10, 144.74, 54.27, 80.62
1967229, 1.45, 100.10, 144.75, 54.71, 81.26
1983229, 1.45, 100.10, 144.75, 55.16, 81.91
1999229, 1.45, 100.10, 144.75, 55.60, 82.55
2015229, 1.45, 100.10, 144.75, 56.05, 83.20
2031229, 1.45, 100.10, 144.75, 56.49, 83.84
2047229, 1.45, 100.10, 144.75, 56.94, 84.48
2063229, 1.45, 100.10, 144.75, 57.38, 85.13
2079229, 1.45, 100.10, 144.75, 57.83, 85.77
2095229, 1.45, 100.10, 144.75, 58.27, 86.41
2111230, 1.44, 100.10, 144.35, 58.72, 87.06
2127230, 1.44, 100.10, 144.35, 59.16, 87.70
2143229, 1.44, 100.10, 144.35, 59.61, 88.34
2159229, 1.44, 100.10, 144.35, 60.05, 88.98
2175229, 1.44, 100.10, 144.35, 60.50, 89.62
2191230, 1.44, 100.10, 144.35, 60.94, 90.26
2207229, 1.44, 100.10, 144.35, 61.39, 90.91
2223229, 1.44, 100.00, 144.20, 61.83, 91.55
2239229, 1.44, 100.10, 144.35, 62.28, 92.19
2255229, 1.44, 100.10, 144.35, 62.72, 92.83
2271230, 1.44, 100.20, 144.49, 63.17, 93.47
2287230, 1.44, 100.10, 143.94, 63.61, 94.11
2303229, 1.44, 100.10, 143.94, 64.06, 94.75
2319229, 1.44, 100.10, 143.94, 64.50, 95.39
2335229, 1.44, 100.10, 143.94, 64.95, 96.03
2351229, 1.44, 100.20, 144.09, 65.39, 96.67
2367229, 1.44, 100.10, 143.94, 65.84, 97.31
2383229, 1.44, 100.10, 143.94, 66.28, 97.95
2399230, 1.44, 100.10, 143.94, 66.73, 98.59
2415229, 1.44, 100.20, 144.09, 67.17, 99.23
2431229, 1.43, 100.10, 143.54, 67.62, 99.87
2447229, 1.43, 100.10, 143.54, 68.06, 100.51
2463229, 1.43, 100.20, 143.69, 68.51, 101.15
2479229, 1.43, 100.20, 143.69, 68.95, 101.79
2495229, 1.44, 100.10, 143.95, 69.40, 102.43
2511229, 1.43, 100.10, 143.55, 69.84, 103.07
2527230, 1.43, 100.10, 143.54, 70.29, 103.70
2543229, 1.43, 100.10, 143.55, 70.73, 104.34
2559229, 1.43, 100.20, 143.69, 71.18, 104.98
2575230, 1.43, 100.10, 143.54, 71.62, 105.62
2591229, 1.43, 100.20, 143.69, 72.07, 106.26
2607229, 1.43, 100.10, 143.14, 72.51, 106.89
2623229, 1.43, 100.20, 143.29, 72.96, 107.53
2639229, 1.43, 100.10, 143.14, 73.40, 108.17
