millis,voltage,current,power,capacity,energy
0, 1.49, 100.00, 148.60, 0.00, 0.00
15038, 1.51, 100.10, 151.55, 0.42, 0.63
31039, 1.51, 100.10, 151.55, 0.86, 1.31
47039, 1.51, 100.00, 151.40, 1.31, 1.98
63038, 1.51, 100.10, 151.55, 1.75, 2.65
79038, 1.51, 100.10, 151.55, 2.20, 3.33
95038, 1.51, 100.00, 151.40, 2.64, 4.00
111038, 1.51, 100.00, 151.40, 3.09, 4.67
127038, 1.51, 100.00, 151.00, 3.53, 5.34
143038, 1.51, 100.10, 151.15, 3.98, 6.02
159039, 1.51, 100.10, 151.15, 4.42, 6.69
175038, 1.51, 100.00, 151.00, 4.87, 7.36
191038, 1.51, 100.00, 150.60, 5.31, 8.03
207038, 1.51, 100.10, 150.75, 5.75, 8.70
223038, 1.51, 100.10, 150.75, 6.20, 9.37
239038, 1.51, 100.10, 150.75, 6.64, 10.04
255039, 1.51, 100.10, 150.75, 7.09, 10.71
271038, 1.50, 99.90, 150.05, 7.53, 11.38
287038, 1.50, 100.00, 150.20, 7.98, 12.05
303038, 1.50, 100.00, 150.20, 8.42, 12.71
319038, 1.50, 100.10, 150.35, 8.87, 13.38
335039, 1.50, 100.10, 150.35, 9.31, 14.05
351038, 1.50, 100.10, 150.35, 9.76, 14.72
367039, 1.50, 100.10, 149.95, 10.20, 15.38
383039, 1.50, 100.10, 149.95, 10.65, 16.05
399039, 1.50, 100.00, 149.80, 11.09, 16.72
415038, 1.50, 100.10, 149.95, 11.54, 17.38
431038, 1.49, 100.10, 149.55, 11.98, 18.05
447038, 1.49, 100.10, 149.55, 12.43, 18.71
463038, 1.49, 100.10, 149.55, 12.87, 19.38
479038, 1.49, 100.10, 149.15, 13.32, 20.04
495038, 1.49, 100.10, 149.55, 13.76, 20.71
511038, 1.49, 100.10, 149.55, 14.21, 21.37
527038, 1.49, 100.10, 149.55, 14.65, 22.03
543038, 1.49, 100.00, 149.00, 15.09, 22.70
559038, 1.49, 100.10, 149.15, 15.54, 23.36
575038, 1.49, 100.00, 149.00, 15.98, 24.02
591038, 1.49, 100.00, 149.00, 16.43, 24.69
607039, 1.49, 100.00, 149.00, 16.87, 25.35
623038, 1.49, 100.10, 149.15, 17.32, 26.01
639038, 1.49, 100.00, 148.60, 17.76, 26.67
655039, 1.49, 100.10, 148.75, 18.21, 27.33
671038, 1.49, 100.10, 148.75, 18.65, 27.99
687038, 1.49, 100.00, 148.60, 19.10, 28.65
703038, 1.49, 100.10, 148.75, 19.54, 29.31
719038, 1.49, 100.10, 148.75, 19.99, 29.98
735038, 1.48, 100.00, 148.20, 20.43, 30.63
751038, 1.48, 100.10, 148.35, 20.88, 31.29
767038, 1.48, 100.00, 148.20, 21.32, 31.95
783038, 1.48, 100.10, 148.35, 21.77, 32.61
799038, 1.48, 100.10, 148.35, 22.21, 33.27
815039, 1.48, 100.00, 147.80, 22.65, 33.93
831038, 1.48, 100.00, 148.20, 23.10, 34.59
847038, 1.48, 100.00, 148.20, 23.54, 35.25
863038, 1.48, 100.00, 147.80, 23.99, 35.90
879038, 1.48, 100.00, 147.80, 24.43, 36.56
895039, 1.48, 100.10, 147.95, 24.88, 37.22
911038, 1.48, 100.00, 147.80, 25.32, 37.87
927039, 1.47, 100.10, 147.55, 25.77, 38.53
943039, 1.47, 100.00, 147.40, 26.21, 39.19
959038, 1.47, 100.00, 147.40, 26.66, 39.84
975039, 1.47, 100.10, 147.55, 27.10, 40.50
991038, 1.47, 100.00, 147.40, 27.55, 41.15
1007038, 1.47, 100.10, 147.55, 27.99, 41.81
1023038, 1.47, 100.10, 147.55, 28.44, 42.46
1039038, 1.47, 100.00, 147.00, 28.88, 43.12
1055039, 1.47, 100.10, 147.15, 29.32, 43.77
1071039, 1.47, 100.10, 147.15, 29.77, 44.43
1087038, 1.47, 100.00, 147.00, 30.21, 45.08
1103038, 1.47, 100.10, 147.15, 30.66, 45.73
1119038, 1.47, 100.10, 147.15, 31.10, 46.39
1135039, 1.47, 100.00, 146.60, 31.55, 47.04
1151039, 1.47, 100.10, 146.75, 31.99, 47.69
1167038, 1.47, 100.00, 146.60, 32.44, 48.35
1183038, 1.47, 100.10, 146.75, 32.88, 49.00
1199038, 1.47, 100.00, 146.60, 33.33, 49.65
1215038, 1.47, 100.00, 146.60, 33.77, 50.30
1231038, 1.47, 100.00, 146.60, 34.22, 50.95
1247038, 1.46, 100.00, 146.20, 34.66, 51.60
1263039, 1.46, 100.00, 146.20, 35.11, 52.26
1279038, 1.46, 100.00, 146.20, 35.55, 52.91
1295038, 1.46, 100.00, 146.20, 35.99, 53.56
1311038, 1.46, 100.00, 146.20, 36.44, 54.21
1327038, 1.46, 100.00, 146.20, 36.88, 54.86
1343038, 1.46, 100.00, 146.20, 37.33, 55.51
1359038, 1.46, 100.00, 145.80, 37.77, 56.16
1375038, 1.46, 100.10, 146.35, 38.22, 56.81
1391038, 1.46, 100.00, 146.20, 38.66, 57.46
1407038, 1.46, 100.10, 146.35, 39.11, 58.10
1423038, 1.46, 100.00, 145.80, 39.55, 58.75
1439038, 1.46, 100.10, 145.95, 40.00, 59.40
1455038, 1.46, 100.10, 145.95, 40.44, 60.05
1471038, 1.46, 100.10, 145.95, 40.89, 60.70
1487038, 1.46, 100.00, 145.80, 41.33, 61.35
1503038, 1.45, 100.10, 145.55, 41.78, 61.99
1519038, 1.46, 100.00, 145.80, 42.22, 62.64
1535038, 1.45, 100.00, 145.40, 42.66, 63.29
1551038, 1.45, 100.00, 145.40, 43.11, 63.94
1567039, 1.45, 100.10, 145.55, 43.55, 64.58
1583039, 1.45, 100.10, 145.55, 44.00, 65.23
1599038, 1.45, 100.00, 145.40, 44.44, 65.88
1615038, 1.45, 100.10, 145.55, 44.89, 66.52
1631038, 1.45, 100.00, 145.40, 45.33, 67.17
1647038, 1.45, 100.00, 145.40, 45.78, 67.82
1663038, 1.45, 100.10, 145.15, 46.22, 68.46
1679039, 1.45, 100.00, 145.40, 46.67, 69.11
1695038, 1.45, 100.10, 145.14, 47.11, 69.75
1711039, 1.45, 100.10, 145.15, 47.56, 70.40
1727038, 1.45, 100.00, 145.00, 48.00, 71.04
1743039, 1.45, 100.00, 145.00, 48.44, 71.69
1759038, 1.45, 100.00, 145.00, 48.89, 72.33
1775038, 1.45, 100.10, 144.74, 49.33, 72.97
1791038, 1.45, 100.00, 145.00, 49.78, 73.62
1807039, 1.45, 100.00, 144.60, 50.22, 74.26
1823038, 1.45, 100.00, 144.60, 50.67, 74.91
1839038, 1.45, 100.00, 144.60, 51.11, 75.55
1855039, 1.45, 100.00, 144.60, 51.56, 76.19
1871038, 1.45, 100.10, 144.74, 52.00, 76.83
1887038, 1.45, 99.90, 144.46, 52.45, 77.48
1903038, 1.45, 100.00, 144.60, 52.89, 78.12
1919038, 1.45, 100.00, 144.60, 53.33, 78.76
1935038, 1.45, 100.00, 144.60, 53.78, 79.40
1951038, 1.44, 100.00, 144.20, 54.22, 80.05
1967039, 1.44, 100.10, 144.35, 54.67, 80.69
1983038, 1.44, 100.00, 144.20, 55.11, 81.33
1999038, 1.45, 100.00, 144.60, 55.56, 81.97
2015038, 1.44, 100.00, 144.20, 56.00, 82.61
2031039, 1.44, 100.00, 144.20, 56.45, 83.25
2047038, 1.44, 100.00, 144.20, 56.89, 83.89
2063038, 1.44, 99.90, 144.06, 57.34, 84.54
2079038, 1.44, 99.90, 144.06, 57.78, 85.18
2095039, 1.44, 100.00, 143.80, 58.22, 85.82
2111038, 1.44, 100.00, 144.20, 58.67, 86.46
2127038, 1.44, 100.00, 144.20, 59.11, 87.10
2143038, 1.44, 100.10, 143.94, 59.56, 87.74
2159038, 1.44, 100.00, 143.80, 60.00, 88.38
2175039, 1.44, 100.10, 143.94, 60.45, 89.02
2191038, 1.44, 100.00, 143.80, 60.89, 89.66
2207038, 1.44, 100.00, 143.80, 61.34, 90.30
2223038, 1.44, 100.00, 143.80, 61.78, 90.94
2239039, 1.44, 100.00, 143.80, 62.23, 91.57
2255038, 1.44, 100.00, 143.80, 62.67, 92.21
2271038, 1.44, 100.00, 143.80, 63.11, 92.85
2287038, 1.44, 100.10, 143.94, 63.56, 93.49
2303038, 1.44, 100.00, 143.80, 64.00, 94.13
