millis,voltage,current,power,capacity,energy
0, 1.40, 500.20, 701.29, 0.00, 0.00
15356, 1.41, 499.80, 704.69, 2.13, 3.01
31356, 1.40, 499.80, 700.70, 4.35, 6.13
47356, 1.39, 499.60, 696.43, 6.57, 9.24
63356, 1.39, 499.60, 692.43, 8.79, 12.33
79356, 1.38, 499.52, 690.31, 11.01, 15.41
95357, 1.38, 499.40, 688.12, 13.23, 18.47
111356, 1.37, 499.40, 686.16, 15.45, 21.53
127356, 1.37, 499.32, 684.04, 17.67, 24.58
143356, 1.37, 499.60, 682.42, 19.89, 27.61
159357, 1.37, 499.40, 682.17, 22.11, 30.65
175356, 1.36, 499.52, 680.32, 24.33, 33.67
191356, 1.36, 499.40, 680.15, 26.55, 36.68
207355, 1.35, 499.52, 676.32, 28.77, 39.69
223355, 1.35, 499.40, 674.17, 30.99, 42.69
239356, 1.35, 499.60, 672.42, 33.21, 45.68
255356, 1.35, 499.32, 672.04, 35.43, 48.67
271356, 1.34, 499.72, 670.59, 37.65, 51.65
287356, 1.34, 499.40, 670.16, 39.87, 54.62
303356, 1.34, 499.52, 668.32, 42.09, 57.59
319356, 1.33, 499.40, 666.17, 44.31, 60.56
335357, 1.33, 499.72, 666.60, 46.53, 63.52
351356, 1.33, 499.32, 664.06, 48.75, 66.48
367357, 1.33, 499.40, 664.17, 50.97, 69.43
383356, 1.33, 499.32, 662.06, 53.19, 72.37
399356, 1.32, 499.20, 659.90, 55.41, 75.31
415357, 1.32, 499.60, 660.45, 57.63, 78.25
431357, 1.32, 499.12, 657.81, 59.85, 81.18
447356, 1.32, 499.40, 658.17, 62.07, 84.10
463356, 1.31, 499.32, 656.08, 64.29, 87.02
479356, 1.32, 499.40, 658.18, 66.51, 89.94
495356, 1.31, 499.72, 654.61, 68.73, 92.85
511356, 1.31, 499.32, 654.06, 70.95, 95.76
527356, 1.31, 499.72, 654.61, 73.17, 98.67
543356, 1.31, 499.32, 652.07, 75.39, 101.56
559355, 1.31, 499.52, 652.34, 77.61, 104.46
575356, 1.30, 499.32, 650.08, 79.83, 107.35
591355, 1.30, 499.40, 650.18, 82.05, 110.24
607356, 1.30, 499.52, 648.34, 84.27, 113.12
623355, 1.30, 499.52, 648.34, 86.48, 116.00
639357, 1.29, 499.32, 646.09, 88.70, 118.87
655356, 1.29, 499.52, 646.34, 90.92, 121.74
671356, 1.29, 499.40, 644.20, 93.14, 124.61
687356, 1.29, 499.60, 642.46, 95.36, 127.47
703356, 1.29, 499.52, 644.35, 97.58, 130.33
719357, 1.29, 499.72, 642.61, 99.80, 133.19
735355, 1.29, 499.20, 641.94, 102.02, 136.04
751355, 1.29, 499.40, 642.19, 104.24, 138.89
767356, 1.28, 499.12, 639.85, 106.46, 141.73
783355, 1.28, 499.72, 638.60, 108.68, 144.57
799355, 1.28, 499.40, 638.21, 110.90, 147.41
