millis,voltage,current,power,capacity,energy
0, 1.74, 101.00, 175.95, 0.00, 0.00
15559, 1.70, 100.10, 169.97, 0.43, 0.74
31560, 1.66, 100.10, 166.37, 0.88, 1.49
47559, 1.63, 100.10, 163.56, 1.32, 2.22
63560, 1.61, 100.10, 161.56, 1.77, 2.94
79559, 1.59, 100.10, 159.16, 2.21, 3.66
95560, 1.58, 100.00, 157.80, 2.66, 4.36
111559, 1.57, 100.00, 157.00, 3.10, 5.06
127559, 1.57, 100.10, 156.76, 3.55, 5.76
143560, 1.56, 100.10, 156.36, 3.99, 6.45
159560, 1.56, 100.00, 155.80, 4.44, 7.15
175560, 1.56, 100.10, 155.96, 4.88, 7.84
191560, 1.55, 100.00, 155.40, 5.33, 8.53
207560, 1.55, 100.10, 155.56, 5.77, 9.22
223559, 1.55, 100.10, 155.16, 6.22, 9.91
239559, 1.55, 100.00, 155.00, 6.66, 10.60
255559, 1.55, 100.00, 155.00, 7.11, 11.29
271559, 1.55, 100.10, 154.76, 7.55, 11.98
287559, 1.55, 100.00, 154.60, 7.99, 12.67
303560, 1.54, 100.10, 154.36, 8.44, 13.35
319559, 1.54, 100.20, 154.11, 8.88, 14.04
335559, 1.54, 100.10, 153.95, 9.33, 14.72
351559, 1.53, 100.00, 153.40, 9.77, 15.40
367559, 1.53, 100.00, 153.40, 10.22, 16.09
383559, 1.53, 100.10, 153.15, 10.66, 16.77
399559, 1.53, 100.10, 153.15, 11.11, 17.45
415559, 1.53, 100.00, 152.60, 11.55, 18.13
431560, 1.53, 100.10, 152.75, 12.00, 18.80
447559, 1.52, 100.00, 152.20, 12.44, 19.48
463559, 1.52, 100.10, 151.95, 12.89, 20.16
479559, 1.51, 100.00, 151.40, 13.33, 20.83
495559, 1.51, 100.00, 151.40, 13.77, 21.50
511560, 1.51, 100.00, 151.00, 14.22, 22.18
527559, 1.51, 100.00, 151.00, 14.66, 22.85
543560, 1.51, 100.00, 150.60, 15.11, 23.52
559559, 1.51, 100.00, 150.60, 15.55, 24.19
575559, 1.50, 100.00, 150.20, 16.00, 24.86
591560, 1.50, 100.10, 149.95, 16.44, 25.52
607560, 1.50, 100.00, 149.80, 16.89, 26.19
623559, 1.50, 100.00, 149.80, 17.33, 26.86
639560, 1.49, 100.00, 149.40, 17.78, 27.52
655559, 1.49, 100.00, 149.40, 18.22, 28.19
671560, 1.49, 100.00, 149.40, 18.66, 28.85
687559, 1.49, 100.00, 149.40, 19.11, 29.52
703559, 1.49, 100.00, 149.00, 19.55, 30.18
719559, 1.49, 100.10, 149.15, 20.00, 30.84
735559, 1.49, 100.20, 149.30, 20.44, 31.50
751559, 1.49, 100.10, 149.15, 20.89, 32.17
767559, 1.49, 100.10, 149.15, 21.33, 32.83
783559, 1.49, 100.10, 149.15, 21.78, 33.49
799559, 1.49, 100.00, 149.00, 22.22, 34.15
815559, 1.49, 100.00, 149.00, 22.67, 34.81
831559, 1.49, 100.00, 148.60, 23.11, 35.48
847559, 1.49, 100.10, 148.75, 23.56, 36.14
863559, 1.49, 100.00, 148.60, 24.00, 36.80
879559, 1.49, 100.00, 148.60, 24.45, 37.46
895559, 1.49, 100.10, 148.75, 24.89, 38.12
911559, 1.49, 100.00, 148.60, 25.33, 38.78
927559, 1.49, 100.10, 148.75, 25.78, 39.44
943559, 1.49, 100.00, 148.60, 26.22, 40.10
959559, 1.49, 99.90, 148.45, 26.67, 40.76
975559, 1.49, 100.00, 148.60, 27.11, 41.42
991559, 1.49, 100.00, 148.60, 27.56, 42.08
1007559, 1.49, 100.10, 148.75, 28.00, 42.75
1023559, 1.49, 100.10, 148.75, 28.45, 43.41
1039559, 1.49, 100.10, 148.75, 28.89, 44.07
1055559, 1.48, 100.00, 148.20, 29.34, 44.73
1071559, 1.49, 100.10, 148.75, 29.78, 45.39
1087559, 1.49, 99.90, 148.45, 30.23, 46.05
1103559, 1.49, 100.00, 148.60, 30.67, 46.71
1119559, 1.49, 100.00, 148.60, 31.12, 47.37
1135559, 1.49, 100.10, 148.75, 31.56, 48.03
1151559, 1.49, 100.00, 148.60, 32.00, 48.69
1167559, 1.49, 100.10, 148.75, 32.45, 49.35
1183559, 1.49, 100.10, 148.75, 32.89, 50.01
1199559, 1.49, 100.10, 148.75, 33.34, 50.67
1215560, 1.49, 100.10, 148.75, 33.78, 51.34
1231559, 1.49, 100.10, 148.75, 34.23, 52.00
1247559, 1.49, 100.00, 148.60, 34.67, 52.66
1263559, 1.49, 100.10, 148.75, 35.12, 53.32
1279559, 1.49, 100.10, 148.75, 35.56, 53.98
1295560, 1.49, 100.10, 148.75, 36.01, 54.64
1311560, 1.49, 100.00, 148.60, 36.45, 55.30
1327560, 1.49, 100.10, 148.75, 36.90, 55.96
1343559, 1.49, 100.10, 148.75, 37.34, 56.62
1359559, 1.49, 100.00, 148.60, 37.78, 57.28
1375559, 1.49, 100.00, 148.60, 38.23, 57.94
1391559, 1.49, 100.00, 148.60, 38.67, 58.60
1407560, 1.49, 100.20, 148.90, 39.12, 59.26
1423559, 1.49, 100.00, 148.60, 39.56, 59.92
1439559, 1.49, 100.10, 148.75, 40.01, 60.59
1455560, 1.49, 100.10, 148.75, 40.45, 61.25
1471559, 1.49, 100.00, 148.60, 40.90, 61.91
1487559, 1.49, 100.10, 148.75, 41.34, 62.57
1503559, 1.49, 100.10, 148.75, 41.79, 63.23
1519559, 1.49, 100.10, 148.75, 42.23, 63.89
1535559, 1.49, 100.00, 148.60, 42.68, 64.55
1551559, 1.49, 100.10, 148.75, 43.12, 65.21
1567559, 1.49, 100.10, 148.75, 43.56, 65.87
1583559, 1.49, 100.10, 148.75, 44.01, 66.53
1599559, 1.49, 100.10, 148.75, 44.45, 67.19
1615559, 1.49, 100.10, 148.75, 44.90, 67.85
1631560, 1.49, 100.10, 148.75, 45.34, 68.51
1647560, 1.49, 100.00, 148.60, 45.79, 69.17
1663560, 1.49, 100.00, 148.60, 46.23, 69.83
1679559, 1.49, 99.90, 148.45, 46.68, 70.50
1695560, 1.49, 100.00, 148.60, 47.12, 71.16
1711559, 1.49, 100.00, 148.60, 47.57, 71.82
1727559, 1.49, 100.00, 148.60, 48.01, 72.48
1743559, 1.49, 99.90, 148.45, 48.45, 73.14
1759560, 1.49, 100.00, 148.60, 48.90, 73.80
1775560, 1.49, 100.00, 148.60, 49.34, 74.46
1791560, 1.49, 100.10, 148.75, 49.79, 75.12
1807560, 1.49, 100.00, 148.60, 50.23, 75.78
1823559, 1.49, 100.00, 148.60, 50.68, 76.44
1839560, 1.49, 100.10, 148.75, 51.12, 77.10
1855559, 1.49, 100.00, 148.60, 51.57, 77.76
1871560, 1.49, 100.10, 148.75, 52.01, 78.42
1887559, 1.49, 100.00, 148.60, 52.46, 79.08
1903559, 1.49, 100.00, 148.60, 52.90, 79.74
1919559, 1.49, 100.00, 148.60, 53.34, 80.40
1935559, 1.49, 100.00, 148.60, 53.79, 81.07
1951559, 1.49, 100.10, 148.75, 54.23, 81.73
1967559, 1.49, 100.00, 148.60, 54.68, 82.39
1983559, 1.49, 100.10, 148.75, 55.12, 83.05
1999560, 1.49, 100.00, 148.60, 55.57, 83.71
2015560, 1.49, 100.00, 148.60, 56.01, 84.37
2031560, 1.49, 100.00, 148.60, 56.46, 85.03
2047559, 1.49, 100.00, 148.60, 56.90, 85.69
2063560, 1.49, 100.00, 148.60, 57.35, 86.35
2079559, 1.49, 100.00, 148.60, 57.79, 87.01
2095559, 1.49, 100.00, 148.60, 58.23, 87.67
2111559, 1.49, 100.10, 149.15, 58.68, 88.33
2127559, 1.49, 100.00, 149.00, 59.12, 88.99
2143559, 1.49, 100.00, 148.60, 59.57, 89.66
2159559, 1.49, 100.00, 148.60, 60.01, 90.32
2175559, 1.49, 100.00, 148.60, 60.46, 90.98
2191560, 1.49, 100.00, 148.60, 60.90, 91.64
2207559, 1.49, 100.00, 148.60, 61.35, 92.30
2223559, 1.49, 100.00, 149.00, 61.79, 92.96
2239559, 1.49, 100.10, 148.75, 62.24, 93.62
2255559, 1.49, 100.10, 148.75, 62.68, 94.28
2271559, 1.49, 100.10, 149.15, 63.12, 94.94
2287559, 1.49, 100.00, 148.60, 63.57, 95.60
2303559, 1.49, 100.00, 149.00, 64.01, 96.26
2319559, 1.49, 100.00, 148.60, 64.46, 96.92
2335559, 1.49, 100.00, 148.60, 64.90, 97.59
2351560, 1.49, 100.00, 148.60, 65.35, 98.25
2367559, 1.49, 100.00, 148.60, 65.79, 98.91
2383559, 1.49, 100.00, 148.60, 66.24, 99.57
2399559, 1.49, 100.10, 148.75, 66.68, 100.23
2415559, 1.49, 100.00, 148.60, 67.13, 100.89
2431560, 1.49, 100.10, 148.75, 67.57, 101.55
2447559, 1.49, 100.00, 148.60, 68.01, 102.21
2463559, 1.49, 100.00, 149.00, 68.46, 102.87
2479559, 1.49, 100.00, 148.60, 68.90, 103.53
2495560, 1.49, 100.10, 148.75, 69.35, 104.19
2511559, 1.49, 100.00, 148.60, 69.79, 104.86
2527559, 1.49, 100.10, 148.75, 70.24, 105.52
2543560, 1.49, 100.00, 148.60, 70.68, 106.18
2559559, 1.49, 100.00, 148.60, 71.13, 106.84
2575559, 1.49, 100.00, 148.60, 71.57, 107.50
2591559, 1.49, 100.00, 149.00, 72.02, 108.16
2607559, 1.49, 100.00, 148.60, 72.46, 108.82
2623559, 1.49, 100.00, 148.60, 72.90, 109.48
2639559, 1.49, 100.10, 149.15, 73.35, 110.14
2655560, 1.49, 100.00, 148.60, 73.79, 110.81
2671559, 1.49, 100.10, 149.15, 74.24, 111.47
2687559, 1.49, 100.00, 148.60, 74.68, 112.13
2703559, 1.49, 100.00, 148.60, 75.13, 112.79
2719559, 1.49, 100.10, 148.75, 75.57, 113.45
2735559, 1.49, 100.10, 148.75, 76.02, 114.11
2751559, 1.49, 100.00, 148.60, 76.46, 114.77
2767559, 1.49, 100.10, 148.75, 76.91, 115.43
2783559, 1.49, 100.00, 148.60, 77.35, 116.10
2799560, 1.49, 100.10, 149.15, 77.79, 116.76
2815559, 1.49, 100.00, 149.00, 78.24, 117.42
2831559, 1.49, 100.00, 148.60, 78.68, 118.08
2847560, 1.49, 100.00, 148.60, 79.13, 118.74
2863560, 1.49, 100.10, 148.75, 79.57, 119.40
2879559, 1.49, 100.10, 149.15, 80.02, 120.06
2895560, 1.49, 100.00, 148.60, 80.46, 120.72
2911560, 1.49, 100.10, 149.15, 80.91, 121.39
2927559, 1.49, 100.10, 148.75, 81.35, 122.05
2943559, 1.49, 100.10, 148.75, 81.80, 122.71
2959559, 1.49, 100.00, 148.60, 82.24, 123.37
2975559, 1.49, 100.00, 149.00, 82.68, 124.03
2991559, 1.49, 100.00, 149.00, 83.13, 124.69
3007559, 1.49, 100.00, 148.60, 83.57, 125.35
3023560, 1.49, 100.10, 149.15, 84.02, 126.02
3039559, 1.49, 100.00, 148.60, 84.46, 126.68
3055559, 1.49, 100.00, 149.00, 84.91, 127.34
3071559, 1.49, 100.00, 148.60, 85.35, 128.00
3087559, 1.49, 100.00, 148.60, 85.80, 128.66
3103560, 1.49, 100.10, 149.15, 86.24, 129.32
3119559, 1.49, 100.00, 149.00, 86.69, 129.98
3135559, 1.49, 100.00, 149.00, 87.13, 130.65
3151560, 1.49, 100.00, 149.00, 87.57, 131.31
3167559, 1.49, 100.10, 148.75, 88.02, 131.97
3183559, 1.49, 100.00, 148.60, 88.46, 132.63
3199559, 1.49, 100.00, 149.00, 88.91, 133.29
3215559, 1.49, 100.00, 148.60, 89.35, 133.95
3231560, 1.49, 100.10, 149.15, 89.80, 134.61
3247559, 1.49, 100.10, 149.15, 90.24, 135.27
3263560, 1.49, 100.00, 149.00, 90.69, 135.94
3279559, 1.49, 100.10, 149.15, 91.13, 136.60
3295559, 1.49, 100.00, 149.00, 91.58, 137.26
3311560, 1.49, 100.00, 148.60, 92.02, 137.92
3327559, 1.49, 100.00, 148.60, 92.47, 138.58
3343559, 1.49, 100.10, 149.15, 92.91, 139.24
3359560, 1.49, 100.10, 148.75, 93.35, 139.90
3375559, 1.49, 100.10, 149.15, 93.80, 140.57
3391559, 1.49, 100.10, 149.15, 94.24, 141.23
3407559, 1.49, 100.00, 149.00, 94.69, 141.89
3423559, 1.49, 100.10, 149.15, 95.13, 142.55
3439559, 1.49, 100.10, 149.15, 95.58, 143.21
3455560, 1.49, 100.10, 149.15, 96.02, 143.87
3471559, 1.49, 100.10, 148.75, 96.47, 144.54
3487560, 1.49, 100.00, 148.60, 96.91, 145.20
3503559, 1.49, 100.00, 149.00, 97.36, 145.86
3519559, 1.49, 100.00, 149.00, 97.80, 146.52
3535559, 1.49, 100.00, 148.60, 98.25, 147.18
3551560, 1.49, 100.00, 148.60, 98.69, 147.84
3567559, 1.49, 100.10, 149.15, 99.13, 148.51
