millis,voltage,current,power,capacity,energy
0, 1.53, 100.10, 153.15, 0.00, 0.00
15139, 1.54, 100.20, 154.51, 0.42, 0.65
31138, 1.54, 100.10, 154.36, 0.87, 1.33
47138, 1.54, 100.10, 154.36, 1.31, 2.02
63138, 1.54, 100.20, 154.51, 1.76, 2.71
79139, 1.54, 100.10, 153.95, 2.20, 3.39
95138, 1.54, 100.10, 153.95, 2.65, 4.07
111138, 1.53, 100.20, 153.71, 3.09, 4.76
127138, 1.53, 100.20, 153.71, 3.54, 5.44
143138, 1.53, 100.10, 153.15, 3.98, 6.12
159138, 1.53, 100.10, 153.16, 4.43, 6.80
175139, 1.53, 100.10, 153.16, 4.87, 7.49
191138, 1.53, 100.20, 153.31, 5.32, 8.17
207138, 1.53, 100.10, 153.15, 5.76, 8.85
223139, 1.53, 100.10, 152.75, 6.21, 9.53
239138, 1.53, 100.10, 152.75, 6.65, 10.21
255138, 1.53, 100.20, 152.91, 7.10, 10.88
271138, 1.52, 100.10, 152.35, 7.54, 11.56
287138, 1.52, 100.10, 152.35, 7.99, 12.24
303138, 1.52, 100.10, 152.35, 8.43, 12.92
319138, 1.52, 100.10, 152.35, 8.88, 13.59
335138, 1.52, 100.10, 151.95, 9.32, 14.27
351139, 1.52, 100.10, 151.95, 9.77, 14.95
367138, 1.52, 100.20, 152.10, 10.21, 15.62
383138, 1.52, 100.10, 151.95, 10.66, 16.30
399139, 1.51, 100.20, 151.70, 11.10, 16.97
415138, 1.51, 100.10, 151.55, 11.55, 17.64
431138, 1.51, 100.10, 151.55, 11.99, 18.32
447138, 1.51, 100.20, 151.70, 12.44, 18.99
463138, 1.51, 100.10, 151.15, 12.88, 19.66
479138, 1.51, 100.10, 151.15, 13.33, 20.34
495139, 1.51, 100.10, 151.15, 13.77, 21.01
511138, 1.51, 100.10, 151.15, 14.22, 21.68
527138, 1.51, 100.10, 151.15, 14.66, 22.35
543138, 1.51, 100.10, 150.75, 15.11, 23.02
559139, 1.51, 100.10, 150.75, 15.55, 23.69
575138, 1.51, 100.10, 150.75, 16.00, 24.36
591138, 1.50, 100.20, 150.50, 16.44, 25.03
607138, 1.50, 100.10, 150.35, 16.89, 25.70
623138, 1.50, 100.10, 150.35, 17.33, 26.37
639138, 1.50, 100.10, 150.35, 17.78, 27.04
655139, 1.50, 100.20, 150.50, 18.22, 27.71
671138, 1.50, 100.10, 150.35, 18.67, 28.38
687138, 1.50, 100.10, 150.35, 19.11, 29.04
703139, 1.50, 100.10, 149.95, 19.56, 29.71
719139, 1.50, 100.10, 150.35, 20.00, 30.38
735139, 1.50, 100.10, 149.95, 20.45, 31.04
751138, 1.50, 100.20, 150.10, 20.89, 31.71
767138, 1.49, 100.10, 149.55, 21.34, 32.38
783138, 1.50, 100.10, 149.95, 21.78, 33.04
799138, 1.49, 100.10, 149.55, 22.23, 33.71
815138, 1.49, 100.00, 149.40, 22.67, 34.37
831138, 1.49, 100.10, 149.55, 23.12, 35.04
847139, 1.49, 100.00, 149.00, 23.56, 35.70
863138, 1.49, 100.00, 149.00, 24.01, 36.37
879138, 1.49, 100.10, 149.15, 24.45, 37.03
895139, 1.49, 100.10, 149.15, 24.90, 37.69
911138, 1.49, 100.20, 149.30, 25.34, 38.36
927138, 1.49, 100.10, 149.15, 25.79, 39.02
943138, 1.49, 100.20, 149.30, 26.23, 39.68
959139, 1.49, 100.10, 148.75, 26.68, 40.34
975139, 1.49, 100.20, 148.90, 27.12, 41.01
991138, 1.49, 100.10, 148.75, 27.56, 41.67
1007138, 1.49, 100.10, 148.75, 28.01, 42.33
1023139, 1.49, 100.10, 148.75, 28.45, 42.99
1039138, 1.49, 100.20, 148.90, 28.90, 43.65
1055138, 1.49, 100.00, 148.60, 29.34, 44.31
1071139, 1.48, 100.10, 148.35, 29.79, 44.97
1087138, 1.48, 100.00, 148.20, 30.23, 45.63
1103139, 1.48, 100.10, 148.35, 30.68, 46.29
1119138, 1.48, 100.10, 148.35, 31.12, 46.95
1135138, 1.48, 100.10, 148.35, 31.57, 47.61
1151139, 1.48, 100.10, 148.35, 32.01, 48.26
1167138, 1.48, 100.00, 147.80, 32.46, 48.92
1183138, 1.48, 100.10, 147.95, 32.90, 49.58
1199138, 1.48, 100.10, 147.95, 33.35, 50.24
1215138, 1.48, 100.10, 147.95, 33.79, 50.90
1231138, 1.48, 100.20, 148.10, 34.24, 51.55
1247138, 1.48, 100.10, 147.95, 34.68, 52.21
1263138, 1.47, 100.10, 147.55, 35.13, 52.87
1279138, 1.47, 100.10, 147.55, 35.57, 53.52
1295138, 1.47, 100.20, 147.70, 36.02, 54.18
1311138, 1.47, 100.10, 147.55, 36.46, 54.83
1327138, 1.47, 100.10, 147.55, 36.91, 55.49
1343138, 1.47, 100.00, 147.40, 37.35, 56.15
1359138, 1.47, 100.00, 147.40, 37.80, 56.80
1375138, 1.47, 100.10, 147.15, 38.24, 57.46
