millis,voltage,current,power,capacity,energy
0, 1.53, 100.80, 154.64, 0.00, 0.00
15054, 1.53, 100.90, 153.98, 0.42, 0.65
31053, 1.53, 100.90, 153.98, 0.87, 1.33
47054, 1.52, 101.00, 153.73, 1.32, 2.02
63053, 1.52, 101.00, 153.73, 1.77, 2.70
79053, 1.52, 101.10, 153.88, 2.22, 3.38
95053, 1.52, 100.00, 152.20, 2.66, 4.06
111053, 1.52, 100.10, 152.35, 3.11, 4.74
126054, 1.52, 100.00, 151.80, 3.53, 5.37
142053, 1.52, 100.00, 151.80, 3.97, 6.05
158053, 1.51, 100.10, 151.55, 4.42, 6.72
174053, 1.51, 100.00, 151.40, 4.86, 7.39
190053, 1.51, 100.00, 151.40, 5.30, 8.07
206053, 1.51, 100.00, 151.40, 5.75, 8.74
222053, 1.51, 100.10, 151.15, 6.19, 9.41
238054, 1.51, 100.10, 151.15, 6.64, 10.08
254054, 1.51, 100.00, 151.00, 7.08, 10.76
270053, 1.51, 100.10, 151.15, 7.53, 11.43
286053, 1.51, 100.00, 151.00, 7.97, 12.10
302053, 1.51, 100.00, 151.00, 8.42, 12.77
318053, 1.51, 100.10, 150.75, 8.86, 13.44
334054, 1.51, 100.10, 150.75, 9.31, 14.11
350053, 1.50, 100.00, 150.20, 9.75, 14.78
366053, 1.50, 100.10, 150.35, 10.20, 15.44
382053, 1.50, 100.10, 150.35, 10.64, 16.11
398053, 1.50, 100.10, 149.95, 11.09, 16.78
414053, 1.50, 100.10, 149.95, 11.53, 17.45
430053, 1.50, 100.10, 149.95, 11.98, 18.11
446053, 1.50, 100.10, 149.95, 12.42, 18.78
462053, 1.50, 100.10, 149.95, 12.87, 19.45
478054, 1.50, 100.00, 149.80, 13.31, 20.11
494053, 1.50, 100.10, 149.95, 13.75, 20.78
510053, 1.49, 100.00, 149.40, 14.20, 21.44
526054, 1.49, 100.00, 149.40, 14.64, 22.11
542053, 1.49, 100.00, 149.40, 15.09, 22.77
558053, 1.49, 100.00, 149.40, 15.53, 23.44
574054, 1.49, 100.00, 149.00, 15.98, 24.10
590054, 1.49, 100.10, 149.15, 16.42, 24.76
606053, 1.49, 100.00, 149.00, 16.87, 25.43
622053, 1.49, 100.10, 149.15, 17.31, 26.09
638053, 1.49, 100.10, 149.15, 17.76, 26.75
654053, 1.49, 100.10, 149.15, 18.20, 27.42
670053, 1.49, 100.10, 148.75, 18.65, 28.08
686054, 1.49, 100.10, 149.15, 19.09, 28.74
702053, 1.49, 100.10, 148.75, 19.54, 29.40
718053, 1.49, 100.10, 148.75, 19.98, 30.06
734053, 1.49, 100.00, 148.60, 20.43, 30.72
750053, 1.49, 100.10, 148.75, 20.87, 31.38
766053, 1.48, 100.00, 148.20, 21.32, 32.04
782053, 1.48, 100.10, 148.35, 21.76, 32.70
798053, 1.48, 100.10, 148.35, 22.21, 33.36
814054, 1.48, 100.00, 148.20, 22.65, 34.02
830053, 1.48, 100.10, 148.35, 23.10, 34.68
846053, 1.48, 100.10, 148.35, 23.54, 35.34
862053, 1.48, 100.00, 147.80, 23.98, 36.00
878053, 1.48, 100.10, 147.95, 24.43, 36.65
894053, 1.48, 100.10, 147.95, 24.87, 37.31
910053, 1.48, 100.10, 147.95, 25.32, 37.97
926053, 1.48, 100.10, 147.95, 25.76, 38.63
942053, 1.48, 100.10, 147.95, 26.21, 39.28
958054, 1.48, 100.00, 147.80, 26.65, 39.94
974053, 1.47, 100.00, 147.40, 27.10, 40.60
990053, 1.47, 100.00, 147.40, 27.54, 41.25
1006053, 1.47, 100.10, 147.55, 27.99, 41.91
1022053, 1.47, 100.00, 147.40, 28.43, 42.56
1038054, 1.47, 100.10, 147.15, 28.88, 43.22
1054053, 1.47, 100.00, 147.00, 29.32, 43.87
1070054, 1.47, 100.00, 147.40, 29.77, 44.53
1086053, 1.47, 100.10, 147.55, 30.21, 45.18
1102054, 1.47, 100.00, 147.00, 30.66, 45.83
1118053, 1.47, 100.10, 147.15, 31.10, 46.49
1134053, 1.47, 100.10, 147.15, 31.55, 47.14
1150053, 1.47, 100.00, 147.00, 31.99, 47.79
1166053, 1.47, 100.10, 146.75, 32.43, 48.45
1182053, 1.47, 100.10, 146.75, 32.88, 49.10
1198053, 1.47, 100.00, 146.60, 33.32, 49.75
1214053, 1.47, 100.10, 146.75, 33.77, 50.40
1230053, 1.47, 100.00, 146.60, 34.21, 51.06
1246053, 1.47, 100.10, 146.75, 34.66, 51.71
1262053, 1.47, 100.00, 146.60, 35.10, 52.36
1278054, 1.47, 100.00, 146.60, 35.55, 53.01
1294053, 1.46, 100.10, 146.35, 35.99, 53.66
1310053, 1.46, 100.00, 146.20, 36.44, 54.31
1326053, 1.46, 100.10, 146.35, 36.88, 54.96
1342054, 1.46, 100.10, 146.35, 37.33, 55.61
1358054, 1.46, 100.00, 146.20, 37.77, 56.26
1374053, 1.46, 100.10, 145.95, 38.22, 56.91
1390054, 1.46, 100.10, 146.35, 38.66, 57.56
1406053, 1.46, 100.10, 145.95, 39.11, 58.21
1422054, 1.46, 100.00, 145.80, 39.55, 58.86
1438054, 1.46, 100.00, 145.80, 39.99, 59.51
1454054, 1.46, 100.10, 145.95, 40.44, 60.16
1470053, 1.46, 100.10, 145.95, 40.88, 60.80
1486053, 1.46, 100.10, 145.95, 41.33, 61.45
1502054, 1.46, 100.00, 145.80, 41.77, 62.10
1518053, 1.46, 100.00, 145.80, 42.22, 62.75
1534053, 1.46, 100.00, 145.80, 42.66, 63.40
1550053, 1.45, 100.10, 145.55, 43.11, 64.04
1566053, 1.45, 100.10, 145.55, 43.55, 64.69
1582053, 1.45, 100.10, 145.55, 44.00, 65.34
1598054, 1.45, 100.00, 145.40, 44.44, 65.98
1614053, 1.45, 100.10, 145.15, 44.89, 66.63
1630053, 1.45, 100.10, 145.55, 45.33, 67.27
1646053, 1.45, 100.00, 145.00, 45.78, 67.92
1662054, 1.45, 100.10, 145.15, 46.22, 68.57
1678053, 1.45, 100.00, 145.00, 46.66, 69.21
1694053, 1.45, 100.00, 145.00, 47.11, 69.86
1710053, 1.45, 100.10, 145.15, 47.55, 70.50
1726054, 1.45, 100.00, 145.00, 48.00, 71.14
1742053, 1.45, 100.00, 145.00, 48.44, 71.79
1758053, 1.45, 100.10, 145.15, 48.89, 72.43
1774053, 1.45, 100.10, 144.75, 49.33, 73.08
1790053, 1.45, 100.00, 145.00, 49.78, 73.72
1806053, 1.45, 100.00, 144.60, 50.22, 74.37
1822053, 1.45, 100.00, 144.60, 50.67, 75.01
1838053, 1.45, 100.10, 144.74, 51.11, 75.65
1854054, 1.45, 100.00, 144.60, 51.56, 76.29
1870053, 1.45, 100.10, 144.75, 52.00, 76.94
1886054, 1.45, 100.20, 144.89, 52.44, 77.58
1902053, 1.44, 100.10, 144.34, 52.89, 78.22
1918053, 1.45, 100.00, 144.60, 53.33, 78.87
1934053, 1.45, 100.10, 144.75, 53.78, 79.51
1950053, 1.44, 100.20, 144.49, 54.22, 80.15
1966053, 1.44, 100.10, 144.35, 54.67, 80.79
1982053, 1.44, 100.10, 144.34, 55.11, 81.43
1998053, 1.45, 100.00, 144.60, 55.56, 82.07
2014053, 1.44, 100.10, 144.35, 56.00, 82.72
2030053, 1.44, 100.10, 144.34, 56.45, 83.36
2046053, 1.44, 100.10, 144.35, 56.89, 84.00
2062054, 1.44, 100.00, 144.20, 57.34, 84.64
2078053, 1.44, 100.00, 144.20, 57.78, 85.28
2094054, 1.44, 100.10, 143.94, 58.23, 85.92
2110053, 1.44, 100.10, 144.34, 58.67, 86.56
2126053, 1.44, 100.10, 143.94, 59.12, 87.20
2142053, 1.44, 100.10, 143.94, 59.56, 87.84
2158054, 1.44, 100.10, 143.94, 60.01, 88.48
2174053, 1.44, 100.00, 143.80, 60.45, 89.12
2190053, 1.44, 100.00, 143.80, 60.89, 89.76
