millis,voltage,current,power,capacity,energy
0, 1.55, 100.90, 156.81, 0.00, 0.00
15722, 1.54, 101.00, 155.75, 0.44, 0.68
31721, 1.54, 101.00, 155.35, 0.89, 1.37
47722, 1.53, 100.90, 154.79, 1.34, 2.06
63722, 1.53, 101.00, 154.94, 1.79, 2.75
79721, 1.53, 100.10, 153.16, 2.23, 3.43
95722, 1.53, 100.10, 153.15, 2.68, 4.11
111721, 1.53, 100.10, 153.15, 3.12, 4.79
127722, 1.53, 100.00, 152.60, 3.57, 5.47
143722, 1.52, 100.10, 152.35, 4.01, 6.15
159721, 1.52, 100.00, 152.20, 4.46, 6.83
175721, 1.52, 100.20, 152.51, 4.90, 7.50
191721, 1.52, 100.10, 152.35, 5.35, 8.18
207721, 1.52, 100.10, 151.95, 5.79, 8.85
223721, 1.52, 100.10, 151.95, 6.24, 9.53
239721, 1.51, 100.10, 151.55, 6.68, 10.20
255721, 1.51, 100.00, 151.40, 7.12, 10.87
271721, 1.51, 100.00, 151.40, 7.57, 11.55
287721, 1.51, 100.10, 151.15, 8.01, 12.22
303721, 1.51, 100.10, 151.15, 8.46, 12.89
319721, 1.51, 100.20, 150.90, 8.90, 13.56
335722, 1.51, 100.10, 150.75, 9.35, 14.23
351721, 1.51, 100.00, 150.60, 9.79, 14.90
367721, 1.51, 100.10, 150.75, 10.24, 15.57
383721, 1.51, 100.00, 150.60, 10.68, 16.24
399721, 1.50, 100.10, 150.35, 11.13, 16.91
415722, 1.50, 100.00, 150.20, 11.57, 17.58
431721, 1.50, 100.10, 150.35, 12.02, 18.25
447721, 1.50, 100.10, 150.35, 12.46, 18.92
463721, 1.50, 100.10, 150.35, 12.91, 19.58
479721, 1.50, 100.00, 149.80, 13.35, 20.25
495721, 1.50, 100.10, 149.95, 13.80, 20.92
511721, 1.49, 100.10, 149.55, 14.24, 21.58
527721, 1.50, 100.10, 149.95, 14.69, 22.25
543721, 1.49, 100.10, 149.55, 15.13, 22.91
559721, 1.49, 100.00, 149.40, 15.57, 23.57
575721, 1.49, 100.00, 149.00, 16.02, 24.24
591721, 1.49, 100.10, 149.15, 16.46, 24.90
607721, 1.49, 100.10, 149.15, 16.91, 25.56
623721, 1.49, 100.10, 149.15, 17.35, 26.23
639721, 1.49, 100.10, 149.15, 17.80, 26.89
655722, 1.49, 100.10, 148.75, 18.24, 27.55
671721, 1.49, 100.00, 148.60, 18.69, 28.21
687721, 1.49, 100.00, 148.60, 19.13, 28.87
703721, 1.49, 100.10, 148.75, 19.58, 29.53
719721, 1.49, 100.00, 148.60, 20.02, 30.20
735722, 1.49, 100.10, 148.75, 20.47, 30.85
751721, 1.48, 100.00, 148.20, 20.91, 31.51
767722, 1.48, 100.00, 148.20, 21.36, 32.17
783722, 1.48, 100.10, 148.35, 21.80, 32.83
799722, 1.48, 100.20, 148.50, 22.25, 33.49
815722, 1.48, 100.10, 147.95, 22.69, 34.15
831721, 1.48, 100.10, 147.95, 23.14, 34.81
847721, 1.48, 100.10, 147.95, 23.58, 35.46
863721, 1.48, 100.00, 147.80, 24.03, 36.12
879721, 1.48, 100.10, 147.95, 24.47, 36.78
