millis,voltage,current,power,capacity,energy
0, 1.53, 100.80, 154.64, 0.00, 0.00
15469, 1.53, 100.90, 154.79, 0.43, 0.66
31469, 1.53, 100.90, 154.79, 0.88, 1.35
47469, 1.53, 101.00, 154.54, 1.33, 2.04
63468, 1.53, 101.00, 154.54, 1.78, 2.73
79468, 1.53, 100.90, 153.98, 2.23, 3.41
95469, 1.53, 100.90, 153.98, 2.68, 4.10
111469, 1.53, 101.00, 154.14, 3.13, 4.78
127468, 1.52, 101.00, 153.73, 3.57, 5.47
143468, 1.52, 100.10, 152.35, 4.02, 6.15
159468, 1.52, 100.10, 152.35, 4.47, 6.83
175469, 1.52, 100.10, 152.35, 4.91, 7.50
191468, 1.52, 100.10, 152.35, 5.36, 8.18
207468, 1.52, 100.00, 151.80, 5.80, 8.85
223468, 1.52, 100.00, 151.80, 6.24, 9.53
239468, 1.52, 100.10, 151.95, 6.69, 10.20
255468, 1.51, 100.10, 151.55, 7.13, 10.88
271468, 1.51, 100.10, 151.55, 7.58, 11.55
287468, 1.51, 100.10, 151.55, 8.02, 12.22
303468, 1.51, 100.00, 151.00, 8.47, 12.90
319468, 1.51, 100.00, 151.00, 8.91, 13.57
335468, 1.51, 100.00, 151.00, 9.36, 14.24
351468, 1.51, 100.10, 151.15, 9.80, 14.91
367468, 1.51, 100.00, 151.00, 10.25, 15.58
383468, 1.51, 100.00, 150.60, 10.69, 16.25
399468, 1.51, 100.00, 150.60, 11.14, 16.92
415468, 1.51, 100.00, 150.60, 11.58, 17.59
431469, 1.51, 100.10, 150.75, 12.03, 18.26
447468, 1.50, 100.00, 150.20, 12.47, 18.93
463468, 1.50, 100.00, 150.20, 12.91, 19.60
479468, 1.50, 100.10, 150.35, 13.36, 20.27
495469, 1.50, 99.90, 150.05, 13.80, 20.94
511468, 1.50, 100.00, 149.80, 14.25, 21.60
527468, 1.50, 100.10, 149.95, 14.69, 22.27
543469, 1.50, 100.10, 149.95, 15.14, 22.94
559468, 1.50, 100.10, 149.95, 15.58, 23.60
575468, 1.50, 100.00, 149.80, 16.03, 24.27
591468, 1.49, 100.10, 149.55, 16.47, 24.93
607468, 1.49, 100.10, 149.55, 16.92, 25.60
623469, 1.49, 100.00, 149.40, 17.36, 26.26
639469, 1.49, 100.10, 149.55, 17.81, 26.93
655468, 1.49, 100.10, 149.55, 18.25, 27.59
671468, 1.49, 100.00, 149.40, 18.70, 28.26
687468, 1.49, 100.00, 149.00, 19.14, 28.92
703469, 1.49, 100.00, 149.00, 19.59, 29.58
719468, 1.49, 100.10, 149.15, 20.03, 30.25
735468, 1.49, 100.00, 149.00, 20.48, 30.91
751468, 1.49, 100.00, 149.00, 20.92, 31.57
767468, 1.49, 100.10, 149.15, 21.36, 32.23
783469, 1.49, 100.00, 148.60, 21.81, 32.90
799468, 1.49, 100.10, 148.75, 22.25, 33.56
815469, 1.49, 100.10, 148.75, 22.70, 34.22
831468, 1.49, 100.00, 148.60, 23.14, 34.88
847468, 1.49, 100.10, 148.75, 23.59, 35.54
863469, 1.49, 100.10, 148.75, 24.03, 36.20
879468, 1.48, 100.10, 148.35, 24.48, 36.86
895469, 1.48, 100.00, 148.20, 24.92, 37.52
911468, 1.48, 100.10, 148.35, 25.37, 38.18
927468, 1.48, 100.00, 148.20, 25.81, 38.84
943468, 1.48, 100.10, 148.35, 26.26, 39.50
959469, 1.48, 100.10, 147.95, 26.70, 40.15
975468, 1.48, 100.00, 147.80, 27.14, 40.81
