millis,voltage,current,power,capacity,energy
0, 1.56, 100.80, 157.05, 0.00, 0.00
15330, 1.55, 100.90, 156.40, 0.43, 0.67
31329, 1.55, 100.90, 156.40, 0.88, 1.36
47330, 1.55, 100.90, 156.00, 1.33, 2.06
63330, 1.55, 100.90, 156.00, 1.77, 2.75
79329, 1.54, 101.00, 155.75, 2.22, 3.44
95329, 1.54, 100.90, 155.60, 2.67, 4.13
111330, 1.54, 100.90, 155.19, 3.12, 4.82
127330, 1.54, 100.90, 155.19, 3.57, 5.51
143329, 1.54, 100.90, 155.19, 4.02, 6.20
159329, 1.53, 101.00, 154.94, 4.47, 6.89
174330, 1.53, 100.90, 154.79, 4.89, 7.54
190329, 1.53, 100.90, 154.79, 5.34, 8.23
206330, 1.53, 101.00, 154.54, 5.78, 8.92
222330, 1.53, 100.90, 154.39, 6.23, 9.60
238329, 1.53, 100.90, 154.39, 6.68, 10.29
254329, 1.53, 101.00, 154.54, 7.13, 10.98
270330, 1.53, 101.00, 154.54, 7.58, 11.66
286329, 1.53, 100.90, 153.98, 8.03, 12.35
302329, 1.53, 101.00, 154.14, 8.48, 13.03
318329, 1.53, 100.90, 153.98, 8.92, 13.72
334329, 1.53, 100.90, 153.98, 9.37, 14.40
350329, 1.52, 100.90, 153.58, 9.82, 15.08
366329, 1.52, 100.90, 153.58, 10.27, 15.77
382329, 1.52, 100.90, 153.58, 10.72, 16.45
398329, 1.52, 100.90, 153.58, 11.17, 17.13
414329, 1.52, 100.90, 153.18, 11.62, 17.81
430330, 1.52, 100.90, 153.18, 12.06, 18.50
446330, 1.52, 101.00, 153.33, 12.51, 19.18
462330, 1.52, 100.90, 153.18, 12.96, 19.86
478329, 1.52, 100.90, 153.18, 13.41, 20.54
494329, 1.52, 101.00, 153.33, 13.86, 21.22
510329, 1.51, 100.90, 152.77, 14.31, 21.90
526329, 1.51, 101.00, 152.92, 14.76, 22.58
542329, 1.51, 101.00, 152.92, 15.20, 23.26
558329, 1.51, 100.90, 152.77, 15.65, 23.94
574329, 1.51, 100.90, 152.37, 16.10, 24.61
590329, 1.51, 101.00, 152.52, 16.55, 25.29
606329, 1.51, 101.00, 152.52, 17.00, 25.97
622329, 1.51, 101.00, 152.52, 17.45, 26.65
638329, 1.51, 100.90, 152.37, 17.90, 27.32
654329, 1.51, 100.90, 152.37, 18.34, 28.00
670329, 1.51, 100.90, 151.96, 18.79, 28.68
686329, 1.51, 101.00, 152.12, 19.24, 29.35
702330, 1.51, 100.90, 151.96, 19.69, 30.03
718330, 1.51, 100.00, 150.60, 20.14, 30.70
734329, 1.51, 100.00, 150.60, 20.58, 31.37
750329, 1.50, 100.00, 150.20, 21.03, 32.04
766329, 1.50, 100.00, 150.20, 21.47, 32.71
782330, 1.50, 100.10, 150.35, 21.92, 33.38
798329, 1.50, 100.00, 150.20, 22.36, 34.05
814329, 1.50, 100.00, 150.20, 22.81, 34.71
830329, 1.50, 100.00, 150.20, 23.25, 35.38
