millis,voltage,current,power,capacity,energy
0, 1.49, 100.10, 148.75, 0.00, 0.00
15764, 1.50, 100.20, 150.10, 0.44, 0.65
31764, 1.50, 100.10, 149.95, 0.88, 1.32
47764, 1.50, 100.10, 149.95, 1.33, 1.99
63764, 1.50, 100.10, 149.95, 1.77, 2.65
79764, 1.50, 100.10, 149.95, 2.22, 3.32
95764, 1.50, 100.10, 150.35, 2.66, 3.99
111765, 1.50, 100.10, 149.95, 3.11, 4.65
127765, 1.50, 100.20, 150.10, 3.55, 5.32
143764, 1.50, 100.10, 149.95, 4.00, 5.99
159765, 1.50, 100.10, 149.95, 4.44, 6.65
175764, 1.50, 100.10, 149.95, 4.89, 7.32
191764, 1.50, 100.00, 149.80, 5.33, 7.99
207765, 1.49, 100.10, 149.55, 5.78, 8.65
223765, 1.50, 100.10, 149.95, 6.22, 9.32
239764, 1.49, 100.10, 149.55, 6.67, 9.98
255764, 1.49, 100.10, 149.55, 7.11, 10.65
271765, 1.49, 100.10, 149.55, 7.56, 11.31
287764, 1.49, 100.10, 149.55, 8.00, 11.98
303764, 1.49, 100.10, 149.55, 8.45, 12.64
319765, 1.49, 100.10, 149.55, 8.89, 13.31
335764, 1.49, 100.10, 149.15, 9.34, 13.97
351764, 1.49, 100.10, 149.15, 9.78, 14.63
367764, 1.49, 100.10, 149.15, 10.23, 15.30
383765, 1.49, 100.10, 149.15, 10.67, 15.96
399764, 1.49, 100.10, 149.15, 11.12, 16.62
415764, 1.49, 100.10, 149.15, 11.56, 17.29
431765, 1.49, 100.10, 148.75, 12.01, 17.95
447764, 1.49, 100.10, 149.15, 12.45, 18.61
463765, 1.49, 100.10, 148.75, 12.90, 19.27
479764, 1.49, 100.00, 148.60, 13.34, 19.93
495764, 1.49, 100.10, 148.75, 13.78, 20.59
511765, 1.49, 100.10, 148.75, 14.23, 21.25
527764, 1.48, 100.10, 148.35, 14.67, 21.91
543764, 1.48, 100.10, 148.35, 15.12, 22.57
559764, 1.48, 100.10, 148.35, 15.56, 23.23
575764, 1.48, 100.10, 147.95, 16.01, 23.89
591764, 1.48, 100.00, 148.20, 16.45, 24.55
607764, 1.48, 100.00, 148.20, 16.90, 25.21
623764, 1.48, 100.10, 147.95, 17.34, 25.87
639765, 1.48, 100.10, 147.95, 17.79, 26.52
655764, 1.48, 100.10, 147.95, 18.23, 27.18
671764, 1.48, 100.10, 147.95, 18.68, 27.84
687764, 1.47, 100.20, 147.70, 19.12, 28.49
703764, 1.47, 100.10, 147.55, 19.57, 29.15
719765, 1.47, 100.20, 147.70, 20.01, 29.81
735764, 1.47, 100.10, 147.55, 20.46, 30.46
751765, 1.47, 100.00, 147.40, 20.90, 31.12
767764, 1.47, 100.00, 147.00, 21.35, 31.77
783764, 1.47, 100.10, 147.55, 21.79, 32.43
799764, 1.47, 100.10, 147.15, 22.24, 33.08
815764, 1.47, 100.10, 147.15, 22.68, 33.74
831764, 1.47, 100.10, 147.15, 23.13, 34.39
847764, 1.47, 100.10, 147.15, 23.57, 35.05
863764, 1.47, 100.20, 147.30, 24.02, 35.70
879764, 1.47, 100.10, 147.15, 24.46, 36.35
895765, 1.47, 100.10, 147.15, 24.91, 37.01
911764, 1.47, 100.00, 146.60, 25.35, 37.66
927764, 1.47, 100.10, 146.75, 25.80, 38.31
943765, 1.47, 100.10, 146.75, 26.24, 38.97
959765, 1.47, 100.00, 146.60, 26.69, 39.62
975764, 1.47, 100.10, 146.75, 27.13, 40.27
991764, 1.47, 100.10, 146.75, 27.57, 40.92
1007764, 1.47, 100.10, 146.75, 28.02, 41.57
1023764, 1.46, 100.10, 146.35, 28.46, 42.22
1039765, 1.46, 100.10, 146.35, 28.91, 42.88
1055764, 1.46, 100.00, 146.20, 29.35, 43.53
1071764, 1.46, 100.10, 146.35, 29.80, 44.18
1087764, 1.46, 100.10, 146.35, 30.24, 44.83
1103764, 1.46, 100.10, 146.35, 30.69, 45.48
1119764, 1.46, 100.10, 146.35, 31.13, 46.13
1135765, 1.46, 100.00, 145.80, 31.58, 46.78
1151764, 1.46, 100.10, 145.95, 32.02, 47.43
1167764, 1.46, 100.10, 146.35, 32.47, 48.08
1183765, 1.46, 100.10, 145.95, 32.91, 48.72
1199764, 1.46, 100.10, 146.35, 33.36, 49.37
1215764, 1.46, 100.00, 145.80, 33.80, 50.02
1231765, 1.46, 100.10, 145.95, 34.25, 50.67
1247764, 1.46, 100.00, 145.80, 34.69, 51.32
1263764, 1.45, 100.00, 145.40, 35.14, 51.97
1279764, 1.46, 100.10, 145.95, 35.58, 52.61
1295765, 1.45, 100.10, 145.55, 36.03, 53.26
1311764, 1.45, 100.10, 145.55, 36.47, 53.91
1327764, 1.45, 100.10, 145.55, 36.92, 54.56
1343764, 1.45, 100.10, 145.55, 37.36, 55.20
1359765, 1.45, 100.10, 145.55, 37.81, 55.85
1375764, 1.45, 100.10, 145.15, 38.25, 56.50
1391764, 1.45, 100.00, 145.00, 38.69, 57.14
1407764, 1.45, 100.00, 145.00, 39.14, 57.79
1423765, 1.45, 100.10, 145.15, 39.58, 58.43
1439764, 1.45, 100.10, 145.55, 40.03, 59.08
1455764, 1.45, 100.00, 145.00, 40.47, 59.72
1471765, 1.45, 100.00, 145.00, 40.92, 60.37
1487764, 1.45, 100.10, 145.15, 41.36, 61.01
1503764, 1.45, 100.10, 145.15, 41.81, 61.66
1519764, 1.45, 100.10, 145.15, 42.25, 62.30
1535764, 1.45, 100.00, 145.00, 42.70, 62.95
1551764, 1.45, 100.10, 144.74, 43.14, 63.59
1567764, 1.45, 100.10, 144.74, 43.59, 64.23
1583764, 1.45, 100.00, 144.60, 44.03, 64.88
1599764, 1.45, 100.10, 144.75, 44.48, 65.52
1615765, 1.45, 100.10, 144.74, 44.92, 66.16
1631764, 1.45, 100.00, 144.60, 45.37, 66.81
1647764, 1.45, 100.10, 144.75, 45.81, 67.45
