millis,voltage,current,power,capacity,energy
0, 1.52, 100.70, 152.87, 0.00, 0.00
15751, 1.51, 100.90, 152.37, 0.44, 0.67
31750, 1.51, 101.00, 152.52, 0.89, 1.35
47750, 1.51, 100.90, 152.37, 1.34, 2.02
63750, 1.51, 101.00, 152.12, 1.79, 2.70
79750, 1.51, 100.00, 150.60, 2.23, 3.37
95751, 1.51, 100.00, 150.60, 2.68, 4.04
111750, 1.50, 100.10, 150.35, 3.12, 4.71
127750, 1.50, 100.00, 150.20, 3.57, 5.37
143750, 1.50, 100.00, 150.20, 4.01, 6.04
159750, 1.50, 100.10, 149.95, 4.45, 6.71
175751, 1.50, 100.10, 150.35, 4.90, 7.38
191750, 1.49, 100.10, 149.55, 5.34, 8.04
207750, 1.50, 100.10, 149.95, 5.79, 8.71
223750, 1.49, 100.10, 149.55, 6.23, 9.37
239750, 1.49, 100.00, 149.40, 6.68, 10.04
255750, 1.49, 100.00, 149.40, 7.12, 10.70
271750, 1.49, 100.10, 149.55, 7.57, 11.37
287750, 1.49, 100.10, 149.55, 8.01, 12.03
303750, 1.49, 100.00, 149.00, 8.46, 12.69
319751, 1.49, 100.10, 149.15, 8.90, 13.36
335750, 1.49, 100.10, 149.15, 9.35, 14.02
351750, 1.49, 100.10, 149.15, 9.79, 14.68
367750, 1.49, 100.00, 148.60, 10.24, 15.34
383750, 1.49, 100.10, 148.75, 10.68, 16.00
399750, 1.49, 100.10, 148.75, 11.13, 16.66
415750, 1.49, 100.10, 148.75, 11.57, 17.32
431750, 1.48, 100.10, 148.35, 12.01, 17.99
447750, 1.48, 100.00, 148.20, 12.46, 18.65
463751, 1.48, 100.20, 148.50, 12.90, 19.30
479750, 1.48, 100.10, 148.35, 13.35, 19.96
495750, 1.48, 100.10, 148.35, 13.79, 20.62
511750, 1.48, 100.10, 147.95, 14.24, 21.28
527750, 1.48, 100.00, 147.80, 14.68, 21.94
543750, 1.48, 100.10, 147.95, 15.13, 22.60
559751, 1.48, 100.10, 147.95, 15.57, 23.25
575750, 1.48, 100.10, 147.95, 16.02, 23.91
591750, 1.48, 100.10, 147.95, 16.46, 24.57
607751, 1.47, 100.10, 147.55, 16.91, 25.23
623751, 1.47, 100.10, 147.55, 17.35, 25.88
639751, 1.47, 100.10, 147.55, 17.80, 26.54
655750, 1.47, 100.10, 147.55, 18.24, 27.19
671751, 1.47, 100.10, 147.55, 18.69, 27.85
687750, 1.47, 100.10, 147.15, 19.13, 28.50
703750, 1.47, 100.10, 147.15, 19.58, 29.16
719750, 1.47, 100.10, 147.15, 20.02, 29.81
735751, 1.47, 100.00, 147.00, 20.47, 30.47
751751, 1.47, 100.10, 147.15, 20.91, 31.12
767750, 1.47, 100.00, 146.60, 21.36, 31.77
783750, 1.47, 100.10, 146.75, 21.80, 32.43
799750, 1.47, 100.10, 146.75, 22.25, 33.08
815750, 1.47, 100.10, 147.15, 22.69, 33.73
831750, 1.47, 100.00, 146.60, 23.13, 34.38
847750, 1.47, 100.10, 146.75, 23.58, 35.04
863751, 1.47, 100.20, 146.90, 24.02, 35.69
879751, 1.46, 100.10, 146.35, 24.47, 36.34
895751, 1.47, 100.00, 146.60, 24.91, 36.99
911750, 1.46, 100.10, 146.35, 25.36, 37.64
927750, 1.46, 100.10, 146.35, 25.80, 38.29
943750, 1.46, 100.10, 146.35, 26.25, 38.94
959750, 1.46, 100.10, 146.35, 26.69, 39.59
975751, 1.46, 100.20, 146.49, 27.14, 40.24
991750, 1.46, 100.10, 145.95, 27.58, 40.89
1007750, 1.46, 100.10, 146.35, 28.03, 41.54
1023750, 1.46, 100.10, 145.95, 28.47, 42.19
1039750, 1.46, 100.10, 145.95, 28.92, 42.84
1055751, 1.46, 100.10, 145.95, 29.36, 43.49
1071750, 1.46, 100.10, 145.95, 29.81, 44.14
1087751, 1.46, 100.10, 145.95, 30.25, 44.78
1103750, 1.45, 100.10, 145.55, 30.70, 45.43
1119750, 1.45, 100.00, 145.40, 31.14, 46.08
1135750, 1.45, 100.00, 145.40, 31.59, 46.73
1151750, 1.45, 100.00, 145.40, 32.03, 47.37
1167750, 1.45, 100.00, 145.40, 32.47, 48.02
1183751, 1.45, 100.00, 145.40, 32.92, 48.66
1199750, 1.45, 100.00, 145.40, 33.36, 49.31
1215750, 1.45, 100.10, 145.15, 33.81, 49.96
1231750, 1.45, 100.10, 145.15, 34.25, 50.60
1247750, 1.45, 100.10, 145.15, 34.70, 51.25
1263750, 1.45, 100.00, 145.00, 35.14, 51.89
1279750, 1.45, 100.10, 145.15, 35.59, 52.54
1295750, 1.45, 100.10, 145.15, 36.03, 53.18
1311750, 1.45, 100.10, 145.15, 36.48, 53.83
1327750, 1.45, 100.10, 145.15, 36.92, 54.47
1343750, 1.45, 100.20, 145.29, 37.37, 55.11
1359750, 1.45, 100.00, 144.60, 37.81, 55.76
1375750, 1.45, 100.10, 144.75, 38.26, 56.40
1391750, 1.45, 100.00, 144.60, 38.70, 57.04
1407750, 1.45, 100.00, 144.60, 39.14, 57.69
1423750, 1.44, 100.00, 144.20, 39.59, 58.33
1439750, 1.45, 100.10, 144.75, 40.03, 58.97
1455750, 1.44, 100.10, 144.35, 40.48, 59.61
1471750, 1.44, 100.10, 144.34, 40.92, 60.26
1487750, 1.44, 100.00, 144.20, 41.37, 60.90
1503750, 1.44, 100.00, 144.20, 41.81, 61.54
1519750, 1.44, 100.20, 144.49, 42.26, 62.18
1535750, 1.44, 100.10, 143.94, 42.70, 62.82
1551750, 1.44, 100.00, 144.20, 43.15, 63.46
1567750, 1.44, 100.00, 144.20, 43.59, 64.10
1583750, 1.44, 100.00, 143.80, 44.04, 64.74
1599750, 1.44, 100.00, 143.80, 44.48, 65.38
1615750, 1.44, 100.10, 144.35, 44.93, 66.02
1631750, 1.44, 100.10, 143.94, 45.37, 66.66
1647750, 1.44, 100.00, 143.80, 45.82, 67.30
1663750, 1.44, 100.10, 143.94, 46.26, 67.94
1679750, 1.44, 100.00, 143.80, 46.71, 68.58
1695750, 1.44, 100.10, 143.94, 47.15, 69.22
1711750, 1.44, 100.10, 143.94, 47.60, 69.86
1727750, 1.43, 100.10, 143.54, 48.04, 70.50
1743750, 1.43, 100.10, 143.54, 48.48, 71.14
1759750, 1.43, 100.10, 143.54, 48.93, 71.78
1775750, 1.43, 100.10, 143.54, 49.37, 72.42
1791750, 1.43, 100.10, 143.54, 49.82, 73.05
1807750, 1.43, 100.10, 143.55, 50.26, 73.69
1823750, 1.43, 100.10, 143.54, 50.71, 74.33
1839751, 1.43, 99.90, 143.26, 51.15, 74.97
1855750, 1.43, 100.00, 143.00, 51.60, 75.60
1871750, 1.43, 100.10, 143.14, 52.04, 76.24
1887750, 1.43, 100.00, 143.00, 52.49, 76.88
1903751, 1.43, 100.10, 143.14, 52.93, 77.51
1919751, 1.43, 100.10, 143.14, 53.38, 78.15
1935750, 1.43, 100.10, 143.14, 53.82, 78.79
1951750, 1.43, 100.10, 143.14, 54.27, 79.42
1967750, 1.43, 100.00, 143.00, 54.71, 80.06
1983750, 1.43, 100.10, 143.14, 55.16, 80.69
1999750, 1.43, 100.10, 143.14, 55.60, 81.33
2015750, 1.43, 100.10, 143.14, 56.05, 81.96
2031751, 1.43, 100.10, 142.74, 56.49, 82.60
2047750, 1.43, 100.10, 142.74, 56.93, 83.23
2063751, 1.43, 100.00, 142.60, 57.38, 83.87
2079750, 1.43, 100.00, 142.60, 57.82, 84.50
2095750, 1.43, 100.00, 142.60, 58.27, 85.14
2111751, 1.43, 100.10, 142.74, 58.71, 85.77
2127750, 1.43, 100.10, 142.74, 59.16, 86.40
2143750, 1.42, 100.10, 142.34, 59.60, 87.04
2159750, 1.43, 100.00, 142.60, 60.05, 87.67
2175750, 1.42, 100.10, 142.34, 60.49, 88.30
2191751, 1.42, 100.10, 142.34, 60.94, 88.94
2207750, 1.42, 100.00, 142.20, 61.38, 89.57
2223750, 1.42, 100.10, 142.34, 61.83, 90.20
2239751, 1.42, 100.00, 142.20, 62.27, 90.83
2255750, 1.42, 100.00, 142.20, 62.72, 91.47
2271750, 1.42, 100.00, 142.20, 63.16, 92.10
2287750, 1.42, 100.10, 142.34, 63.61, 92.73
2303750, 1.42, 100.10, 141.94, 64.05, 93.36
2319750, 1.42, 100.10, 142.34, 64.50, 94.00
2335750, 1.42, 100.10, 141.94, 64.94, 94.63
2351750, 1.42, 100.10, 141.94, 65.38, 95.26
2367750, 1.42, 100.10, 142.34, 65.83, 95.89
2383751, 1.42, 100.10, 142.34, 66.27, 96.52
2399750, 1.42, 100.10, 141.94, 66.72, 97.15
2415751, 1.42, 100.10, 141.94, 67.16, 97.78
2431750, 1.42, 100.10, 141.94, 67.61, 98.41
2447751, 1.42, 100.10, 141.94, 68.05, 99.04
2463750, 1.41, 100.10, 141.54, 68.50, 99.67
2479750, 1.42, 100.10, 141.94, 68.94, 100.30
2495750, 1.41, 100.10, 141.54, 69.39, 100.93
2511751, 1.41, 100.00, 141.40, 69.83, 101.56
2527751, 1.41, 100.10, 141.54, 70.28, 102.19
2543750, 1.41, 100.10, 141.54, 70.72, 102.82
2559750, 1.41, 100.10, 141.54, 71.17, 103.45
2575750, 1.41, 100.00, 141.40, 71.61, 104.08
2591750, 1.41, 100.00, 141.40, 72.06, 104.71
2607751, 1.41, 100.00, 141.40, 72.50, 105.33
2623750, 1.41, 100.10, 141.54, 72.95, 105.96
2639750, 1.41, 100.10, 141.54, 73.39, 106.59
2655751, 1.41, 100.00, 141.40, 73.84, 107.22
2671750, 1.41, 100.00, 141.00, 74.28, 107.85
2687750, 1.41, 100.10, 141.14, 74.72, 108.48
2703750, 1.41, 100.00, 141.00, 75.17, 109.10
2719750, 1.41, 100.10, 141.14, 75.61, 109.73
2735750, 1.41, 100.10, 141.14, 76.06, 110.36
2751750, 1.41, 100.00, 141.00, 76.50, 110.98
2767750, 1.41, 100.20, 141.28, 76.95, 111.61
2783751, 1.41, 100.10, 140.74, 77.39, 112.24
