millis,voltage,current,power,capacity,energy
0, 1.45, 100.10, 145.55, 0.00, 0.00
15541, 1.50, 100.10, 150.35, 0.43, 0.65
31541, 1.51, 100.10, 150.75, 0.88, 1.32
47541, 1.51, 100.10, 150.75, 1.32, 1.99
63541, 1.51, 100.10, 150.75, 1.77, 2.66
79541, 1.50, 100.20, 150.50, 2.21, 3.33
95542, 1.50, 100.20, 150.50, 2.66, 3.99
111541, 1.50, 100.10, 150.35, 3.10, 4.66
127541, 1.50, 100.10, 149.95, 3.55, 5.33
143541, 1.50, 100.20, 150.10, 3.99, 6.00
159541, 1.50, 100.10, 150.35, 4.44, 6.67
175541, 1.50, 100.20, 150.10, 4.88, 7.33
191541, 1.50, 100.10, 149.95, 5.33, 8.00
207541, 1.50, 100.20, 150.10, 5.77, 8.67
223541, 1.50, 100.00, 149.80, 6.22, 9.34
239542, 1.50, 100.10, 149.95, 6.66, 10.00
255541, 1.50, 100.10, 149.95, 7.11, 10.67
271542, 1.49, 100.20, 149.70, 7.55, 11.33
287541, 1.49, 100.10, 149.55, 8.00, 12.00
303541, 1.49, 100.20, 149.70, 8.44, 12.66
319541, 1.49, 100.20, 149.30, 8.89, 13.33
335541, 1.49, 100.10, 149.55, 9.33, 13.99
351542, 1.49, 100.20, 149.70, 9.78, 14.66
367541, 1.49, 100.20, 149.30, 10.22, 15.32
383541, 1.49, 100.10, 149.15, 10.67, 15.99
399542, 1.49, 100.20, 149.30, 11.11, 16.65
415542, 1.49, 100.20, 149.30, 11.56, 17.31
431541, 1.49, 100.10, 149.15, 12.00, 17.98
447541, 1.49, 100.00, 148.60, 12.45, 18.64
463541, 1.49, 100.10, 149.15, 12.89, 19.30
479542, 1.49, 100.20, 148.90, 13.34, 19.96
495541, 1.49, 100.10, 148.75, 13.78, 20.62
511542, 1.49, 100.20, 148.90, 14.23, 21.28
527541, 1.49, 100.10, 148.75, 14.67, 21.95
543541, 1.49, 100.10, 148.75, 15.12, 22.61
559541, 1.49, 100.10, 148.75, 15.56, 23.27
575541, 1.48, 100.10, 148.35, 16.01, 23.92
591542, 1.48, 100.10, 148.35, 16.45, 24.58
607542, 1.48, 100.00, 148.20, 16.90, 25.24
623541, 1.48, 100.10, 148.35, 17.34, 25.90
639541, 1.48, 100.10, 148.35, 17.79, 26.56
655541, 1.48, 100.20, 148.10, 18.23, 27.22
671541, 1.48, 100.10, 147.95, 18.68, 27.88
687541, 1.48, 100.10, 147.95, 19.12, 28.54
703542, 1.48, 100.10, 147.95, 19.57, 29.19
719541, 1.47, 100.20, 147.70, 20.01, 29.85
735541, 1.48, 100.20, 148.10, 20.46, 30.51
751541, 1.48, 100.10, 147.95, 20.90, 31.17
767541, 1.47, 100.00, 147.40, 21.35, 31.82
783541, 1.47, 100.10, 147.55, 21.79, 32.48
799542, 1.47, 100.00, 147.40, 22.24, 33.13
815542, 1.47, 100.20, 147.70, 22.68, 33.79
831541, 1.47, 100.20, 147.70, 23.13, 34.44
847541, 1.47, 100.10, 147.15, 23.57, 35.10
863541, 1.47, 100.20, 147.30, 24.02, 35.75
879541, 1.47, 100.20, 147.30, 24.46, 36.41
895541, 1.47, 100.10, 147.15, 24.91, 37.06
911541, 1.47, 100.20, 147.30, 25.35, 37.72
927541, 1.47, 100.00, 147.00, 25.80, 38.37
943541, 1.47, 100.20, 146.89, 26.24, 39.02
959541, 1.47, 100.20, 147.30, 26.69, 39.68
975542, 1.47, 100.10, 146.75, 27.13, 40.33
991541, 1.47, 100.10, 146.75, 27.58, 40.98
1007541, 1.47, 100.10, 146.75, 28.02, 41.63
1023541, 1.47, 100.10, 146.75, 28.47, 42.29
1039541, 1.47, 100.10, 146.75, 28.91, 42.94
1055541, 1.46, 100.10, 146.35, 29.36, 43.59
1071541, 1.46, 100.10, 146.35, 29.80, 44.24
1087541, 1.46, 100.00, 146.20, 30.25, 44.89
1103541, 1.46, 100.10, 146.35, 30.69, 45.54
1119541, 1.46, 100.10, 146.35, 31.14, 46.19
1135541, 1.46, 100.10, 146.35, 31.58, 46.84
1151542, 1.46, 100.10, 146.35, 32.03, 47.49
1167541, 1.46, 100.10, 145.95, 32.47, 48.14
1183541, 1.46, 100.20, 146.09, 32.92, 48.79
1199542, 1.46, 100.10, 145.95, 33.36, 49.44
1215541, 1.46, 100.10, 145.95, 33.81, 50.09
1231542, 1.46, 100.10, 145.95, 34.25, 50.74
1247541, 1.45, 100.10, 145.55, 34.70, 51.39
1263541, 1.46, 100.10, 145.95, 35.14, 52.04
1279541, 1.45, 100.10, 145.55, 35.59, 52.68
1295541, 1.45, 100.20, 145.69, 36.03, 53.33
1311541, 1.45, 100.10, 145.55, 36.48, 53.98
1327542, 1.45, 100.10, 145.55, 36.92, 54.62
1343541, 1.45, 100.10, 145.55, 37.37, 55.27
1359541, 1.45, 100.10, 145.55, 37.81, 55.92
1375541, 1.45, 100.10, 145.55, 38.26, 56.56
1391541, 1.45, 100.10, 145.15, 38.70, 57.21
1407541, 1.45, 100.10, 145.15, 39.15, 57.86
1423542, 1.45, 100.10, 145.15, 39.59, 58.50
1439542, 1.45, 100.10, 145.15, 40.04, 59.15
1455541, 1.45, 100.10, 145.15, 40.48, 59.79
1471541, 1.45, 100.10, 145.15, 40.93, 60.44
1487542, 1.45, 100.10, 145.15, 41.37, 61.08
1503541, 1.45, 100.00, 145.00, 41.82, 61.73
1519541, 1.45, 100.00, 145.00, 42.26, 62.37
1535541, 1.45, 100.10, 144.75, 42.71, 63.01
1551541, 1.45, 100.10, 144.75, 43.15, 63.66
