millis,voltage,current,power,capacity,energy
0, 1.47, 100.00, 146.60, 0.00, 0.00
15498, 1.50, 100.10, 150.35, 0.43, 0.65
31498, 1.50, 100.10, 150.35, 0.88, 1.31
47498, 1.50, 100.00, 150.20, 1.32, 1.98
63499, 1.50, 100.10, 150.35, 1.77, 2.65
79499, 1.50, 100.20, 150.50, 2.21, 3.32
95498, 1.50, 100.10, 149.95, 2.66, 3.98
111499, 1.50, 100.10, 149.95, 3.10, 4.65
127498, 1.49, 100.00, 149.40, 3.54, 5.32
143498, 1.49, 100.10, 149.55, 3.99, 5.98
159498, 1.49, 100.10, 149.55, 4.43, 6.65
175498, 1.49, 100.20, 149.70, 4.88, 7.31
191498, 1.49, 100.10, 149.55, 5.32, 7.98
207498, 1.49, 100.00, 149.00, 5.77, 8.64
223498, 1.49, 100.00, 149.00, 6.21, 9.30
239498, 1.49, 100.10, 149.15, 6.66, 9.97
255499, 1.49, 100.10, 149.15, 7.10, 10.63
271498, 1.49, 100.10, 149.15, 7.55, 11.29
287499, 1.49, 100.10, 149.15, 7.99, 11.95
303498, 1.49, 100.10, 148.75, 8.44, 12.61
319499, 1.49, 100.10, 148.75, 8.88, 13.28
335498, 1.49, 100.10, 148.75, 9.33, 13.94
351499, 1.49, 100.00, 148.60, 9.77, 14.60
367498, 1.49, 100.10, 148.75, 10.22, 15.26
383498, 1.48, 100.10, 148.35, 10.66, 15.92
399499, 1.48, 100.00, 148.20, 11.11, 16.58
415498, 1.48, 100.10, 148.35, 11.55, 17.24
431498, 1.48, 100.00, 148.20, 12.00, 17.89
447499, 1.48, 100.10, 147.95, 12.44, 18.55
463498, 1.48, 100.00, 147.80, 12.89, 19.21
479498, 1.48, 100.00, 147.80, 13.33, 19.87
495498, 1.48, 100.00, 147.80, 13.78, 20.53
511499, 1.48, 100.10, 147.95, 14.22, 21.18
527498, 1.48, 100.10, 147.95, 14.66, 21.84
543498, 1.48, 100.00, 147.80, 15.11, 22.50
559498, 1.47, 100.10, 147.55, 15.55, 23.15
575499, 1.47, 100.00, 147.40, 16.00, 23.81
591498, 1.47, 100.10, 147.15, 16.44, 24.46
607499, 1.47, 100.00, 147.40, 16.89, 25.12
623498, 1.47, 100.10, 147.15, 17.33, 25.77
639498, 1.47, 100.10, 147.15, 17.78, 26.43
655498, 1.47, 100.10, 147.15, 18.22, 27.08
671498, 1.47, 100.10, 147.15, 18.67, 27.73
687499, 1.47, 100.10, 147.15, 19.11, 28.39
703498, 1.47, 100.10, 147.15, 19.56, 29.04
719498, 1.47, 100.10, 146.75, 20.00, 29.70
735498, 1.47, 100.00, 147.00, 20.45, 30.35
751499, 1.47, 100.10, 146.75, 20.89, 31.00
767498, 1.47, 100.00, 146.60, 21.34, 31.65
783498, 1.47, 100.00, 146.60, 21.78, 32.31
799498, 1.47, 100.10, 146.75, 22.23, 32.96
815498, 1.46, 100.10, 146.35, 22.67, 33.61
831498, 1.46, 100.10, 146.35, 23.12, 34.26
847498, 1.46, 100.10, 146.35, 23.56, 34.91
863498, 1.46, 100.00, 146.20, 24.01, 35.56
879498, 1.46, 100.10, 146.35, 24.45, 36.21
895498, 1.46, 100.10, 146.35, 24.89, 36.86
911498, 1.46, 100.00, 146.20, 25.34, 37.51
927498, 1.46, 100.10, 145.95, 25.78, 38.16
943498, 1.46, 100.10, 145.95, 26.23, 38.81
959498, 1.46, 100.10, 145.95, 26.67, 39.46
975498, 1.46, 100.00, 145.80, 27.12, 40.11
991498, 1.46, 100.00, 145.80, 27.56, 40.75
1007498, 1.45, 100.00, 145.40, 28.01, 41.40
1023498, 1.46, 100.10, 145.95, 28.45, 42.05
1039498, 1.45, 100.00, 145.40, 28.90, 42.70
1055498, 1.45, 100.00, 145.40, 29.34, 43.35
1071498, 1.45, 100.10, 145.55, 29.79, 43.99
1087498, 1.45, 100.10, 145.55, 30.23, 44.64
1103498, 1.45, 100.10, 145.15, 30.68, 45.29
1119499, 1.45, 100.10, 145.55, 31.12, 45.93
1135498, 1.45, 100.10, 145.15, 31.57, 46.58
1151498, 1.45, 100.10, 145.15, 32.01, 47.22
1167498, 1.45, 100.10, 145.15, 32.46, 47.87
1183498, 1.45, 100.10, 145.15, 32.90, 48.51
1199499, 1.45, 100.10, 145.15, 33.35, 49.16
1215499, 1.45, 100.10, 145.15, 33.79, 49.80
1231498, 1.45, 100.10, 145.15, 34.24, 50.45
1247499, 1.45, 100.00, 144.60, 34.68, 51.09
1263499, 1.45, 100.10, 145.15, 35.13, 51.74
