millis,voltage,current,power,capacity,energy
0, 1.37, 500.32, 687.44, 0.00, 0.00
15991, 1.37, 500.00, 685.01, 2.22, 3.06
31992, 1.36, 499.92, 678.88, 4.44, 6.09
47992, 1.35, 499.60, 674.45, 6.66, 9.10
63991, 1.34, 499.80, 670.72, 8.89, 12.09
79991, 1.34, 499.72, 668.62, 11.11, 15.06
95991, 1.33, 499.80, 666.71, 13.33, 18.03
111992, 1.33, 499.52, 664.35, 15.55, 20.98
127991, 1.33, 499.40, 662.18, 17.77, 23.93
143991, 1.32, 499.40, 660.19, 19.99, 26.87
159991, 1.31, 499.60, 656.46, 22.21, 29.79
175991, 1.31, 499.72, 656.61, 24.43, 32.71
191992, 1.31, 499.60, 654.45, 26.65, 35.62
207991, 1.31, 499.52, 652.36, 28.87, 38.52
223991, 1.30, 499.80, 650.72, 31.09, 41.42
239991, 1.30, 499.80, 648.72, 33.31, 44.31
255991, 1.30, 499.60, 648.46, 35.53, 47.19
271991, 1.30, 499.72, 648.61, 37.75, 50.07
287992, 1.29, 499.72, 644.62, 39.97, 52.94
303992, 1.29, 499.72, 644.61, 42.19, 55.80
319991, 1.29, 499.72, 642.61, 44.41, 58.66
335991, 1.28, 499.80, 640.73, 46.63, 61.51
351991, 1.28, 499.52, 640.36, 48.86, 64.36
367991, 1.28, 499.72, 638.62, 51.08, 67.20
383991, 1.28, 499.60, 638.46, 53.30, 70.04
399991, 1.27, 499.60, 636.47, 55.52, 72.87
415992, 1.27, 499.52, 634.37, 57.74, 75.70
431991, 1.27, 499.52, 634.37, 59.96, 78.52
447991, 1.27, 499.60, 634.46, 62.18, 81.34
463991, 1.27, 499.60, 632.46, 64.40, 84.15
479991, 1.26, 499.60, 630.48, 66.62, 86.96
495991, 1.26, 499.40, 630.22, 68.84, 89.76
511992, 1.26, 499.60, 630.48, 71.06, 92.56
527991, 1.26, 499.52, 628.38, 73.28, 95.35
543992, 1.26, 499.72, 628.63, 75.50, 98.14
559991, 1.25, 499.60, 626.48, 77.72, 100.92
575991, 1.25, 499.52, 624.39, 79.94, 103.70
591991, 1.25, 499.40, 624.22, 82.16, 106.48
607991, 1.25, 499.60, 622.46, 84.38, 109.25
623991, 1.24, 499.72, 620.62, 86.60, 112.01
639991, 1.24, 499.40, 620.23, 88.82, 114.78
655992, 1.24, 499.60, 620.48, 91.04, 117.54
671991, 1.24, 499.52, 620.39, 93.26, 120.29
687991, 1.24, 499.60, 618.47, 95.48, 123.04
703992, 1.24, 499.72, 618.62, 97.70, 125.79
719991, 1.23, 499.72, 616.63, 99.92, 128.53
735992, 1.23, 499.40, 616.24, 102.14, 131.27
751992, 1.23, 499.40, 614.24, 104.36, 134.01
767992, 1.23, 499.40, 614.24, 106.58, 136.74
783992, 1.23, 499.60, 614.49, 108.80, 139.47
799991, 1.23, 499.40, 612.24, 111.02, 142.20
815991, 1.23, 499.12, 611.89, 113.24, 144.92
831991, 1.23, 499.32, 612.14, 115.46, 147.64
847991, 1.23, 499.52, 612.40, 117.68, 150.36
863991, 1.22, 499.52, 610.38, 119.90, 153.07
879992, 1.22, 499.52, 610.39, 122.12, 155.79
895991, 1.22, 499.72, 608.63, 124.34, 158.49
911991, 1.21, 499.60, 606.48, 126.56, 161.20
927991, 1.22, 499.52, 608.39, 128.78, 163.90
943991, 1.21, 499.52, 606.38, 131.00, 166.60
959992, 1.21, 499.32, 606.15, 133.22, 169.30
975991, 1.21, 499.52, 606.39, 135.44, 172.00
991991, 1.21, 499.60, 606.48, 137.66, 174.69
1007991, 1.21, 499.80, 604.73, 139.88, 177.38
1023991, 1.21, 499.32, 604.16, 142.10, 180.07
1039991, 1.21, 499.32, 606.15, 144.32, 182.75
1055991, 1.21, 499.40, 604.25, 146.54, 185.44
1071991, 1.21, 499.52, 604.40, 148.76, 188.12
1087991, 1.21, 499.52, 602.40, 150.98, 190.80
1103992, 1.21, 499.52, 602.38, 153.20, 193.47
1119991, 1.20, 499.52, 600.40, 155.42, 196.15
1135991, 1.20, 499.52, 600.40, 157.64, 198.82
1151991, 1.20, 499.40, 600.26, 159.86, 201.48
1167991, 1.20, 499.52, 600.40, 162.08, 204.15
1183991, 1.20, 499.60, 600.49, 164.30, 206.82
1199991, 1.20, 499.72, 598.63, 166.52, 209.48
1215991, 1.20, 499.52, 598.40, 168.74, 212.14
1231992, 1.20, 499.40, 598.26, 170.96, 214.80
1247992, 1.20, 499.72, 598.64, 173.18, 217.46
1263991, 1.19, 499.52, 596.40, 175.40, 220.11
1279991, 1.19, 499.60, 596.49, 177.62, 222.76
1295991, 1.19, 499.20, 596.03, 179.84, 225.41
1311992, 1.19, 499.32, 594.15, 182.06, 228.06
1327991, 1.19, 499.40, 594.25, 184.28, 230.71
1343991, 1.19, 499.12, 595.92, 186.50, 233.35
1359991, 1.19, 499.60, 592.49, 188.72, 235.99
1375991, 1.19, 499.52, 592.41, 190.94, 238.63
1391991, 1.19, 499.60, 594.50, 193.16, 241.27
1407991, 1.19, 499.52, 592.42, 195.38, 243.91
1423991, 1.19, 499.52, 592.41, 197.60, 246.54
1439992, 1.19, 499.52, 592.41, 199.82, 249.18
1455991, 1.18, 499.40, 590.26, 202.04, 251.81
1471991, 1.18, 499.40, 590.26, 204.26, 254.44
1487991, 1.18, 499.92, 590.87, 206.48, 257.07
1503991, 1.18, 499.40, 590.26, 208.70, 259.69
1519992, 1.18, 499.52, 590.41, 210.92, 262.32
1535991, 1.18, 499.52, 588.40, 213.14, 264.94
1551991, 1.18, 499.40, 588.27, 215.36, 267.56
1567992, 1.18, 499.72, 588.64, 217.58, 270.18
1583991, 1.18, 499.52, 588.41, 219.80, 272.79
1599992, 1.18, 499.52, 588.42, 222.02, 275.41
1615991, 1.18, 499.32, 588.18, 224.24, 278.02
1631991, 1.18, 499.40, 588.26, 226.46, 280.63
1647991, 1.17, 499.32, 586.16, 228.68, 283.24
1663991, 1.17, 499.40, 586.29, 230.90, 285.85
1679992, 1.17, 499.52, 584.39, 233.12, 288.45
1695991, 1.17, 499.40, 586.27, 235.34, 291.06
1711992, 1.17, 499.52, 586.40, 237.56, 293.66
1727991, 1.17, 499.40, 584.27, 239.78, 296.26
1743991, 1.17, 499.52, 584.40, 242.00, 298.86
1759991, 1.17, 499.92, 584.89, 244.22, 301.45
1775992, 1.17, 499.60, 586.51, 246.44, 304.05
1791991, 1.17, 499.52, 582.41, 248.66, 306.64
1807992, 1.17, 499.72, 582.64, 250.88, 309.23
1823992, 1.17, 499.52, 582.42, 253.10, 311.82
1839991, 1.17, 499.20, 582.02, 255.32, 314.41
1855991, 1.17, 499.20, 582.04, 257.54, 317.00
1871991, 1.17, 499.40, 582.27, 259.76, 319.59
