millis,voltage,current,power,capacity,energy
0, 1.46, 100.10, 145.95, 0.00, 0.00
15086, 1.51, 100.00, 151.00, 0.42, 0.63
31086, 1.51, 100.10, 151.15, 0.86, 1.30
47086, 1.51, 100.10, 151.15, 1.31, 1.97
63086, 1.51, 100.10, 151.15, 1.75, 2.65
79087, 1.51, 100.10, 151.15, 2.20, 3.32
95087, 1.51, 100.10, 151.15, 2.64, 3.99
111086, 1.51, 100.10, 151.15, 3.09, 4.66
127086, 1.51, 100.00, 151.00, 3.53, 5.33
143086, 1.51, 100.10, 151.15, 3.98, 6.00
158087, 1.51, 100.00, 151.00, 4.39, 6.63
174086, 1.51, 100.10, 151.15, 4.84, 7.30
190086, 1.51, 100.10, 150.75, 5.28, 7.97
206086, 1.51, 100.00, 150.60, 5.73, 8.64
222087, 1.51, 100.10, 150.75, 6.17, 9.31
238086, 1.51, 100.00, 150.60, 6.62, 9.98
254086, 1.50, 100.10, 150.35, 7.06, 10.65
270086, 1.50, 100.10, 150.35, 7.51, 11.32
286087, 1.50, 100.10, 150.35, 7.95, 11.99
302087, 1.50, 100.10, 150.35, 8.40, 12.66
318087, 1.50, 100.10, 150.35, 8.84, 13.33
334086, 1.50, 100.10, 150.35, 9.29, 14.00
350086, 1.50, 100.10, 150.35, 9.73, 14.66
366086, 1.50, 100.00, 150.20, 10.18, 15.33
382086, 1.50, 100.10, 150.35, 10.62, 16.00
398086, 1.50, 100.00, 149.80, 11.07, 16.67
414087, 1.50, 100.10, 149.95, 11.51, 17.33
430086, 1.50, 100.10, 149.95, 11.96, 18.00
446087, 1.50, 100.10, 149.95, 12.40, 18.66
462086, 1.49, 100.10, 149.55, 12.85, 19.33
478086, 1.49, 100.10, 149.55, 13.29, 20.00
494086, 1.49, 100.10, 149.55, 13.74, 20.66
510086, 1.49, 100.00, 149.40, 14.18, 21.33
526086, 1.49, 100.00, 149.40, 14.63, 21.99
542086, 1.49, 100.20, 149.70, 15.07, 22.65
558086, 1.49, 100.10, 149.55, 15.51, 23.32
574086, 1.49, 100.10, 149.55, 15.96, 23.98
590086, 1.49, 100.10, 149.15, 16.40, 24.65
606086, 1.49, 100.10, 149.15, 16.85, 25.31
622087, 1.49, 100.10, 149.15, 17.29, 25.97
638087, 1.49, 100.10, 149.15, 17.74, 26.63
654086, 1.49, 100.00, 148.60, 18.18, 27.30
670086, 1.49, 100.10, 149.15, 18.63, 27.96
686086, 1.49, 100.10, 148.75, 19.07, 28.62
702086, 1.49, 100.10, 148.75, 19.52, 29.28
718086, 1.49, 100.10, 148.75, 19.96, 29.94
734086, 1.49, 100.10, 148.75, 20.41, 30.60
750086, 1.49, 100.10, 148.75, 20.85, 31.27
766086, 1.49, 100.10, 148.75, 21.30, 31.93
782086, 1.48, 100.10, 148.35, 21.74, 32.59
798087, 1.48, 100.10, 148.35, 22.19, 33.25
814086, 1.48, 100.10, 148.35, 22.63, 33.90
830086, 1.48, 100.10, 148.35, 23.08, 34.56
846086, 1.48, 100.10, 148.35, 23.52, 35.22
862086, 1.48, 100.10, 147.95, 23.97, 35.88
878086, 1.48, 100.10, 148.35, 24.41, 36.54
894086, 1.48, 100.10, 148.35, 24.86, 37.20
910087, 1.48, 100.10, 147.95, 25.30, 37.86
926086, 1.48, 100.10, 147.95, 25.75, 38.51
942086, 1.48, 100.00, 147.80, 26.19, 39.17
958087, 1.48, 100.10, 147.95, 26.64, 39.83
974086, 1.47, 100.00, 147.40, 27.08, 40.48
990086, 1.48, 100.10, 147.95, 27.53, 41.14
1006086, 1.47, 100.10, 147.55, 27.97, 41.80
1022086, 1.47, 100.10, 147.55, 28.42, 42.45
1038086, 1.47, 100.10, 147.55, 28.86, 43.11
1054086, 1.47, 100.10, 147.55, 29.30, 43.76
1070086, 1.47, 100.10, 147.15, 29.75, 44.42
1086086, 1.47, 100.10, 147.55, 30.19, 45.07
1102086, 1.47, 100.10, 147.55, 30.64, 45.73
1118086, 1.47, 100.10, 147.15, 31.08, 46.38
1134086, 1.47, 100.00, 147.00, 31.53, 47.04
