millis,voltage,current,power,capacity,energy
0, 1.73, 99.80, 173.05, 0.00, 0.00
15735, 1.69, 99.90, 169.23, 0.44, 0.75
31734, 1.66, 100.00, 165.80, 0.88, 1.49
46735, 1.63, 100.00, 163.40, 1.30, 2.18
62734, 1.61, 100.00, 161.40, 1.74, 2.90
78734, 1.59, 99.90, 158.84, 2.19, 3.61
94734, 1.57, 100.00, 157.40, 2.63, 4.31
110735, 1.57, 100.10, 156.76, 3.08, 5.01
126734, 1.56, 100.10, 156.36, 3.52, 5.71
142734, 1.55, 100.10, 155.56, 3.97, 6.40
158735, 1.55, 100.00, 155.00, 4.41, 7.09
174734, 1.54, 100.00, 154.20, 4.85, 7.78
190734, 1.53, 100.00, 153.40, 5.30, 8.46
206734, 1.53, 100.00, 152.60, 5.74, 9.14
222734, 1.52, 100.00, 152.20, 6.19, 9.82
238734, 1.52, 100.00, 151.80, 6.63, 10.50
254734, 1.51, 100.00, 151.40, 7.08, 11.17
270735, 1.51, 100.00, 151.00, 7.52, 11.84
286734, 1.50, 100.00, 150.20, 7.97, 12.51
302734, 1.50, 100.10, 149.95, 8.41, 13.18
318734, 1.50, 100.00, 149.80, 8.86, 13.84
334734, 1.49, 100.00, 149.40, 9.30, 14.51
350734, 1.49, 100.00, 149.00, 9.74, 15.17
366735, 1.49, 100.10, 149.15, 10.19, 15.83
382735, 1.48, 100.10, 148.35, 10.63, 16.49
398734, 1.48, 100.10, 148.35, 11.08, 17.15
414735, 1.48, 100.00, 148.20, 11.52, 17.81
430734, 1.48, 100.00, 147.80, 11.97, 18.47
446734, 1.48, 100.10, 148.35, 12.41, 19.13
462734, 1.48, 100.10, 147.95, 12.86, 19.78
478734, 1.48, 100.10, 147.95, 13.30, 20.44
494734, 1.48, 100.10, 147.95, 13.75, 21.10
510734, 1.48, 100.00, 147.80, 14.19, 21.75
526734, 1.47, 100.10, 147.55, 14.64, 22.41
542734, 1.47, 100.00, 147.40, 15.08, 23.06
558734, 1.47, 100.10, 147.55, 15.52, 23.72
574734, 1.47, 100.10, 147.55, 15.97, 24.37
590734, 1.47, 100.10, 147.55, 16.41, 25.03
606734, 1.47, 100.10, 147.55, 16.86, 25.68
622734, 1.47, 100.10, 147.55, 17.30, 26.34
638734, 1.47, 100.00, 147.40, 17.75, 27.00
654734, 1.47, 100.00, 147.40, 18.19, 27.65
670734, 1.47, 100.00, 147.00, 18.64, 28.31
686734, 1.47, 100.10, 147.55, 19.08, 28.96
702734, 1.47, 100.10, 147.55, 19.53, 29.62
718734, 1.47, 100.10, 147.55, 19.97, 30.27
734734, 1.47, 100.00, 147.40, 20.42, 30.93
750734, 1.47, 100.00, 147.40, 20.86, 31.58
766734, 1.47, 100.10, 147.55, 21.30, 32.24
782735, 1.47, 100.10, 147.55, 21.75, 32.89
798734, 1.47, 100.10, 147.55, 22.19, 33.55
814734, 1.47, 100.10, 147.55, 22.64, 34.20
830734, 1.47, 100.00, 147.40, 23.08, 34.86
846734, 1.47, 100.10, 147.55, 23.53, 35.51
862735, 1.47, 100.10, 147.55, 23.97, 36.16
878734, 1.47, 100.00, 147.40, 24.42, 36.82
894734, 1.47, 100.10, 147.55, 24.86, 37.47
910734, 1.47, 100.00, 147.00, 25.31, 38.13
926734, 1.47, 100.00, 147.00, 25.75, 38.78
942734, 1.47, 100.00, 147.40, 26.19, 39.44
958734, 1.47, 100.00, 147.40, 26.64, 40.09
974734, 1.47, 100.00, 147.40, 27.08, 40.75
990734, 1.47, 99.90, 147.25, 27.53, 41.40
1006734, 1.47, 100.00, 147.00, 27.97, 42.06
1022734, 1.47, 100.00, 147.40, 28.42, 42.71
1038734, 1.47, 99.90, 147.25, 28.86, 43.37
1054734, 1.47, 100.00, 147.40, 29.31, 44.02
1070735, 1.47, 100.00, 147.40, 29.75, 44.68
1086735, 1.47, 100.00, 147.40, 30.20, 45.33
1102734, 1.47, 100.00, 147.40, 30.64, 45.99
1118734, 1.47, 100.00, 147.40, 31.08, 46.64
1134735, 1.47, 100.00, 147.40, 31.53, 47.30
1150734, 1.47, 100.00, 147.40, 31.97, 47.95
1166734, 1.47, 100.10, 147.55, 32.42, 48.61
1182735, 1.47, 100.00, 147.40, 32.86, 49.26
1198734, 1.47, 100.00, 147.40, 33.31, 49.92
1214734, 1.47, 100.00, 147.40, 33.75, 50.57
1230734, 1.47, 100.00, 147.40, 34.20, 51.23
1246734, 1.47, 100.10, 147.55, 34.64, 51.88
1262735, 1.47, 100.00, 147.40, 35.09, 52.54
1278734, 1.47, 100.00, 147.40, 35.53, 53.19
1294734, 1.47, 100.00, 147.40, 35.97, 53.85
1310734, 1.47, 100.00, 147.40, 36.42, 54.50
1326734, 1.47, 100.10, 147.55, 36.86, 55.16
1342734, 1.47, 100.00, 147.40, 37.31, 55.81
1358734, 1.47, 100.00, 147.00, 37.75, 56.47
1374734, 1.47, 100.00, 147.40, 38.20, 57.12
1390734, 1.47, 100.00, 147.40, 38.64, 57.78
1406734, 1.47, 100.00, 147.40, 39.09, 58.43
1422734, 1.47, 100.00, 147.40, 39.53, 59.09
1438734, 1.47, 100.10, 147.55, 39.98, 59.74
1454735, 1.47, 100.00, 147.00, 40.42, 60.40
1470734, 1.47, 100.00, 147.40, 40.86, 61.05
1486734, 1.47, 100.00, 147.40, 41.31, 61.71
1502734, 1.47, 100.00, 147.40, 41.75, 62.36
1518734, 1.47, 100.10, 147.15, 42.20, 63.02
1534734, 1.47, 100.00, 147.40, 42.64, 63.67
1550734, 1.47, 100.10, 147.55, 43.09, 64.33
1566734, 1.47, 100.10, 147.55, 43.53, 64.98
1582734, 1.47, 100.10, 147.55, 43.98, 65.64
1598734, 1.47, 100.00, 147.40, 44.42, 66.29
1614735, 1.47, 100.00, 147.40, 44.87, 66.95
1630734, 1.47, 100.00, 147.40, 45.31, 67.61
1646734, 1.47, 100.10, 147.55, 45.76, 68.26
1662734, 1.47, 100.00, 147.40, 46.20, 68.92
1678734, 1.47, 100.00, 147.40, 46.64, 69.57
1694734, 1.47, 100.00, 147.40, 47.09, 70.23
1710734, 1.47, 100.00, 147.40, 47.53, 70.88
